Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;0;-1;-1;0
0,3333333;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
0,3674138;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
0,3918908;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
0,4084154;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
0,4421628;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
0,4750988;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
0,4933635;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
0,527786;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
0,5584357;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
0,591695;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
0,6090292;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
0,6252101;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
0,6416272;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
0,6598371;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
0,6950942;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
0,7250848;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
0,7587977;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
0,7749657;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
0,7921185;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
0,8084506;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
0,8264567;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
0,8631287;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
0,8920919;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
0,9252633;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
0,9425082;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
0,9597736;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
0,9765611;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
0,9941348;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,02513;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,042017;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,059378;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,075699;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,109854;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,12539;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,159948;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,195368;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,225564;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,242095;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,259164;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,276787;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,294486;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,326649;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,345324;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,359046;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,375886;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,408923;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,425771;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,442355;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,459056;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,493098;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,512725;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,525444;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,542598;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,559347;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,575813;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,592366;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,625654;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,642362;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,660635;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,678871;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,692537;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,7256;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,759829;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,775789;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,809287;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,826875;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,845181;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,859416;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,876176;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,892371;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,925912;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,942425;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,959897;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
1,975807;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,009518;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,028868;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,042774;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,05952;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,076195;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,092628;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,126137;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,142548;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,162823;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,194677;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,20939;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,242751;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,259677;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,276983;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,292592;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,309913;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,327327;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,362303;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,375914;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,392848;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,409615;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,426563;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,459729;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,493072;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,513597;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,526213;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,542888;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,559812;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,576318;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,609657;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,6261;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,643559;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,662673;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,692782;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,710085;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,742881;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,760087;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,776968;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,810033;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,828748;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,843653;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,860199;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,87692;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,893096;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,910291;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,927222;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,943186;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,961521;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
2,97922;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,009818;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,026364;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,043311;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,059715;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,076514;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,110821;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,146187;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,159909;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,176635;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,193426;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,210083;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,226798;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,243439;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,259939;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,27791;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,305793;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,32689;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,343341;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,362552;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,376604;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,393556;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,426664;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,443856;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,462703;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,510689;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,527486;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,543527;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,560725;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,576935;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,593914;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,612705;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,626542;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,643479;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,66011;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,677031;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,710836;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,726924;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
3,744129;5,900389;0,06684259;4,101663;43,60271;344,8459;151,514;0;1;0;-1;-1
