Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Distance travelled (m)
0,0092425;-5,398857;1,565477;-5,762062;20,68946;85,37691;1,281417;-1;0;0
0,3425758;-5,375972;1,566523;-5,757014;19,49912;85,269;1,659754;0,07030373;0,07030373;0,02343458
0,3696578;-5,135469;1,596524;-5,723874;20,82133;86,08743;0,666862;8,964472;0,738621;0,2662103
0,3864785;-5,11613;1,597185;-5,723547;20,85122;86,14416;0,5107793;1,14989;0,7569591;0,2855522
0,3962536;-5,109661;1,597261;-5,723473;20,75942;86,16972;0,5194395;0,6617984;0,7545556;0,2920214
0,4054998;-5,109661;1,597261;-5,723473;20,75942;86,16972;0,5194395;0;0,7369491;0,2920214
0,4189041;-5,09638;1,59724;-5,723389;21,13459;86,24673;0,2385556;0,9908463;0,7452567;0,305303
0,429619;-5,09638;1,59724;-5,723389;21,13459;86,24673;0,2385556;0;0,726261;0,305303
0,4392286;-5,076446;1,596375;-5,723305;20,63615;86,24274;0,4899601;2,074419;0,7563906;0,3252374
0,4516286;-5,076446;1,596375;-5,723305;20,63615;86,24274;0,4899601;0;0,7351891;0,3252374
0,4619587;-5,062743;1,595391;-5,72347;20,62375;86,29016;0,541324;1,326548;0,7486827;0,3389408
0,4716788;-5,055811;1,594822;-5,723622;20,82901;86,28601;0,4098011;0,7133617;0,7479402;0,3458747
0,482795;-5,055811;1,594822;-5,723622;20,82901;86,28601;0,4098011;0;0,730383;0,3458747
0,4972355;-5,041698;1,593334;-5,724218;20,76382;86,32033;0,4984557;0,9782196;0,7377169;0,3600007
0,5121598;-5,041698;1,593334;-5,724218;20,76382;86,32033;0,4984557;0;0,7158248;0,3600007
0,5237569;-5,02017;1,590681;-5,725253;20,86125;86,25036;0,4947129;1,858452;0,7415795;0,3815533
0,5374364;-5,012868;1,589707;-5,725679;20,84398;86,23321;0,4360034;0,5346841;0,7362212;0,3888675
0,5490122;-5,012868;1,589707;-5,725679;20,84398;86,23321;0,4360034;0;0,7204323;0,3888675
0,5604373;-4,990689;1,586264;-5,727155;21,10298;86,06749;0,3567179;1,945518;0,7458257;0,4110952
0,5755728;-4,983411;1,584998;-5,727637;20,88605;86,17767;0,3054639;0,4819404;0,7387732;0,4183896
0,5881175;-4,983411;1,584998;-5,727637;20,88605;86,17767;0,3054639;0;0,7227634;0,4183896
