Areas				
Area	Time spent in Area (s)			
(1,5)	4,612317			
(2,4)	7,644264			
(3,3)	7,643037			
(4,3)	1,784275			
(4,2)	3,116848			
(3,2)	5,718592			
(2,2)	3,450188			
(2,1)	4,227379			
				
				
Steps				
Foot	Start time (s)	End time (s)	Duration (s)	Length (m)
Left	0,5864532	1,186549	0,600096	0,3538137
Right	1,06586	1,883522	0,8176622	0,8680298
Left	1,759972	2,664831	0,9048594	0,8526127
Right	2,454143	3,164671	0,7105289	0,7010819
Left	3,027216	3,847944	0,8207273	0,8471323
Right	3,727402	5,672243	1,944841	1,666583
Left	4,25743	5,047134	0,7897043	0,8924598
Left	5,530641	6,039852	0,5092111	0,4281029
Right	6,166357	6,898843	0,7324862	0,7567193
Right	7,504639	8,366789	0,8621497	0,8278331
Left	8,366788	8,696751	0,3299627	0,3882211
Right	8,945964	9,810632	0,8646679	0,8854334
Left	9,810633	10,43564	0,6250086	0,935163
Right	10,24419	11,11279	0,8685904	0,9441372
Left	10,95499	11,78346	0,8284712	0,91413
Right	11,63153	12,38085	0,7493229	0,8011738
Left	12,2967	13,12523	0,8285341	0,7668799
Right	12,94353	13,58951	0,6459856	0,5602741
Left	13,6278	14,23901	0,6112041	0,2223399
Right	14,46653	14,85177	0,3852425	0,1160483
Left	17,05086	17,4869	0,436039	0,1795612
Right	17,99355	18,91081	0,9172592	0,6147876
Left	18,86044	19,53321	0,6727753	0,7908031
Right	19,46757	20,21987	0,7523003	0,8319379
Left	20,04553	20,75103	0,7055016	0,8819331
Right	20,58677	21,35837	0,7715931	0,7576022
Left	21,21203	22,01142	0,799387	0,8800405
Right	21,8433	22,5658	0,7225018	0,7619065
Left	22,3839	23,18842	0,8045177	0,7775662
Right	23,07035	23,70719	0,6368389	0,7001661
Left	23,66388	24,51742	0,8535442	0,75683
Right	24,48066	25,0684	0,5877438	0,5523367
Left	25,11189	25,82982	0,7179394	0,6966392
Right	25,81413	26,59911	0,784977	0,6421583
Left	26,50636	27,36834	0,8619766	0,8436995
Right	27,20144	28,07243	0,8709927	0,8179956
Left	27,77827	28,55108	0,7728157	0,8955479
Right	28,35871	29,17209	0,8133774	0,7211925
Left	29,21419	29,75815	0,5439587	0,3989002
Right	29,91693	30,53007	0,6131458	0,2461673
Left	30,68834	31,02664	0,3383007	0,1892727
Right	31,16899	31,87629	0,7072906	0,5891096
Left	31,80955	32,64062	0,8310699	0,7503265
Right	32,52547	33,25724	0,7317734	0,7791809
Left	33,0866	33,81038	0,7237778	0,7081698
Right	33,72883	34,48207	0,7532425	0,7617704
Left	34,40067	35,17023	0,7695656	0,689565
Right	35,00703	35,74398	0,7369537	0,8438115
Left	35,7025	36,471	0,7685051	0,7627093
Right	36,3512	37,12094	0,7697334	0,7776074
Left	36,97374	37,75807	0,7843323	0,810113
Right	37,66775	38,38834	0,7205963	0,7683667
Left	38,28896	39,09814	0,8091888	0,7001602
Right	39,06726	39,64528	0,5780182	0,7113675
Left	39,61832	40,361	0,7426834	0,6959835
Right	40,33139	40,90924	0,5778542	0,6331685
Left	40,97394	41,72056	0,7466164	0,4905587
Right	41,91694	42,38332	0,4663811	0,3494917
				
				
Landmarks				
Area	Time spent looking at landmarks (s)			
(1,5)	1,199999			
(2,4)	0			
(3,3)	0			
(4,3)	0			
(4,2)	0			
(3,2)	1,06			
(2,2)	0,4600001			
				
				
Errors				
Walked path	Duration (s)	Distance walked (m)		
				
				
Pauses				
Duration (s)	Area	Time spent looking at landmarks (s)		
1,989558	(3,3)	0		
