Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Instant acceleration (m/s^2);Distance travelled (m)
0;-5,988679;1,676764;-0,5815047;9,497505;201,9764;0,3928624;-1;0;-1;0
0,3333333;-5,9889;1,676662;-0,5814737;9,538952;201,9441;0,3844204;0,0006702385;0,0006702385;-1;0,0002234128
0,3655829;-6,001462;1,67034;-0,5832539;12,30447;199,3735;0,6703867;0,3933961;0,03531415;1,074246;0,01291025
0,3897045;-6,001474;1,670276;-0,583392;11,97192;199,0726;0,7181162;0,005748344;0,03348411;-6,876709;0,0130489
0,4062384;-6,001411;1,670286;-0,5834838;11,62729;198,7067;0,7545892;0,006731534;0,03239527;0,02418344;0,0131602
0,4233936;-6,001411;1,670286;-0,5834838;11,62729;198,7067;0,7545892;0;0,03108267;-0,1998133;0,0131602
0,439826;-6,001226;1,670334;-0,5835519;11,3413;198,2875;0,7781395;0,01197214;0,03036868;0,3564451;0,01335693
0,4732757;-6,001127;1,670345;-0,5835731;11,27207;198,138;0,7822379;0,003031839;0,02843659;-0,1792285;0,01345835
0,4901237;-6,000432;1,670236;-0,5837084;11,27106;197,3601;0,7922919;0,04203895;0,02890418;0,7755247;0,01416662
0,5090376;-5,999939;1,670082;-0,5838748;11,26054;196,949;0,8138755;0,02751291;0,02885248;-0,4061875;0,014687
0,5232387;-5,999382;1,669901;-0,584081;11,25418;196,5037;0,8375351;0,04185091;0,02920527;0,4329755;0,01528133
0,5400463;-5,999382;1,669901;-0,584081;11,25418;196,5037;0,8375351;0;0,02829633;-1,34965;0,01528133
0,5564986;-5,998599;1,669787;-0,5843394;11,18289;195,7998;0,8658394;0,05011567;0,02894139;1,506788;0,01610585
0,5732509;-5,998599;1,669787;-0,5843394;11,18289;195,7998;0,8658394;0;0,02809563;-1,509298;0,01610585
0,5896624;-5,998037;1,669915;-0,5844468;11,02823;195,1784;0,8860843;0,03481859;0,02828274;1,0499;0,01667727
0,6064819;-5,997819;1,670061;-0,5844432;10,91163;194,8656;0,9060008;0,01298624;0,02785853;-0,6569895;0,01689569
0,6232843;-5,997819;1,670061;-0,5844432;10,91163;194,8656;0,9060008;0;0,02710752;-0,3862426;0,01689569
0,6400387;-5,997721;1,670211;-0,5843978;10,82245;194,6493;0,9275844;0,006459237;0,026567;0,1924862;0,01700391
0,6590461;-5,997745;1,670372;-0,5843101;10,7556;194,5104;0,9490311;0,004783405;0,02593875;-0,04686107;0,01709483
0,6735529;-5,998122;1,67062;-0,5840907;10,69768;194,406;0,9768435;0,03007693;0,02602788;0,7547121;0,01753115
0,6898063;-5,998375;1,67069;-0,5840003;10,68735;194,3888;0,9836192;0,01654177;0,02580436;-0,4400207;0,01780001
0,7067316;-5,999076;1,670791;-0,5838157;10,67495;194,3681;0,9934546;0,04282663;0,02621202;0,7922211;0,01852486
0,7235309;-5,999076;1,670791;-0,5838157;10,67495;194,3681;0,9934546;0;0,02560342;-1,269893;0,01852486
0,7400078;-6,000459;1,670965;-0,5835506;10,65946;194,353;0,9997659;0,08548268;0,02693667;2,568883;0,01993334
0,7566041;-6,001473;1,671217;-0,583376;10,62206;194,3468;0,9953944;0,06198173;0,02770539;-0,7105753;0,02096201
0,7732963;-6,001993;1,671396;-0,5832777;10,5931;194,3439;0,9871983;0,031718;0,02779201;-0,9091336;0,02149146
0,7902171;-6,003041;1,67183;-0,5830584;10,5046;194,3398;0,9595496;0,06328272;0,02855196;0,9390621;0,02256225
0,8088163;-6,004031;1,672221;-0,5827633;10,45051;194,3354;0,9170658;0,05551349;0,02917196;-0,2187281;0,02359476
0,8232287;-6,005075;1,672601;-0,5825394;10,34237;194,3552;0,8562225;0,07413442;0,02995913;0,5640721;0,02466321
0,840029;-6,005075;1,672601;-0,5825394;10,34237;194,3552;0,8562225;0;0,02935996;-2,375138;0,02466321
0,8573075;-6,006123;1,67279;-0,5823949;10,26391;194,3868;0,797483;0,06120531;0,03000178;1,795995;0,02572075
0,8900699;-6,007164;1,672629;-0,5823585;10,2906;194,4214;0,7270774;0,03177708;0,03006713;-0,5880836;0,02676184
0,9066024;-6,009832;1,671057;-0,5829197;10,38824;194,5932;0,6114284;0,1649605;0,03252699;2,701769;0,02948905
