Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Instant acceleration (m/s^2);Distance travelled (m)
0;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;-1;0;-1;0
0,3333333;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;-1;0
0,3678575;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
0,3927733;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
0,4260387;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
0,4426109;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
0,4759801;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
0,4928612;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
0,5111215;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
0,5263735;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
0,5425728;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
0,5592742;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
0,576047;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
0,5928678;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
0,609183;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
0,6261626;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
0,6433438;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
0,6615128;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
0,6757996;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
0,6929029;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
0,7096187;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
0,7262008;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
0,7432159;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
0,7594369;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
0,7761601;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
0,7933649;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
0,8120136;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
0,8277617;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
0,86092;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
0,8770332;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
0,8942341;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
0,9110966;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
0,9295285;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
0,946128;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
0,964394;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
0,9803902;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
0,9966289;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
1,012159;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
1,029644;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
1,043028;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
1,059594;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
1,076593;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
1,097039;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
1,133348;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
1,163775;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
1,179524;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
1,195705;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
1,212451;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
1,247741;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
1,279654;6,11668;0,01986536;3,957903;355,0773;187,0454;11,25281;0;0;0;0
