Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Instant acceleration (m/s^2);Distance travelled (m)
0;-5,895511;1,517691;-5,755602;357,9123;92,54795;0,3360352;-1;0;-1;0
0,3333333;-5,895261;1,517494;-5,754977;357,9638;92,36104;0,4931842;0,002020984;0,002020984;-1;0,0006736614
0,3680931;-5,894443;1,516302;-5,755194;354,0748;87,99756;359,751;0,02437043;0,004131489;0,06071682;0,001520772
0,392487;-5,894768;1,516138;-5,755603;354,949;88,55686;359,7504;0,0214093;0,00520534;-0,05005824;0,002043028
0,4256338;-5,894839;1,515928;-5,755916;355,1689;88,72652;359,7089;0,009691359;0,005554695;-0,2036462;0,002364266
0,4422213;-5,894827;1,515646;-5,75627;355,3134;88,83015;359,6618;0,02134127;0,006146841;0,234243;0,002718264
0,4589777;-5,894827;1,515646;-5,75627;355,3134;88,83015;359,6618;0;0,005922432;-0,6400356;0,002718264
0,4762017;-5,894725;1,51545;-5,756563;355,3889;88,87737;359,637;0,01802725;0,006360258;0,5305189;0,003028766
0,4926838;-5,894603;1,515352;-5,756735;355,4226;88,8898;359,626;0,01277985;0,006575018;-0,1556807;0,003239405
0,5125843;-5,89452;1,515298;-5,756824;355,441;88,89288;359,6201;0,006102879;0,006556687;-0,183521;0,003360855
0,5257937;-5,894211;1,515113;-5,757099;355,5287;88,89101;359,5854;0,03137201;0,007180117;0,7631896;0,003775261
0,5591127;-5,894093;1,515053;-5,757192;355,5622;88,88771;359,5683;0,004494855;0,007020095;-0,5776505;0,003925025
0,5758845;-5,893633;1,514971;-5,757472;355,6543;88,85962;359,4956;0,032113;0,007750889;0,5513617;0,004463617
0,6097853;-5,893517;1,515001;-5,757503;355,6654;88,8455;359,4775;0,003551712;0,007517438;-0,5636437;0,004584023
0,6255356;-5,89314;1,515229;-5,757473;355,6424;88,76608;359,4124;0,02395812;0,007931395;0,4109961;0,00496137
0,6428749;-5,8929;1,515489;-5,757353;355,5692;88,67546;359,3543;0,01547158;0,008134766;-0,2564717;0,005229637
0,6626461;-5,8929;1,515489;-5,757353;355,5692;88,67546;359,3543;0;0,007892051;-0,4169056;0,005229637
0,6756119;-5,892172;1,516014;-5,756635;355,3394;88,35761;359,1752;0,07892688;0,009255293;2,410937;0,006252986
0,6924768;-5,891951;1,516107;-5,756396;355,2857;88,26419;359,1289;0,01928793;0,009499633;-1,999248;0,006578275
0,7103207;-5,891482;1,516239;-5,755904;355,1868;88,07293;359,0315;0,03808629;0,01021776;0,5416023;0,007257883
0,7259292;-5,891004;1,516301;-5,755451;355,1058;87,90089;358,9423;0,04220426;0,01090551;0,1230994;0,007916628
0,7431261;-5,89077;1,516313;-5,75526;355,0678;87,82835;358,9048;0,01753898;0,01105902;-0,7518668;0,008218245
0,7595006;-5,890296;1,516276;-5,754938;355,0175;87,70815;358,8412;0,03498919;0,01157494;0,5197935;0,008791177
0,7755627;-5,890296;1,516276;-5,754938;355,0175;87,70815;358,8412;0;0,01133522;-1,078694;0,008791177
0,7939101;-5,889608;1,516096;-5,754623;354,989;87,59348;358,7802;0,0412737;0,01202711;1,199487;0,009548441
0,812044;-5,889169;1,515916;-5,754519;354,9871;87,54777;358,7553;0,02488722;0,01231429;-0,4491752;0,009999743
0,8423401;-5,888965;1,515815;-5,754494;354,991;87,52954;358,7453;0,006785928;0,01211545;-0,3737623;0,01020533
0,8591704;-5,888337;1,515422;-5,754513;355,0299;87,47439;358,7073;0,03730131;0,01260882;0,6475219;0,01083312
0,8763558;-5,888231;1,515339;-5,754533;355,0443;87,46313;358,6983;0,006274243;0,0124846;-0,9121393;0,01094095
0,8929991;-5,888079;1,515196;-5,754575;355,0706;87,44496;358,6824;0,009473288;0,01242847;0,09456606;0,01109861
0,9105297;-5,887994;1,515091;-5,754615;355,0969;87,42771;358,6664;0,005353665;0,01229226;-0,1205486;0,01119247
0,9256737;-5,887957;1,515013;-5,754654;355,1245;87,41186;358,6495;0,003585222;0,01214981;-0,05412274;0,01124676
0,9428809;-5,887952;1,51498;-5,754674;355,1379;87,40513;358,6409;0,001217414;0,0119503;-0,07319072;0,01126771
0,9601427;-5,887952;1,51498;-5,754674;355,1379;87,40513;358,6409;0;0,01173545;-0,0353191;0,01126771
0,9788386;-5,888001;1,514882;-5,754764;355,1861;87,39166;358,6231;0,005455191;0,0116155;0,1517114;0,0113697
0,9924863;-5,888074;1,514805;-5,754824;355,2087;87,38766;358,6146;0,006952086;0,01155137;0,04628107;0,01146458
1,009411;-5,888192;1,514714;-5,754886;355,2289;87,38583;358,6088;0,007839133;0,01148913;0,02901479;0,01159725
1,027603;-5,88827;1,514659;-5,754918;355,2399;87,3856;358,6071;0,004633572;0,01136776;-0,09128208;0,01168155
1,043921;-5,888471;1,514528;-5,754977;355,2647;87,38676;358,6051;0,01286178;0,01139111;0,2384322;0,01189142
1,060526;-5,888737;1,514377;-5,755039;355,29;87,3903;358,6051;0,01645254;0,01147036;0,1090669;0,01216462
1,077301;-5,888737;1,514377;-5,755039;355,29;87,3903;358,6051;0;0,01129175;-0,4928769;0,01216462
1,113731;-5,889261;1,514153;-5,755143;355,3302;87,3988;358,6009;0,01465244;0,01140168;0,2753953;0,0126984
1,147463;-5,890195;1,513992;-5,75537;355,36;87,41302;358,5918;0,02850863;0,01190457;0,1974887;0,01366006
1,163435;-5,890963;1,513983;-5,755581;355,3714;87,42831;358,5829;0,04983278;0,01242525;0,4290263;0,01445597
1,197057;-5,891213;1,513986;-5,755652;355,3739;87,43488;358,5788;0,007739568;0,01229364;-0,8487493;0,01471619
1,212504;-5,892104;1,51401;-5,755877;355,3794;87,46709;358,5655;0,05950018;0,01289502;1,054845;0,01563527
1,229096;-5,892402;1,514024;-5,755923;355,3954;87,48423;358,5571;0,01817301;0,01296627;-1,289939;0,01593678
1,245714;-5,89256;1,514045;-5,755947;355,3947;87,49271;358,5548;0,009605324;0,01292143;-0,2579867;0,01609641
1,263012;-5,892827;1,514089;-5,755974;355,3895;87,50939;358,5508;0,01549236;0,01295664;0,173577;0,01636439
1,279689;-5,892934;1,514109;-5,755979;355,3858;87,51728;358,5487;0,006438173;0,01287169;-0,2664919;0,01647176
