Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s)
0,0075659;4,045728;-0,007004421;-7,092462;18,0539;154,3122;353,2762;0;0;0;-1;-1
0,3408992;4,043705;-0,008467618;-7,093772;17,93142;154,3633;355,0793;0;0,007228273;0;-1;-1
0,3693961;4,042294;0,05885085;-6,94427;332,3669;140,2804;21,87884;0;0,4198596;0;-1;-1
0,3805421;4,036145;0,05559986;-6,882043;336,3422;140,5849;14,99862;0;0,5749634;0;-1;-1
0,3902753;4,036145;0,05559986;-6,882043;336,3422;140,5849;14,99862;0;0,5603407;0;-1;-1
0,4035989;4,03026;0,05097768;-6,836003;339,8662;141,2414;9,806802;0;0,6586885;0;-1;-1
0,4129727;4,023005;0,04555598;-6,787628;344,7404;142,4414;6,000556;0;0,7641189;0;-1;-1
0,4255151;4,023005;0,04555598;-6,787628;344,7404;142,4414;6,000556;0;0,7411883;0;-1;-1
0,436271;4,008617;0,03719511;-6,738217;349,7919;143,4585;3,628268;0;0,8426335;0;-1;-1
0,4466179;4,008617;0,03719511;-6,738217;349,7919;143,4585;3,628268;0;0,8227757;0;-1;-1
0,4590693;3,994525;0,03039884;-6,688952;354,4446;142,0042;1,094487;0;0,9135756;0;-1;-1
0,4689959;3,994525;0,03039884;-6,688952;354,4446;142,0042;1,094487;0;0,8939222;0;-1;-1
0,4799544;3,97615;0,02401203;-6,63885;358,413;138,7374;359,4341;0;0,9861536;0;-1;-1
0,4900681;3,97615;0,02401203;-6,63885;358,413;138,7374;359,4341;0;0,965483;0;-1;-1
0,5011391;3,956907;0,01896869;-6,589677;2,991094;136,1896;357,5325;0;1,05081;0;-1;-1
0,5130928;3,956907;0,01896869;-6,589677;2,991094;136,1896;357,5325;0;1,025963;0;-1;-1
0,5291546;3,919969;0,01397769;-6,518188;9,921469;132,3599;354,515;0;1,148645;0;-1;-1
0,5396925;3,906521;0,01301856;-6,495337;11,51949;130,5093;353,0514;0;1,175724;0;-1;-1
0,5491285;3,906521;0,01301856;-6,495337;11,51949;130,5093;353,0514;0;1,155239;0;-1;-1
0,5601459;3,876606;0,01040914;-6,451804;15,22618;127,4006;353,457;0,4825844;1,227796;0;-1;-1
0,5713235;3,876606;0,01040914;-6,451804;15,22618;127,4006;353,457;1,387027;1,203452;1;7,579598;-1,560146
0,5870435;3,846219;0,009158423;-6,410371;17,61535;123,5902;353,2087;0,834043;1,259473;1;7,579598;-1,560146
0,6012741;3,815813;0,009652092;-6,371867;19,92649;119,8769;352,9531;0,8683445;1,311922;1;7,579598;-1,560146
0,6140386;3,815813;0,009652092;-6,371867;19,92649;119,8769;352,9531;0,8703964;1,28431;1;7,579598;-1,560146
0,6303418;3,769624;0,01725393;-6,319695;25,29393;115,0473;351,9642;0,7401806;1,362575;1;7,579598;-1,560146
0,6469066;3,755671;0,02142292;-6,304015;27,59199;113,7587;351,7448;0,3067013;1,360102;1;7,579598;-1,560146
0,6597229;3,727181;0,02933615;-6,275218;31,2403;111,2936;350,7282;0,6819856;1,395487;1;7,579598;-1,560146
0,67471;3,727181;0,02933615;-6,275218;31,2403;111,2936;350,7282;5,5552E-08;1,364138;1;7,579598;-1,560146
0,6893819;3,688053;0,03956597;-6,239914;35,85714;109,2275;350,8946;0,5745869;1,412077;1;7,579598;-1,560146
0,698669;3,676079;0,04207364;-6,230314;37,33816;108,9766;351,3004;0,3886804;1,415309;1;7,579598;-1,560146
0,7085944;3,676079;0,04207364;-6,230314;37,33816;108,9766;351,3004;1,134201;1,395271;1;7,579598;-1,560146
0,7224984;3,654763;0,04494777;-6,214981;38,63926;107,0537;352,4751;0,4357744;1,404864;1;7,579598;-1,560146
0,7444658;3,637005;0,04487987;-6,204007;39,50483;105,6625;353,3754;0,8893886;1,391313;1;7,579598;-1,560146
0,7555071;3,625968;0,0412126;-6,197557;39,29662;105,0359;354,215;0,2629188;1,387865;1;7,579598;-1,560146
0,7660494;3,625968;0,0412126;-6,197557;39,29662;105,0359;354,215;1,100965;1,368575;1;7,579598;-1,560146
0,776208;3,619533;0,03421158;-6,195453;37,85836;104,7968;355,5383;0,483726;1,359295;1;7,579598;-1,560146
0,7868934;3,619533;0,03421158;-6,195453;37,85836;104,7968;355,5383;5,358368E-08;1,340657;1;7,579598;-1,560146
0,7975567;3,61391;0,02377255;-6,195982;34,33242;104,2152;357,7628;1,033182;1,329711;1;7,579598;-1,560146
0,8082541;3,61391;0,02377255;-6,195982;34,33242;104,2152;357,7628;5,338595E-08;1,311946;1;7,579598;-1,560146
0,8197334;3,607862;0,01501011;-6,195063;30,35783;103,8678;359,8769;0,6688096;1,300935;1;7,579598;-1,560146
0,833351;3,607862;0,01501011;-6,195063;30,35783;103,8678;359,8769;0,7781855;1,279482;1;7,579598;-1,560146
0,8480378;3,604761;0,006376366;-6,193459;26,32455;103,9008;0,9528002;0,1428333;1,261277;1;7,579598;-1,560146
0,8609285;3,604424;0,005652008;-6,192649;25,93703;104,1616;1,198743;0,9549527;1,243252;1;7,579598;-1,560146
0,871049;3,604424;0,005652008;-6,192649;25,93703;104,1616;1,198743;0,2980306;1,228681;1;7,579598;-1,560146
0,882625;3,603321;0,004033299;-6,192312;24,86087;103,6841;0,7361202;0,7459339;1,213745;1;7,579598;-1,560146
0,8930328;3,60298;0,003264964;-6,191875;24,42275;103,6669;0,6919131;0,02168407;1,200105;1;7,579598;-1,560146
0,9045802;3,60298;0,003264964;-6,191875;24,42275;103,6669;0,6919131;0,8838111;1,184656;1;7,579598;-1,560146
0,9172061;3,60295;0,002333374;-6,191968;23,56556;103,2345;359,6447;0,4127292;1,168321;1;7,579598;-1,560146
