Areas				
Area	Time spent in Area (s)			
(4,5)	1,609486			
(4,4)	3,985238			
(4,3)	1,964231			
(4,2)	2,088812			
(4,1)	2,237826			
(4,0)	1,543133			
(4,1)	2,198185			
(4,2)	1,901003			
(4,3)	1,950153			
(4,4)	1,959684			
(4,5)	2,049719			
				
				
Steps				
Foot	Start time (s)	End time (s)	Duration (s)	Length (m)
Left	0,5751496	0,8857448	0,3105952	0,3249485
Right	5,926756	6,5772	0,650444	1,253954
Right	6,841828	7,61763	0,7758017	1,223271
Right	7,962659	8,665238	0,7025795	1,184129
Right	9,032399	9,682272	0,6498728	1,136578
Left	9,515489	10,27504	0,759553	1,092711
Right	10,2377	10,73639	0,498682	0,9866738
Right	11,17815	11,65791	0,4797592	0,5614595
Right	12,37484	12,9144	0,5395622	0,9310794
Right	13,44655	13,85589	0,4093418	1,064049
Right	14,34222	15,0044	0,6621876	1,226806
Right	17,36014	18,00795	0,6478157	1,247937
Left	18,85965	19,54538	0,6857319	1,241189
Left	19,80124	20,55836	0,7571106	1,21816
Right	20,46466	21,26319	0,7985268	1,203594
Left	20,87289	21,60734	0,7344513	1,204465
Right	21,59667	22,06968	0,4730072	1,18395
Left	21,90145	22,64011	0,7386608	1,158503
Right	22,51571	23,15167	0,6359558	1,158126
Left	22,90423	23,67041	0,7661819	1,136718
Right	23,52325	-1	-24,52325	7,843185
Left	24,03913	24,62398	0,5848522	0,8454148
				
				
Landmarks				
Area	Time spent looking at landmarks (s)			
				
				
Errors				
Walked path	Duration (s)	Distance walked (m)		
				
				
Pauses				
Duration (s)	Area	Time spent looking at landmarks (s)		
