Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Distance travelled (m)
0,0073872;-3,754482;1,506393;-7,295249;9,842593;357,8526;4,286535;-1;0;0
0,3407205;-3,756835;1,500888;-7,262476;9,575452;357,6101;4,689489;0,09857202;0,09857202;0,03285734
0,3782286;-3,756835;1,500888;-7,262476;9,575452;357,6101;4,689489;0;0,08860213;0,03285734
0,3902665;-3,756835;1,500888;-7,262476;9,575452;357,6101;4,689489;0;0,08581644;0,03285734
0,399793;-3,756835;1,500888;-7,262476;9,575452;357,6101;4,689489;0;0,08373306;0,03285734
0,4097703;-3,756835;1,500888;-7,262476;9,575452;357,6101;4,689489;0;0,08165685;0,03285734
0,4252947;-3,756835;1,500888;-7,262476;9,575452;357,6101;4,689489;0;0,07862347;0,03285734
0,4373067;-3,756835;1,500888;-7,262476;9,575452;357,6101;4,689489;0;0,07642672;0,03285734
0,4494445;-3,756835;1,500888;-7,262476;9,575452;357,6101;4,689489;0;0,07432823;0,03285734
0,4627669;-3,756835;1,500888;-7,262476;9,575452;357,6101;4,689489;0;0,07215372;0,03285734
0,4775338;-3,756835;1,500888;-7,262476;9,575452;357,6101;4,689489;0;0,06988743;0,03285734
0,4865404;-3,756835;1,500888;-7,262476;9,575452;357,6101;4,689489;0;0,06857376;0,03285734
0,4992286;-3,734079;1,508384;-6,311051;5,558617;356,7295;359,8774;-1;2,001773;0,984555
0,5121902;-3,734079;1,508384;-6,311051;5,558617;356,7295;359,8774;0;1,950375;0,984555
0,5228619;-3,732992;1,512212;-6,274469;8,734246;356,7197;358,995;3,42942;1,980995;1,021153
0,5322642;-3,733118;1,513217;-6,262534;8,791073;356,7427;359,1052;1,269469;1,968249;1,033089
0,5431276;-3,733118;1,513217;-6,262534;8,791073;356,7427;359,1052;0;1,928338;1,033089
0,5533054;-3,733501;1,514653;-6,23877;8,99199;356,7728;359,3163;2,335157;1,935923;1,056855
0,5617045;-3,733501;1,514653;-6,23877;8,99199;356,7728;359,3163;0;1,906589;1,056855
0,5751496;-3,733887;1,515047;-6,215206;9,252874;356,7846;359,4785;1,752908;1,90295;1,080423
0,588824;-3,733887;1,515047;-6,215206;9,252874;356,7846;359,4785;0;1,858196;1,080423
0,6009693;-3,734618;1,514128;-6,179996;9,466005;356,7487;359,7287;2,899625;1,879505;1,11564
0,613058;-3,734953;1,513426;-6,168502;9,234707;356,9104;359,8353;0,9512168;1,860977;1,127139
0,6248816;-3,734953;1,513426;-6,168502;9,234707;356,9104;359,8353;0;1,825343;1,127139
0,6355651;-3,735502;1,511679;-6,145034;9,032095;356,8084;0,1159393;2,197267;1,831668;1,150614
0,6447457;-3,735502;1,511679;-6,145034;9,032095;356,8084;0,1159393;0;1,805285;1,150614
0,656232;-3,736163;1,50918;-6,121579;8,953686;356,8722;0,3747488;2,042822;1,80949;1,174078
0,6738081;-3,736163;1,50918;-6,121579;8,953686;356,8722;0,3747488;0;1,761767;1,174078
0,6876667;-3,737746;1,504394;-6,086334;8,372438;356,9611;0,8557582;2,545779;1,777738;1,209359
0,6971085;-3,738431;1,502399;-6,074505;7,975874;356,9948;1,076264;1,254922;1,770581;1,221208
0,7077362;-3,738431;1,502399;-6,074505;7,975874;356,9948;1,076264;0;1,743713;1,221208
0,7195367;-3,739359;1,498121;-6,050559;7,599396;357,2612;1,397884;2,030778;1,74847;1,245172
