Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Instant acceleration (m/s^2);Distance travelled (m)
0;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;-1;0;-1;0
0,330537;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;-1;0
0,3728574;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,3984207;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,4158103;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,4317797;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,4484219;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,4649395;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,4821001;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,5009486;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,5150397;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,531743;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,5484886;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,5653564;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,5817462;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,5989584;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,6152426;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,6322347;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,6511236;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,6659221;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,6817978;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,6993529;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,715159;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,7321709;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,7486187;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,7654052;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,7817822;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,7992871;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,8175444;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,8320794;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,848928;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,8653091;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,8990634;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,9156411;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,9320118;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,948622;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,9665534;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,983858;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
0,9988911;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,015463;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,032228;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,048861;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,065545;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,082147;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,100315;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,115501;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,132566;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,150662;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,165748;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,182241;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,198892;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,215816;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,232623;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,24905;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,265819;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,282086;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,317333;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,334583;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,366179;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,382369;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,399236;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,416035;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,4328;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,448894;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,466134;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,482516;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,501246;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,516253;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,532358;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,549129;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,565967;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,582568;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,599198;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,616378;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,632825;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,651516;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,66611;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,682302;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,699269;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,716298;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,732503;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,749036;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,766058;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
1,782472;5,852407;1,586585;4,247059;26,34039;321,2212;4,612035;0;0;0;0
