Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;0;0;0;0;0;0;0;0;-1;-1;0
0,330537;0;0;0;0;0;0;0;0;-1;-1;0
0,3728574;0;0;0;0;0;0;0;0;-1;-1;0
0,3984207;0;0;0;0;0;0;0;0;-1;-1;0
0,4158103;0;0;0;0;0;0;0;0;-1;-1;0
0,4317797;0;0;0;0;0;0;0;0;-1;-1;0
0,4484219;0;0;0;0;0;0;0;0;-1;-1;0
0,4649395;0;0;0;0;0;0;0;0;-1;-1;0
0,4821001;0;0;0;0;0;0;0;0;-1;-1;0
0,5009486;0;0;0;0;0;0;0;0;-1;-1;0
0,5150397;0;0;0;0;0;0;0;0;-1;-1;0
0,531743;0;0;0;0;0;0;0;0;-1;-1;0
0,5484886;0;0;0;0;0;0;0;0;-1;-1;0
0,5653564;0;0;0;0;0;0;0;0;-1;-1;0
0,5817462;0;0;0;0;0;0;0;0;-1;-1;0
0,5989584;0;0;0;0;0;0;0;0;-1;-1;0
0,6152426;0;0;0;0;0;0;0;0;-1;-1;0
0,6322347;0;0;0;0;0;0;0;0;-1;-1;0
0,6511236;0;0;0;0;0;0;0;0;-1;-1;0
0,6659221;0;0;0;0;0;0;0;0;-1;-1;0
0,6817978;0;0;0;0;0;0;0;0;-1;-1;0
0,6993529;0;0;0;0;0;0;0;0;-1;-1;0
0,715159;0;0;0;0;0;0;0;0;-1;-1;0
0,7321709;0;0;0;0;0;0;0;0;-1;-1;0
0,7486187;0;0;0;0;0;0;0;0;-1;-1;0
0,7654052;0;0;0;0;0;0;0;0;-1;-1;0
0,7817822;0;0;0;0;0;0;0;0;-1;-1;0
0,7992871;0;0;0;0;0;0;0;0;-1;-1;0
0,8175444;0;0;0;0;0;0;0;0;-1;-1;0
0,8320794;0;0;0;0;0;0;0;0;-1;-1;0
0,848928;0;0;0;0;0;0;0;0;-1;-1;0
0,8653091;0;0;0;0;0;0;0;0;-1;-1;0
0,8990634;0;0;0;0;0;0;0;0;-1;-1;0
0,9156411;0;0;0;0;0;0;0;0;-1;-1;0
0,9320118;0;0;0;0;0;0;0;0;-1;-1;0
0,948622;0;0;0;0;0;0;0;0;-1;-1;0
0,9665534;0;0;0;0;0;0;0;0;-1;-1;0
0,983858;0;0;0;0;0;0;0;0;-1;-1;0
0,9988911;0;0;0;0;0;0;0;0;-1;-1;0
1,015463;0;0;0;0;0;0;0;0;-1;-1;0
1,032228;0;0;0;0;0;0;0;0;-1;-1;0
1,048861;0;0;0;0;0;0;0;0;-1;-1;0
1,065545;0;0;0;0;0;0;0;0;-1;-1;0
1,082147;0;0;0;0;0;0;0;0;-1;-1;0
1,100315;0;0;0;0;0;0;0;0;-1;-1;0
1,115501;0;0;0;0;0;0;0;0;-1;-1;0
1,132566;0;0;0;0;0;0;0;0;-1;-1;0
1,150662;0;0;0;0;0;0;0;0;-1;-1;0
1,165748;0;0;0;0;0;0;0;0;-1;-1;0
1,182241;0;0;0;0;0;0;0;0;-1;-1;0
1,198892;0;0;0;0;0;0;0;0;-1;-1;0
1,215816;0;0;0;0;0;0;0;0;-1;-1;0
1,232623;0;0;0;0;0;0;0;0;-1;-1;0
1,24905;0;0;0;0;0;0;0;0;-1;-1;0
1,265819;0;0;0;0;0;0;0;0;-1;-1;0
1,282086;0;0;0;0;0;0;0;0;-1;-1;0
1,317333;0;0;0;0;0;0;0;0;-1;-1;0
1,334583;0;0;0;0;0;0;0;0;-1;-1;0
1,366179;0;0;0;0;0;0;0;0;-1;-1;0
1,382369;0;0;0;0;0;0;0;0;-1;-1;0
1,399236;0;0;0;0;0;0;0;0;-1;-1;0
1,416035;0;0;0;0;0;0;0;0;-1;-1;0
1,4328;0;0;0;0;0;0;0;0;-1;-1;0
1,448894;0;0;0;0;0;0;0;0;-1;-1;0
1,466134;0;0;0;0;0;0;0;0;-1;-1;0
1,482516;0;0;0;0;0;0;0;0;-1;-1;0
1,501246;0;0;0;0;0;0;0;0;-1;-1;0
1,516253;0;0;0;0;0;0;0;0;-1;-1;0
1,532358;0;0;0;0;0;0;0;0;-1;-1;0
1,549129;0;0;0;0;0;0;0;0;-1;-1;0
1,565967;0;0;0;0;0;0;0;0;-1;-1;0
1,582568;0;0;0;0;0;0;0;0;-1;-1;0
1,599198;0;0;0;0;0;0;0;0;-1;-1;0
1,616378;0;0;0;0;0;0;0;0;-1;-1;0
1,632825;0;0;0;0;0;0;0;0;-1;-1;0
1,651516;0;0;0;0;0;0;0;0;-1;-1;0
1,66611;0;0;0;0;0;0;0;0;-1;-1;0
1,682302;0;0;0;0;0;0;0;0;-1;-1;0
1,699269;0;0;0;0;0;0;0;0;-1;-1;0
1,716298;0;0;0;0;0;0;0;0;-1;-1;0
1,732503;0;0;0;0;0;0;0;0;-1;-1;0
1,749036;0;0;0;0;0;0;0;0;-1;-1;0
1,766058;0;0;0;0;0;0;0;0;-1;-1;0
1,782472;0;0;0;0;0;0;0;0;-1;-1;0
1,799643;0;0;0;0;0;0;0;0;-1;-1;0
1,818094;0;0;0;0;0;0;0;0;-1;-1;0
1,832547;0;0;0;0;0;0;0;0;-1;-1;0
1,84936;0;0;0;0;0;0;0;0;-1;-1;0
1,866345;0;0;0;0;0;0;0;0;-1;-1;0
1,882562;0;0;0;0;0;0;0;0;-1;-1;0
1,899297;0;0;0;0;0;0;0;0;-1;-1;0
1,932751;0;0;0;0;0;0;0;0;-1;-1;0
1,949687;0;0;0;0;0;0;0;0;-1;-1;0
1,968449;0;0;0;0;0;0;0;0;-1;-1;0
1,982715;0;0;0;0;0;0;0;0;-1;-1;0
1,999433;0;0;0;0;0;0;0;0;-1;-1;0
2,032996;0;0;0;0;0;0;0;0;-1;-1;0
2,049286;0;0;0;0;0;0;0;0;-1;-1;0
2,066576;0;0;0;0;0;0;0;0;-1;-1;0
2,082612;0;0;0;0;0;0;0;0;-1;-1;0
2,100053;0;0;0;0;0;0;0;0;-1;-1;0
2,118604;0;0;0;0;0;0;0;0;-1;-1;0
2,132716;0;0;0;0;0;0;0;0;-1;-1;0
2,149461;0;0;0;0;0;0;0;0;-1;-1;0
2,16621;0;0;0;0;0;0;0;0;-1;-1;0
2,182659;0;0;0;0;0;0;0;0;-1;-1;0
2,199502;0;0;0;0;0;0;0;0;-1;-1;0
2,216656;0;0;0;0;0;0;0;0;-1;-1;0
2,232976;0;0;0;0;0;0;0;0;-1;-1;0
2,249613;0;0;0;0;0;0;0;0;-1;-1;0
2,266971;0;0;0;0;0;0;0;0;-1;-1;0
2,284683;0;0;0;0;0;0;0;0;-1;-1;0
2,299403;0;0;0;0;0;0;0;0;-1;-1;0
2,316819;0;0;0;0;0;0;0;0;-1;-1;0
2,333074;0;0;0;0;0;0;0;0;-1;-1;0
2,349681;0;0;0;0;0;0;0;0;-1;-1;0
2,366542;0;0;0;0;0;0;0;0;-1;-1;0
2,382749;0;0;0;0;0;0;0;0;-1;-1;0
2,399554;0;0;0;0;0;0;0;0;-1;-1;0
2,417401;0;0;0;0;0;0;0;0;-1;-1;0
2,435235;0;0;0;0;0;0;0;0;-1;-1;0
2,449746;0;0;0;0;0;0;0;0;-1;-1;0
2,466818;0;0;0;0;0;0;0;0;-1;-1;0
2,483016;0;0;0;0;0;0;0;0;-1;-1;0
2,499563;0;0;0;0;0;0;0;0;-1;-1;0
2,517479;0;0;0;0;0;0;0;0;-1;-1;0
2,532853;0;0;0;0;0;0;0;0;-1;-1;0
2,549708;0;0;0;0;0;0;0;0;-1;-1;0
2,566777;0;0;0;0;0;0;0;0;-1;-1;0
2,583395;0;0;0;0;0;0;0;0;-1;-1;0
2,60174;0;0;0;0;0;0;0;0;-1;-1;0
2,633127;0;0;0;0;0;0;0;0;-1;-1;0
2,649791;0;0;0;0;0;0;0;0;-1;-1;0
2,666613;0;0;0;0;0;0;0;0;-1;-1;0
2,683033;0;0;0;0;0;0;0;0;-1;-1;0
2,699814;0;0;0;0;0;0;0;0;-1;-1;0
2,717087;0;0;0;0;0;0;0;0;-1;-1;0
2,733917;0;0;0;0;0;0;0;0;-1;-1;0
2,752181;0;0;0;0;0;0;0;0;-1;-1;0
2,766965;0;0;0;0;0;0;0;0;-1;-1;0
2,782992;0;0;0;0;0;0;0;0;-1;-1;0
2,799877;0;0;0;0;0;0;0;0;-1;-1;0
2,817665;0;0;0;0;0;0;0;0;-1;-1;0
2,833357;0;0;0;0;0;0;0;0;-1;-1;0
2,867018;0;0;0;0;0;0;0;0;-1;-1;0
2,883287;0;0;0;0;0;0;0;0;-1;-1;0
2,90029;0;0;0;0;0;0;0;0;-1;-1;0
2,919839;0;0;0;0;0;0;0;0;-1;-1;0
2,933494;0;0;0;0;0;0;0;0;-1;-1;0
2,949885;0;0;0;0;0;0;0;0;-1;-1;0
2,966823;0;0;0;0;0;0;0;0;-1;-1;0
2,983133;0;0;0;0;0;0;0;0;-1;-1;0
3,000275;0;0;0;0;0;0;0;0;-1;-1;0
3,016923;0;0;0;0;0;0;0;0;-1;-1;0
3,033399;0;0;0;0;0;0;0;0;-1;-1;0
3,050401;0;0;0;0;0;0;0;0;-1;-1;0
3,068701;0;0;0;0;0;0;0;0;-1;-1;0
3,083397;0;0;0;0;0;0;0;0;-1;-1;0
3,099952;0;0;0;0;0;0;0;0;-1;-1;0
3,117446;0;0;0;0;0;0;0;0;-1;-1;0
3,133666;0;0;0;0;0;0;0;0;-1;-1;0
3,15016;0;0;0;0;0;0;0;0;-1;-1;0
3,166962;0;0;0;0;0;0;0;0;-1;-1;0
3,183284;0;0;0;0;0;0;0;0;-1;-1;0
3,200452;0;0;0;0;0;0;0;0;-1;-1;0
3,219109;0;0;0;0;0;0;0;0;-1;-1;0
3,233422;0;0;0;0;0;0;0;0;-1;-1;0
3,25027;0;0;0;0;0;0;0;0;-1;-1;0
3,267213;0;0;0;0;0;0;0;0;-1;-1;0
3,283464;0;0;0;0;0;0;0;0;-1;-1;0
3,300304;0;0;0;0;0;0;0;0;-1;-1;0
3,317097;0;0;0;0;0;0;0;0;-1;-1;0
