Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Instant acceleration (m/s^2);Distance travelled (m)
0;-6,67;1,7;-0,89;0;0;0;-1;0;-1;0
0,3250847;-6,67;1,7;-0,89;1,4;345,7999;0;0;0;-1;0
0,3524257;-6,67;1,7;-0,89;1,2;344,7999;1,334314E-08;0;0;0;0
0,3677675;-6,67;1,7;-0,89;1,2;344,6999;0;0;0;0;0
0,3779184;-6,67;1,7;-0,89;1,2;344,6999;0;0;0;0;0
0,3957394;-6,67;1,7;-0,89;1,2;344,6999;0;0;0;0;0
0,4128933;-6,67;1,7;-0,89;1,2;344,6999;0;0;0;0;0
0,4236412;-6,67;1,7;-0,89;1,2;344,5999;-1,334314E-08;0;0;0;0
0,4345161;-6,67;1,7;-0,89;1,2;344,3998;0;0;0;0;0
0,4483112;-6,67;1,7;-0,89;1,2;343,9998;-1,334314E-08;0;0;0;0
0,4592856;-6,67;1,7;-0,89;1,2;343,4998;0;0;0;0;0
0,4714662;-6,67;1,7;-0,89;1,2;342,7998;-1,334314E-08;0;0;0;0
0,4839914;-6,67;1,7;-0,89;1,2;341,9998;0;0;0;0;0
0,5069447;-6,67;1,7;-0,89;1,2;339,2998;-1,334314E-08;0;0;0;0
0,5253642;-6,67;1,7;-0,89;1,2;336,6998;0;0;0;0;0
0,5365285;-6,67;1,7;-0,89;1,2;334,5998;0;0;0;0;0
0,5480881;-6,67;1,7;-0,89;1,2;332,0998;-2,668628E-08;0;0;0;0
0,5593927;-6,67;1,7;-0,89;1,2;329,9998;-2,668628E-08;0;0;0;0
0,5709146;-6,67;1,7;-0,89;1,1;327,1998;-2,668534E-08;0;0;0;0
0,5823928;-6,67;1,7;-0,89;1,1;324,4998;0;0;0;0;0
0,5948884;-6,67;1,7;-0,89;1;321,5998;0;0;0;0;0
0,6064662;-6,67;1,7;-0,89;0,8000001;318,7998;0;0;0;0;0
0,6165463;-6,67;1,7;-0,89;0,8;316,3998;0;0;0;0;0
0,6281737;-6,67;1,7;-0,89;0,6999999;313,7998;0;0;0;0;0
0,6391276;-6,67;1,7;-0,89;0,6000001;311,5998;0;0;0;0;0
0,6526899;-6,67;1,7;-0,89;0,4;308,9998;0;0;0;0;0
0,6645263;-6,67;1,7;-0,89;0,3;306,5998;0;0;0;0;0
0,676571;-6,67;1,7;-0,89;0,2;304,3998;0;0;0;0;0
0,6891705;-6,67;1,7;-0,89;0,2;302,0998;-6,670147E-09;0;0;0;0
0,701493;-6,67;1,7;-0,89;0,09999999;300,2998;0;0;0;0;0
0,7146583;-6,67;1,7;-0,89;0,09999999;298,6998;3,335058E-09;0;0;0;0
0,7255716;-6,67;1,7;-0,89;-1,490116E-08;297,4998;-3,975693E-16;0;0;0;0
0,7374834;-6,67;1,7;-0,89;-1,490116E-08;296,4998;0;0;0;0;0
