Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3250847;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3524257;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3677675;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3779184;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3957394;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4128933;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4236412;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4345161;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4483112;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4592856;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4714662;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4839914;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5069447;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5253642;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5365285;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5480881;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5593927;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5709146;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5823928;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5948884;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6064662;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6165463;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6281737;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6391276;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6526899;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6645263;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,676571;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6891705;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,701493;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7146583;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7255716;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7374834;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7512174;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7629004;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7750223;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7876513;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7998735;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8136553;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8265104;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8379915;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8488429;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8620572;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8759124;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8883574;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9000975;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,910929;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9217442;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9343947;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9468468;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9595826;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9747106;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,987996;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,001466;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,01288;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,030363;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,044032;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,062761;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,073216;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,084447;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,096461;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,107991;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,127745;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,13877;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,149022;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,160416;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,170927;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,182169;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,199391;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,216129;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,232901;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,244524;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,25593;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,268683;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,283714;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,297818;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,310079;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
