Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;0;-1;-1;0
0,3291821;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,3579629;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,3823207;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,3989772;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,4162229;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,4323572;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,4489435;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,4654757;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,4828872;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,5007131;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,5157189;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,5324007;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,5492088;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,5827244;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,5989544;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,6159441;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,6332372;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,6513719;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,6657055;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,6828514;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,6989109;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,7157514;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,7324114;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,749221;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,7656944;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,782533;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,7995895;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,8180853;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,8326846;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,8496472;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,8658314;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,8827862;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,8991734;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,9160438;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,9325296;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,9491846;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
0,9829514;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
1,000929;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
1,015858;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
1,033161;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
1,049249;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
1,066075;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
1,08261;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
1,116218;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
1,133271;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
1,16881;-6,210604;0,05407003;-6,047001;20,70667;255,631;205,5144;0;1;0;-1;-1
