Areas
Area;Time spent in Area (s)
(1,5);3,158147
(2,5);5,42307
(2,4);7,86482
(3,3);5,905203
(4,3);5,887835
(4,2);5,257042
(4,1);4,473774
(4,0);1,18042
(4,1);7,797565
(4,2);27,55262
(3,2);4,300781
(2,2);6,743858
(2,1);5,541687


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Right;5,608031;5,931959;0,3239274;0,5379407
Right;7,53273;7,876678;0,3439479;0,1775001
Right;11,17718;11,48828;0,3110962;0,8527946
Right;19,43787;19,99094;0,553072;0,8041763
Right;21,42636;21,76959;0,3432274;0,6562858
Right;22,87225;23,62149;0,7492466;0,8709871
Right;24,707;24,99256;0,2855587;0,5246124
Left;25,64612;26,45631;0,8101978;0,8231536
Left;27,35707;27,94767;0,5906029;0,4255414
Right;28,24518;29,00906;0,7638798;0,7479851
Left;28,96575;30,0281;1,062344;0,8798159
Right;30,983;31,27204;0,2890339;0,8729709
Left;31,04285;31,82866;0,7858105;0,8692923
Right;32,05929;32,68035;0,6210556;0,7997252
Left;32,69402;33,16391;0,4698906;0,3742329
Left;33,93294;34,34306;0,4101257;0,5332079
Right;34,31966;35,43361;1,113949;0,9160654
Left;35,44846;36,30489;0,8564262;0,9016933
Right;36,22964;37,14888;0,9192352;0,8989249
Left;37,12317;37,98774;0,8645668;0,9076676
Right;37,94535;38,96213;1,016785;0,9264616
Left;40,66493;41,80564;1,140717;0,6031682
Left;42,71765;42,833;0,115345;0,1309804
Right;44,74052;45,11858;0,3780632;0,2658851
Right;47,57435;48,37096;0,7966118;0,5139963
Left;48,2994;49,14053;0,8411293;0,9109738
Right;48,88837;49,8775;0,9891319;1,055508
Right;50,40469;51,24545;0,8407516;0,9710304
Right;51,9758;52,72925;0,7534447;0,8609967
Right;53,61142;54,44681;0,8353882;0,5958576
Left;64,83168;65,27592;0,4442368;0,1457672
Left;68,94546;69,31961;0,3741531;0,2675018
Left;71,45216;71,88862;0,4364624;0,1126056
Right;78,2741;79,13158;0,8574753;1,042626
Right;79,83127;80,66647;0,8351974;0,9837993
Right;81,48978;82,58994;1,100151;0,8883312
Right;83,25366;84,032;0,7783356;0,891158
Right;84,88503;85,74969;0,8646698;0,9274423
Right;86,70392;87,34415;0,6402283;0,5954289
Right;88,66953;89,46118;0,7916489;0,7995775
Right;90,83909;91,89314;1,054054;0,804239
Right;92,81863;93,62923;0,8106079;0,8182526
Right;94,75665;95,63561;0,8789673;0,8040379
Left;95,56855;96,51643;0,9478836;0,8246354


Landmarks
Area;Time spent looking at landmarks (s)
(1,5);0,42
(2,5);2,639998
(2,4);1,399999
(3,3);0
(4,3);3,259998
(4,2);7,319994
(3,2);1,619999
(2,2);1,08


Errors
Walked path;Duration (s);Distance walked (m)
42.41.40;15,49678;2,744612


Pauses
Duration (s);Area;Time spent looking at landmarks (s)
3,091743;(2,5);0,6199999
3,016921;(2,4);0,5000001
1,696705;(4,0);0
2,242428;(4,1);0
6,576096;(4,2);2,999998
3,469368;(4,2);0
1,920998;(4,2);0,12
6,180679;(4,2);0,4800001


