Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s)
0,0096537;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,342987;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,3633458;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,3789201;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,3905815;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,4003133;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,4108328;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,4238737;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,4333695;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,4448189;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,4575644;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,4663574;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,4767838;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,4864354;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,4987164;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,5113934;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,5310487;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,5456691;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,5566286;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,5679035;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,5818164;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,5923885;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,6014999;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,6140475;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,624873;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,635353;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,6458398;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,6560014;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,6669403;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,678201;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,6873438;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,7022501;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,712468;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,7219728;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,7325261;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,7444205;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,7538812;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,7633504;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,7757334;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,7864424;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,8013302;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,8132879;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,8249776;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,8345239;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,8444001;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,8552978;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,8651614;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,8751433;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,8854635;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,8952651;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
0,9055568;4,010297;0,0383818;-7,710311;5,124791;43,13872;60,90419;0;0;0;-1;-1
