Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s)
0,0091306;0;0;0;0;90;0;0;0;0;-1;-1
0,3424639;0;0;0;0;90;0;0;0;0;-1;-1
0,3718082;0;0;0;0;90;0;0;0;0;-1;-1
0,3896555;0;0;0;0;90;0;0;0;0;-1;-1
0,4011738;0;0;0;0;90;0;0;0;0;-1;-1
0,4135721;0;0;0;0;90;0;0;0;0;-1;-1
0,4286799;0;0;0;0;90;0;0;0;0;-1;-1
0,4410899;0;0;0;0;90;0;0;0;0;-1;-1
0,4525508;0;0;0;0;90;0;0;0;0;-1;-1
0,4681145;0;0;0;0;90;0;0;0;0;-1;-1
0,4810784;0;0;0;0;90;0;0;0;0;-1;-1
0,4917123;0;0;0;0;90;0;0;0;0;-1;-1
0,5053558;0;0;0;0;90;0;0;0;0;-1;-1
0,5209628;0;0;0;0;90;0;0;0;0;-1;-1
0,5332193;0;0;0;0;90;0;0;0;0;-1;-1
0,5459257;0;0;0;0;90;0;0;0;0;-1;-1
0,5570627;0;0;0;0;90;0;0;0;0;-1;-1
0,5657884;0;0;0;0;90;0;0;0;0;-1;-1
0,5780423;0;0;0;0;90;0;0;0;0;-1;-1
0,589646;0;0;0;0;90;0;0;0;0;-1;-1
0,6064177;0;0;0;0;90;0;0;0;0;-1;-1
0,6208863;0;0;0;0;90;0;0;0;0;-1;-1
0,632731;0;0;0;0;90;0;0;0;0;-1;-1
0,642839;0;0;0;0;90;0;0;0;0;-1;-1
0,6542151;0;0;0;0;90;0;0;0;0;-1;-1
0,6666467;0;0;0;0;90;0;0;0;0;-1;-1
0,6827048;0;0;0;0;90;0;0;0;0;-1;-1
0,6937887;0;0;0;0;90;0;0;0;0;-1;-1
0,7045211;0;0;0;0;90;0;0;0;0;-1;-1
0,7205112;0;0;0;0;90;0;0;0;0;-1;-1
0,7317378;0;0;0;0;90;0;0;0;0;-1;-1
0,7472685;0;0;0;0;90;0;0;0;0;-1;-1
0,7606199;0;0;0;0;90;0;0;0;0;-1;-1
0,7714513;0;0;0;0;90;0;0;0;0;-1;-1
0,7824294;0;0;0;0;90;0;0;0;0;-1;-1
0,7964;0;0;0;0;90;0;0;0;0;-1;-1
0,8069265;0;0;0;0;90;0;0;0;0;-1;-1
0,8201887;0;0;0;0;90;0;0;0;0;-1;-1
0,8364227;0;0;0;0;90;0;0;0;0;-1;-1
0,85136;4,45147;0,06008176;4,266264;359,678;70,25243;351,8632;93,71877;0;0;-1;-1
0,8623075;4,427929;0,0578975;4,259185;1,478562;68,87206;352,8873;0,5183765;0,02881341;1;0;-1,85136
