Areas
Area;Time spent in Area (s)
(4,5);3,072939
(3,5);4,669117
(3,4);3,229301
(2,3);3,121458
(1,3);3,305891
(1,2);3,091715
(1,1);2,544247
(2,1);3,04953
(3,1);2,358639


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Right;0,5682248;1,557156;0,9889312;0,9407099
Right;2,039612;2,735548;0,6959362;0,9441093
Left;2,265381;3,407698;1,142316;1,875608
Right;3,182012;3,956235;0,7742236;0,98963
Right;4,361809;5,064298;0,7024889;0,8753321
Left;5,016058;5,643217;0,6271586;0,5645387
Right;5,616893;6,372688;0,7557955;0,4947002
Left;6,657036;7,321264;0,6642284;0,4196573
Right;7,294693;8,034204;0,7395105;0,7093508
Left;8,125918;8,743303;0,6173849;0,7738861
Right;8,698793;9,375269;0,6764755;0,7301465
Left;9,424283;10,05907;0,6347857;0,7774236
Right;10,03503;10,83127;0,7962399;0,7544921
Left;10,85204;11,54318;0,6911354;0,7992852
Right;11,47798;12,26541;0,7874346;0,878603
Left;13,09431;13,76989;0,6755877;1,798145
Right;13,39384;14,47684;1,083005;0,9064789
Right;14,783;15,51;0,7270002;0,7711886
Left;15,62488;16,13206;0,5071802;1,691358
Right;16,00515;16,76227;0,7571239;0,9435415
Left;16,66289;17,33994;0,6770573;0,9289774
Right;17,18067;17,90705;0,7263832;0,9091463
Right;18,46223;19,17407;0,7118397;0,8484818
Left;18,99218;19,8695;0,877327;1,368613
Right;19,76312;20,45284;0,6897163;0,9009621
Left;20,3883;21,06901;0,6807117;0,9374784
Right;20,9954;21,72928;0,7338848;0,9287583
Left;21,50438;22,32961;0,8252354;0,9441157
Right;22,2232;22,93318;0,70998;0,9760605
Right;23,42873;24,14538;0,7166519;0,9932032
Left;24,29739;24,74366;0,4462776;1,721541
Right;24,64147;25,35661;0,7151375;0,7632428
Left;25,39608;26,08146;0,6853886;0,7004267
Right;25,99293;26,63883;0,6458988;0,9211917
Left;26,50158;27,39643;0,8948441;0,9312832
Right;27,16044;27,83705;0,6766052;0,9512618
Left;27,94528;28,42334;0,478056;0,938282
Right;28,29003;29,07114;0,781105;0,9315262
Left;29,16882;29,67758;0,5087624;0,9476584
Right;29,41821;30,25556;0,8373489;0,8651369
Left;30,12542;30,49693;0,3715115;0,4052212
Right;30,72293;31,43908;0,716156;0,8407171


Landmarks
Area;Time spent looking at landmarks (s)
(4,5);0
(3,5);3,579997
(3,4);0
(2,3);0,18
(1,3);1,399999
(1,2);0
(1,1);0,8399997
(2,1);0


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)


