Areas
Area;Time spent in Area (s)
(1,5);2,779878
(2,5);3,518529
(3,5);3,022606
(4,5);9,862456
(3,5);2,698126
(2,5);3,076727
(1,5);3,183477
(2,5);1,751122
(2,4);7,752419
(3,3);4,075035
(4,3);2,838825
(4,2);2,981209
(3,2);3,399628
(2,2);3,21553
(2,1);3,710152


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Right;0,5411865;0,9645826;0,4233961;0,1687769
Right;1,444365;2,208478;0,7641126;0,8422611
Left;2,165963;2,863781;0,6978185;0,8503889
Right;2,779878;3,450436;0,6705573;0,9184162
Left;3,367136;4,06777;0,7006342;0,8856735
Right;3,959994;4,767427;0,8074327;0,8357745
Left;4,710601;5,413763;0,7031617;0,8346997
Right;5,33956;6,074641;0,7350817;0,8829191
Left;5,962694;6,643682;0,6809874;0,8824233
Right;6,609476;7,330654;0,7211781;0,8805184
Left;7,254051;7,957364;0,7033129;0,9010036
Right;7,840374;8,58342;0,7430458;0,9291349
Left;8,427925;9,147039;0,7191143;0,9505289
Right;9,025091;9,79272;0,7676287;0,978111
Left;9,650216;10,32702;0,6768064;0,9820727
Right;10,22254;10,94433;0,7217922;0,9726583
Left;10,83844;11,55754;0,7191;0,965961
Right;11,4584;12,30174;0,8433428;0,9254225
Left;12,08837;12,9128;0,8244295;0,8753846
Right;12,86317;13,44477;0,5816002;0,5547695
Left;13,60279;14,16424;0,5614433;0,4657518
Right;14,26026;14,66601;0,4057465;0,1195364
Left;15,02521;15,56828;0,5430737;0,3769011
Right;15,68645;16,2651;0,5786581;0,2093202
Left;16,32394;16,91115;0,5872059;0,3300679
Right;17,98203;18,71198;0,72995;0,6623901
Left;18,66797;19,42056;0,7525921;0,8930194
Right;19,34695;20,07256;0,7256165;0,9467282
Right;20,57986;21,28798;0,7081146;1,017944
Right;21,69579;22,36827;0,6724796;0,9842934
Right;22,82063;23,56338;0,7427521;0,9813623
Right;23,90526;24,69341;0,7881489;0,942293
Right;25,16688;25,83018;0,6632977;0,8704828
Right;26,4068;27,14722;0,7404175;0,5130042
Right;27,96244;28,36094;0,3985023;0,1559376
Right;29,16367;29,81496;0,6512966;0,4076058
Right;35,75221;36,40387;0,6516609;0,3883021
Right;37,02439;37,77548;0,7510834;0,8552616
Right;38,26666;39,02719;0,7605247;0,8616028
Right;39,54953;40,32895;0,7794228;0,9116348
Left;40,19892;40,88719;0,6882706;0,5916037
Right;41,1038;41,64668;0,5428772;0,3760659
Left;44,75824;45,39234;0,6341019;0,6294615
Right;45,2992;46,08501;0,7858047;1,055458
Left;45,92642;46,69294;0,7665215;1,067954
Right;46,51126;47,2601;0,7488403;1,047652
Left;47,08352;47,83866;0,755146;1,02437
Right;47,72323;48,63276;0,909523;0,9317887
Left;48,39362;49,00694;0,6133194;0,6736622
Right;49,1296;49,91238;0,7827721;0,8222691
Left;49,80321;50,60677;0,8035583;0,9434111
Right;50,46745;51,23458;0,7671356;0,896765
Left;51,13121;51,86705;0,7358437;0,7691327
Right;51,7436;52,59496;0,8513641;0,7409351
Left;52,48542;53,22437;0,738945;0,8817437
Right;53,09645;53,8693;0,7728577;0,6564847
Left;53,76659;54,57341;0,8068237;0,8175832
Right;54,52766;55,28625;0,7585869;0,801641
Left;55,21783;55,95947;0,7416306;0,8743914
Right;55,78574;56,47821;0,6924706;0,7539783
Left;56,4476;57,25101;0,8034096;0,7680674
Right;57,14205;57,93503;0,7929764;0,8067045
Right;58,44514;59,3019;0,8567543;0,8697764
Left;59,16209;59,97124;0,8091507;1,781752
Right;59,82386;60,65108;0,8272247;0,9198936
Right;61,08352;61,89094;0,8074188;0,938864
Left;61,70054;62,53092;0,8303795;1,84612
Right;62,41034;63,0897;0,6793594;0,7749372
Left;63,04508;63,85943;0,8143463;0,6330288
Right;63,68673;64,51919;0,8324623;0,9397549
Left;64,42563;65,18236;0,7567291;0,8571433
Right;65,04635;65,85477;0,8084183;0,9139417
Left;65,76588;66,49937;0,7334824;0,859365
Right;66,40997;67,21384;0,8038712;0,7188866
Left;67,10411;67,82096;0,7168503;0,7755831
Right;67,69736;68,4789;0,7815475;0,9143568


Landmarks
Area;Time spent looking at landmarks (s)
(1,5);2,899998
(2,5);1,279999
(2,4);1,08
(3,3);0
(4,3);2,479998
(4,2);1,02
(3,2);0,22
(2,2);1,759999


Errors
Walked path;Duration (s);Distance walked (m)
25.35.45;16,30227;3,01189
25.15;11,80537;0,4870295


Pauses
Duration (s);Area;Time spent looking at landmarks (s)
4,817871;(1,5);0
2,901676;(2,4);0,22


