Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s)
0,0066629;0;0;0;0;270;0;0;0;0;-1;-1
0,3399962;0;0;0;0;270;0;0;0;0;-1;-1
0,3593428;0;0;0;0;270;0;0;0;0;-1;-1
0,3734601;0;0;0;0;270;0;0;0;0;-1;-1
0,3832259;0;0;0;0;270;0;0;0;0;-1;-1
0,3929037;0;0;0;0;270;0;0;0;0;-1;-1
0,4023405;0;0;0;0;270;0;0;0;0;-1;-1
0,4123854;0;0;0;0;270;0;0;0;0;-1;-1
0,4225855;0;0;0;0;270;0;0;0;0;-1;-1
0,4311888;0;0;0;0;270;0;0;0;0;-1;-1
0,4418418;0;0;0;0;270;0;0;0;0;-1;-1
0,4535033;0;0;0;0;270;0;0;0;0;-1;-1
0,4630941;0;0;0;0;270;0;0;0;0;-1;-1
0,4732653;0;0;0;0;270;0;0;0;0;-1;-1
0,4860086;0;0;0;0;270;0;0;0;0;-1;-1
0,4985659;0;0;0;0;270;0;0;0;0;-1;-1
0,51072;0;0;0;0;270;0;0;0;0;-1;-1
0,5196838;0;0;0;0;270;0;0;0;0;-1;-1
0,531005;0;0;0;0;270;0;0;0;0;-1;-1
0,5411865;0;0;0;0;270;0;0;0;0;-1;-1
0,5518944;0;0;0;0;270;0;0;0;0;-1;-1
0,5707883;0;0;0;0;270;0;0;0;0;-1;-1
0,5864761;0;0;0;0;270;0;0;0;0;-1;-1
0,5970577;0;0;0;0;270;0;0;0;0;-1;-1
0,6085301;0;0;0;0;270;0;0;0;0;-1;-1
0,6229789;0;0;0;0;270;0;0;0;0;-1;-1
0,6319535;0;0;0;0;270;0;0;0;0;-1;-1
0,6442698;0;0;0;0;270;0;0;0;0;-1;-1
0,6576228;0;0;0;0;270;0;0;0;0;-1;-1
0,6731104;0;0;0;0;270;0;0;0;0;-1;-1
0,6854275;0;0;0;0;270;0;0;0;0;-1;-1
0,6959473;0;0;0;0;270;0;0;0;0;-1;-1
0,7059096;0;0;0;0;270;0;0;0;0;-1;-1
0,7164019;0;0;0;0;270;0;0;0;0;-1;-1
0,7268845;0;0;0;0;270;0;0;0;0;-1;-1
0,7385116;0;0;0;0;270;0;0;0;0;-1;-1
0,747526;0;0;0;0;270;0;0;0;0;-1;-1
0,7579305;0;0;0;0;270;0;0;0;0;-1;-1
0,7685218;0;0;0;0;270;0;0;0;0;-1;-1
0,7831247;0;0;0;0;270;0;0;0;0;-1;-1
0,7937998;0;0;0;0;270;0;0;0;0;-1;-1
0,8052381;0;0;0;0;270;0;0;0;0;-1;-1
0,8180518;0;0;0;0;270;0;0;0;0;-1;-1
0,8318101;0;0;0;0;270;0;0;0;0;-1;-1
0,8461627;0;0;0;0;270;0;0;0;0;-1;-1
0,8588904;0;0;0;0;270;0;0;0;0;-1;-1
0,8717743;0;0;0;0;270;0;0;0;0;-1;-1
0,8834862;0;0;0;0;270;0;0;0;0;-1;-1
0,8983248;0;0;0;0;270;0;0;0;0;-1;-1
0,9123079;0;0;0;0;270;0;0;0;0;-1;-1
0,9235061;0;0;0;0;270;0;0;0;0;-1;-1
0,9352381;0;0;0;0;270;0;0;0;0;-1;-1
0,951621;0;0;0;0;270;0;0;0;0;-1;-1
0,9645825;0;0;0;0;270;0;0;0;0;-1;-1
0,979437;0;0;0;0;270;0;0;0;0;-1;-1
0,9939733;0;0;0;0;270;0;0;0;0;-1;-1
1,011119;0;0;0;0;270;0;0;0;0;-1;-1
