Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s)
0,0066629;3,914417;0,05007854;-7,56365;351,475;169,8075;4,015486;0;0;0;-1;-1
0,3399962;3,914454;0,05033358;-7,562996;350,3943;169,7687;5,331799;0;0,001964526;0;-1;-1
0,3593428;3,914597;0,09446123;-7,198567;320,4853;173,0351;9,331203;0;1,035171;0;-1;-1
0,3734601;3,913827;0,08820276;-7,144298;325,891;172,2063;11,49506;0;1,143298;0;-1;-1
0,3832259;3,913607;0,0848311;-7,11655;329,0253;172,2241;11,16672;0;1,187337;0;-1;-1
0,3929037;3,913607;0,0848311;-7,11655;329,0253;172,2241;11,16672;0;1,157586;0;-1;-1
0,4023405;3,911827;0,07735047;-7,061738;335,2874;172,9438;6,99984;0;1,268579;0;-1;-1
0,4123854;3,911827;0,07735047;-7,061738;335,2874;172,9438;6,99984;0;1,237172;0;-1;-1
0,4225855;3,911857;0,07370717;-7,004153;342,1672;172,6195;5,907339;0;1,345282;0;-1;-1
0,4311888;3,911857;0,07370717;-7,004153;342,1672;172,6195;5,907339;0;1,318019;0;-1;-1
0,4418418;3,907996;0,07106578;-6,948393;348,1302;170,9183;3,908634;0;1,414193;0;-1;-1
0,4535033;3,907996;0,07106578;-6,948393;348,1302;170,9183;3,908634;0;1,377286;0;-1;-1
0,4630941;3,903413;0,07191829;-6,891911;353,9841;168,6417;0,01247564;0;1,472499;0;-1;-1
0,4732653;3,903413;0,07191829;-6,891911;353,9841;168,6417;0,01247564;0;1,440401;0;-1;-1
0,4860086;3,896305;0,0745127;-6,838473;359,3034;165,5505;359,5315;0;1,514572;0;-1;-1
0,4985659;3,892283;0,07721714;-6,812815;1,937961;163,9789;359,45;0;1,528705;0;-1;-1
0,51072;3,892283;0,07721714;-6,812815;1,937961;163,9789;359,45;0;1,491845;0;-1;-1
0,5196838;3,877511;0,08976433;-6,743224;9,722574;158,748;0,2728972;0;1,60445;0;-1;-1
0,531005;3,877511;0,08976433;-6,743224;9,722574;158,748;0,2728972;0;1,569808;0;-1;-1
0,5411865;3,866737;0,09837168;-6,704175;13,47464;155,9047;357,9683;0,4220713;1,61569;0;-1;-1
0,5518944;3,866737;0,09837168;-6,704175;13,47464;155,9047;357,9683;4,973958;1,583959;1;7,77857;-1,541186
0,5707883;3,857357;0,1055593;-6,671915;15,9752;153,6339;356,9895;0,6118467;1,590462;1;7,77857;-1,541186
0,5864761;3,849483;0,1090201;-6,647316;17,46806;152,2581;356,612;0,3842886;1,591976;1;7,77857;-1,541186
0,5970577;3,846317;0,1090964;-6,637784;17,80236;151,7859;356,7755;0,2464214;1,580455;1;7,77857;-1,541186
0,6085301;3,846317;0,1090964;-6,637784;17,80236;151,7859;356,7755;1,51219;1,55033;1;7,77857;-1,541186
0,6229789;3,84146;0,1059339;-6,623854;17,59997;151,3229;358,0057;0,2631859;1,537921;1;7,77857;-1,541186
0,6319535;3,84146;0,1059339;-6,623854;17,59997;151,3229;358,0057;1,43247;1,515848;1;7,77857;-1,541186
0,6442698;3,833924;0,0948274;-6,613657;15,05236;149,6182;359,0214;0,342633;1,506454;1;7,77857;-1,541186
0,6576228;3,830842;0,0901461;-6,611937;13,27222;148,4212;359,7043;1,253666;1,480973;1;7,77857;-1,541186
0,6731104;3,830842;0,0901461;-6,611937;13,27222;148,4212;359,7043;8,768364E-09;1,446557;1;7,77857;-1,541186
0,6854275;3,819439;0,0765873;-6,606891;7,993907;143,8776;2,919322;1,348588;1,438677;1;7,77857;-1,541186
0,6959473;3,816034;0,07233983;-6,605332;6,154838;142,6143;3,299109;0,1287052;1,422154;1;7,77857;-1,541186
0,7059096;3,816034;0,07233983;-6,605332;6,154838;142,6143;3,299109;1,010253;1,401893;1;7,77857;-1,541186
0,7164019;3,812982;0,06528214;-6,601644;2,995492;141,7322;4,298037;0,4612775;1,387913;1;7,77857;-1,541186
0,7268845;3,812982;0,06528214;-6,601644;2,995492;141,7322;4,298037;0;1,367712;1;7,77857;-1,541186
0,7385116;3,81394;0,05999141;-6,597302;0,5774689;142,5504;5,412232;1,910525;1,352058;1;7,77857;-1,541186
0,747526;3,81394;0,05999141;-6,597302;0,5774689;142,5504;5,412232;0;1,335607;1;7,77857;-1,541186
0,7579305;3,813537;0,05636236;-6,595023;358,7834;142,4153;6,040828;0,9640368;1,320191;1;7,77857;-1,541186
0,7685218;3,813537;0,05636236;-6,595023;358,7834;142,4153;6,040828;0;1,301838;1;7,77857;-1,541186
0,7831247;3,813697;0,05476366;-6,59336;357,8394;142,5207;5,970668;0,4187881;1,279505;1;7,77857;-1,541186
0,7937998;3,813697;0,05476366;-6,59336;357,8394;142,5207;5,970668;0,4138398;1,262153;1;7,77857;-1,541186
0,8052381;3,813629;0,05409847;-6,592699;357,4539;142,5782;5,99799;0,227088;1,244906;1;7,77857;-1,541186
0,8180518;3,813546;0,05384448;-6,592452;357,2812;142,6136;5,940806;0,007162853;1,225569;1;7,77857;-1,541186
0,8318101;3,813546;0,05384448;-6,592452;357,2812;142,6136;5,940806;0,2600921;1,205134;1;7,77857;-1,541186
0,8461627;3,813301;0,0532705;-6,591915;356,841;142,6977;5,873569;0,01425378;1,185233;1;7,77857;-1,541186
0,8588904;3,812807;0,05268139;-6,591708;356,41;142,5852;5,338492;0,3206004;1,16816;1;7,77857;-1,541186
0,8717743;3,812807;0,05268139;-6,591708;356,41;142,5852;5,338492;0,1073446;1,150763;1;7,77857;-1,541186
0,8834862;3,812573;0,05228468;-6,591313;356,0288;142,6517;5,117824;0,01273911;1,135916;1;7,77857;-1,541186
0,8983248;3,812573;0,05228468;-6,591313;356,0288;142,6517;5,117824;0,3685465;1,117013;1;7,77857;-1,541186
0,9123079;3,81123;0,05185447;-6,590874;355,6464;142,5288;4,659081;0,1110333;1,101326;1;7,77857;-1,541186
0,9235061;3,811032;0,05161504;-6,59066;355,4221;142,5987;4,569332;0,008231303;1,088193;1;7,77857;-1,541186
0,9352381;3,811032;0,05161504;-6,59066;355,4221;142,5987;4,569332;0,1968116;1,074444;1;7,77857;-1,541186
0,951621;3,810936;0,05153191;-6,590381;355,2133;142,6525;4,581544;0,004421069;1,056129;1;7,77857;-1,541186
0,9645825;3,810943;0,05148763;-6,590149;355,0396;142,7225;4,667003;0,1356843;1,042081;1;7,77857;-1,541186
0,979437;3,810961;0,05145654;-6,590024;354,9573;142,7325;4,773118;0,00201708;1,026298;1;7,77857;-1,541186
0,9939733;3,810961;0,05145654;-6,590024;354,9573;142,7325;4,773118;0,09324181;1,011187;1;7,77857;-1,541186
1,011119;3,811027;0,0513512;-6,589712;354,7654;142,7664;4,972341;0,004293675;0,9942442;1;7,77857;-1,541186
1,034955;3,811153;0,05141849;-6,589564;354,7276;142,7853;5,237843;0,03242447;0,971386;1;7,77857;-1,541186
1,062829;3,811159;0,05132521;-6,589434;354,6151;142,7751;5,401003;0,001142367;0,945873;1;7,77857;-1,541186
1,080618;3,810833;0,05110943;-6,589401;354,3883;142,7258;5,186973;0,01422399;0,9305108;1;7,77857;-1,541186
1,093111;3,810569;0,05080024;-6,589435;354,146;142,6999;4,798116;0,005196879;0,9200559;1;7,77857;-1,541186
1,106315;3,810673;0,05093087;-6,589186;354,0782;142,795;4,273448;0,004384846;0,9092537;1;7,77857;-1,541186
1,120753;3,81062;0,05087499;-6,589104;354,0771;142,8536;5,104464;0,009572093;0,8975587;1;7,77857;-1,541186
1,132838;3,81062;0,05087499;-6,589104;354,0771;142,8536;5,104464;0,01212367;0,8879275;1;7,77857;-1,541186
1,153628;3,810152;0,0502721;-6,588888;353,4802;142,6902;5,18476;0,007181135;0,8722816;1;7,77857;-1,541186
1,167743;3,81007;0,05016858;-6,588507;353,1891;142,7203;5,232188;0,005777925;0,8620136;1;7,77857;-1,541186
1,193341;3,810019;0,05014985;-6,588298;353,0355;142,7136;5,310572;0,001510886;0,8436002;1;0,1687769;0,4233961
1,217484;3,809804;0,05026312;-6,587538;352,2799;142,6287;5,72295;0,01638503;0,8274319;1;0,1687769;0,4233961
1,233004;3,809764;0,05065;-6,586313;351,3349;142,6241;5,631782;0,01334932;0,8179588;1;0,1687769;0,4233961
1,247652;3,809428;0,05135823;-6,585259;350,12;142,4999;5,876931;0,01536626;0,8091953;1;0,1687769;0,4233961
1,263669;3,809214;0,05176707;-6,584635;349,4386;142,4162;6,177104;0,006508794;0,79941;1;0,1687769;0,4233961
1,276786;3,809214;0,05176707;-6,584635;349,4386;142,4162;6,177104;0,003109394;0,7911538;1;0,1687769;0,4233961
1,289236;3,808259;0,05377705;-6,582658;347,0499;142,6348;7,716765;0,04028591;0,7851862;1;0,1687769;0,4233961
1,305437;3,807385;0,05559177;-6,580548;344,5758;142,3365;9,03532;0,03067937;0,7771505;1;0,1687769;0,4233961
1,319847;3,806691;0,05675223;-6,579401;342,9395;141,9794;9,793087;0,02016654;0,769643;1;0,1687769;0,4233961
1,330336;3,806691;0,05675223;-6,579401;342,9395;141,9794;9,793087;0,001501548;0,7635441;1;0,1687769;0,4233961
1,34476;3,803962;0,06172976;-6,573784;336,7934;141,1726;11,90741;0,09901583;0,7599812;1;0,1687769;0,4233961
1,357154;3,803962;0,06172976;-6,573784;336,7934;141,1726;11,90741;0,004159594;0,7530065;1;0,1687769;0,4233961
1,366894;3,803962;0,06172976;-6,573784;336,7934;141,1726;11,90741;0,006332101;0,7476144;1;0,1687769;0,4233961
1,382108;3,803962;0,06172976;-6,573784;336,7934;141,1726;11,90741;0,004374198;0,7393448;1;0,1687769;0,4233961
1,3938;3,803962;0,06172976;-6,573784;336,7934;141,1726;11,90741;0,001514807;0,7331129;1;0,1687769;0,4233961
1,406041;3,803962;0,06172976;-6,573784;336,7934;141,1726;11,90741;0;0,7267002;1;0,1687769;0,4233961
