Areas
Area;Time spent in Area (s)
(1,1);1,658274
(1,2);3,124945
(1,3);2,66195
(2,3);3,041766
(3,3);1,668629
(3,2);2,544595
(4,2);0,1988716
(4,3);0,01664543
(4,4);2,53083


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Right;1,760462;2,451227;0,6907647;1,836255
Right;2,87596;3,563937;0,6879768;1,021749
Right;3,981298;4,677527;0,6962292;0,8759982
Left;4,564458;5,265189;0,7007313;0,8797848
Right;5,030724;5,818216;0,7874928;0,8854537
Left;5,722046;6,353102;0,6310563;0,9072657
Right;6,261999;6,943769;0,6817703;0,7473101
Left;6,821132;7,502695;0,6815634;0,8428708
Right;7,451671;8,122633;0,6709623;0,7966099
Left;8,006324;8,761942;0,7556181;0,9576795
Right;8,585027;9,248198;0,6631708;0,968981
Left;9,120975;9,837371;0,7163954;0,9995713
Right;9,716838;10,34117;0,6243334;0,9504871
Left;10,26767;10,98386;0,7161922;0,9669065
Right;10,83043;11,55288;0,7224455;0,8866261
Left;11,45867;12,233;0,7743235;1,005255
Right;12,07671;12,81411;0,737401;0,9965488
Left;12,66579;13,37456;0,7087774;1,056442
Right;13,2404;13,98473;0,7443266;1,030643
Left;13,83171;14,55315;0,7214375;0,9329218
Right;14,39913;15,12372;0,7245941;0,9750376
Left;14,88063;15,46881;0,5881844;0,5739423
Right;15,55498;16,30612;0,7511396;0,9793115
Left;16,1983;16,8581;0,6598015;1,027764
Right;16,7162;17,4541;0,7379017;0,751008
Left;17,35336;19,28719;1,93383;1,440233
Right;17,93966;18,30884;0,369175;0,8463107
Right;19,14464;19,74018;0,595541;0,2849717
Left;20,30729;20,96173;0,6544342;0,383511
Right;20,99804;21,55659;0,5585518;0,4238486
Left;21,62556;22,1427;0,5171413;0,3455132
Right;22,17388;22,72247;0,5485935;0,3469652
Left;22,80399;23,2648;0,4608116;0,2704425
Right;23,44621;24,09517;0,6489639;0,3963989
Left;24,08301;24,83265;0,7496414;0,7682368
Right;24,72529;25,43004;0,7047482;0,5652672
Left;25,76468;26,49631;0,7316322;0,6858427
Right;26,4378;27,313;0,8752003;0,7794781
Left;27,55449;28,31603;0,7615395;0,8217943
Right;28,19311;29,06489;0,8717785;0,9340315
Left;28,80565;29,60734;0,8016853;1,009048
Right;29,39033;30,31659;0,9262543;0,8881934
Left;30,1241;30,87978;0,755682;0,9649429
Right;30,65477;31,40716;0,752388;0,8474709


Landmarks
Area;Time spent looking at landmarks (s)
(1,1);0,32
(1,2);0
(1,3);0,58
(2,3);1,879999
(3,3);0
(3,2);0,8799997
(4,2);0,16
(4,3);0,04


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)


