Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;-1,408468;0,0586963;-8,599038;11,18836;91,79444;359,1823;0;0;-1;-1;0
0,3333333;-1,408506;0,05876036;-8,599107;11,10186;91,78654;359,1473;0,0002356483;1;0;-1;-1
0,3670743;-1,40856;0,05869928;-8,598878;11,14544;91,84065;359,2714;0,000502706;1;0;-1;-1
0,396719;-1,408615;0,05875371;-8,598917;11,08746;91,84952;359,263;0,0004798483;1;0;-1;-1
0,4130679;-1,408628;0,05881518;-8,59894;10,98531;91,86443;359,2719;0,0004549661;1;0;-1;-1
0,4460305;-1,408623;0,0587852;-8,598948;11,0081;91,87402;359,2834;0,000401543;1;0;-1;-1
0,4626353;-1,408653;0,05878609;-8,598896;11,02176;91,87849;359,2928;0,0005042503;1;0;-1;-1
0,4796669;-1,408655;0,05879307;-8,598904;10,99965;91,87577;359,2864;0,0004800466;1;0;-1;-1
0,4965423;-1,408655;0,05879307;-8,598904;10,99965;91,87577;359,2864;0,0004637318;1;0;-1;-1
0,5152068;-1,408646;0,05877839;-8,598911;11,01818;91,87716;359,2881;0,0004232598;1;0;-1;-1
0,5295562;-1,408669;0,0587863;-8,598916;11,00345;91,87806;359,2679;0,0004429026;1;0;-1;-1
0,5460658;-1,408678;0,05877071;-8,598928;10,99676;91,87499;359,2737;0,0004335444;1;0;-1;-1
0,5626482;-1,408678;0,05877071;-8,598928;10,99676;91,87499;359,2737;0,000420767;1;0;-1;-1
0,5797529;-1,408678;0,05877071;-8,598928;10,99676;91,87499;359,2737;0,0004083529;1;0;-1;-1
0,5961081;-1,408678;0,05877071;-8,598928;10,99676;91,87499;359,2737;0,000397149;1;0;-1;-1
0,612612;-1,408678;0,05877071;-8,598928;10,99676;91,87499;359,2737;0,0003864498;1;0;-1;-1
0,629559;-1,408678;0,05877071;-8,598928;10,99676;91,87499;359,2737;0,000376047;1;0;-1;-1
0,6466626;-1,408678;0,05877071;-8,598928;10,99676;91,87499;359,2737;0,0003661009;1;0;-1;-1
0,6815394;-1,408678;0,05877071;-8,598928;10,99676;91,87499;359,2737;0,0003473662;1;0;-1;-1
0,6962411;-1,408678;0,05877071;-8,598928;10,99676;91,87499;359,2737;0,0003400313;1;0;-1;-1
0,7128462;-1,408678;0,05877071;-8,598928;10,99676;91,87499;359,2737;0,0003321106;1;0;-1;-1
0,7298578;-1,408678;0,05877071;-8,598928;10,99676;91,87499;359,2737;0,0003243697;1;0;-1;-1
0,7465243;-1,408678;0,05877071;-8,598928;10,99676;91,87499;359,2737;0,000317128;1;0;-1;-1
0,7631156;-1,408678;0,05877071;-8,598928;10,99676;91,87499;359,2737;0,0003102332;1;0;-1;-1
0,7805192;-1,408678;0,05877071;-8,598928;10,99676;91,87499;359,2737;0,0003033157;1;0;-1;-1
0,7969217;-1,408678;0,05877071;-8,598928;10,99676;91,87499;359,2737;0,0002970728;1;0;-1;-1
0,8318924;-1,408678;0,05877071;-8,598928;10,99676;91,87499;359,2737;0,0002845846;1;0;-1;-1
0,8629785;-1,408678;0,05877071;-8,598928;10,99676;91,87499;359,2737;0,0002743333;1;0;-1;-1
0,8963673;-1,408678;0,05877071;-8,598928;10,99676;91,87499;359,2737;0,0002641147;1;0;-1;-1
0,9129034;-1,408678;0,05877071;-8,598928;10,99676;91,87499;359,2737;0,0002593306;1;0;-1;-1
0,9301656;-1,408749;0,05842339;-8,599086;11,23068;91,86607;359,0456;0,0003057586;1;0;-1;-1
0,9461978;-1,408766;0,05837003;-8,599113;11,23975;91,86318;359,0243;0,0003241434;1;0;-1;-1
0,9635688;-1,408825;0,05838046;-8,599147;11,20882;91,85501;359,0088;0,0003869736;1;0;-1;-1
0,9824291;-1,408787;0,05840235;-8,599205;11,22819;91,84728;358,9908;0,0003660325;1;0;-1;-1
0,9964115;-1,408838;0,05854557;-8,599399;11,03214;91,86584;358,9778;0,0005184563;1;0;-1;-1
1,012934;-1,408838;0,05854557;-8,599399;11,03214;91,86584;358,9778;0,0005099995;1;0;-1;-1
1,02998;-1,408766;0,05847329;-8,599368;11,1753;91,86135;358,9838;0,0004313812;1;0;-1;-1
1,062987;-1,408743;0,05851412;-8,599399;11,15623;91,8598;358,984;0,0004263449;1;0;-1;-1
1,096473;-1,408714;0,05848404;-8,599394;11,1673;91,83862;358,9654;0,000394468;1;0;-1;-1
1,131052;-1,408712;0,05843737;-8,599398;11,19467;91,82641;358,9456;0,0003842368;1;0;-1;-1
1,1484;-1,408695;0,05844206;-8,599454;11,2436;91,82298;358,934;0,0004125026;1;0;-1;-1
1,163168;-1,408712;0,05850128;-8,599499;11,1776;91,8221;358,9044;0,000448194;1;0;-1;-1
1,180154;-1,408754;0,05839846;-8,599505;11,22614;91,79105;358,8708;0,0004642846;1;0;-1;-1
1,196764;-1,408754;0,05839846;-8,599505;11,22614;91,79105;358,8708;0,0004578404;1;0;-1;-1
1,213051;-1,408848;0,05851336;-8,599675;11,16727;91,74221;358,7145;0,0006113151;1;0;-1;-1
1,230109;-1,408957;0,05851331;-8,59977;11,10632;91,70173;358,5998;0,0007149515;1;0;-1;-1
1,246564;-1,409021;0,05861335;-8,599936;11,07364;91,67705;358,5138;0,0008463192;1;0;-1;-1
1,281658;-1,409048;0,05864468;-8,599974;11,05673;91,65744;358,4786;0,0008587844;1;0;-1;-1
1,315521;-1,409039;0,05863456;-8,600061;11,0982;91,62094;358,4035;0,0008905068;1;0;-1;-1
1,329877;-1,408993;0,05866408;-8,600097;11,08793;91,59772;358,3462;0,0008883541;1;0;-1;-1
1,346769;-1,40897;0,05864525;-8,60011;11,1626;91,58565;358,3268;0,0008787687;1;0;-1;-1
1,363695;-1,408955;0,0588045;-8,600278;11,15041;91,55204;358,2055;0,000976588;1;0;-1;-1
1,380424;-1,408995;0,05894754;-8,600471;11,06285;91,49667;358,0189;0,001106171;1;0;-1;-1
1,396812;-1,408995;0,05894754;-8,600471;11,06285;91,49667;358,0189;0,001093193;1;0;-1;-1
1,413151;-1,408995;0,05894754;-8,600471;11,06285;91,49667;358,0189;0,001080554;1;0;-1;-1
1,429955;-1,408995;0,05894754;-8,600471;11,06285;91,49667;358,0189;0,001067856;1;0;-1;-1
1,447727;-1,408995;0,05894754;-8,600471;11,06285;91,49667;358,0189;0,001054747;1;0;-1;-1
1,482875;-1,408995;0,05894754;-8,600471;11,06285;91,49667;358,0189;0,001029746;1;0;-1;-1
1,513475;-1,408995;0,05894754;-8,600471;11,06285;91,49667;358,0189;0,001008926;1;0;-1;-1
1,530373;-1,408995;0,05894754;-8,600471;11,06285;91,49667;358,0189;0,0009977863;1;0;-1;-1
1,546666;-1,408995;0,05894754;-8,600471;11,06285;91,49667;358,0189;0,0009872753;1;0;-1;-1
1,564644;-1,408995;0,05894754;-8,600471;11,06285;91,49667;358,0189;0,0009759314;1;0;-1;-1
1,580224;-1,408995;0,05894754;-8,600471;11,06285;91,49667;358,0189;0,0009663092;1;0;-1;-1
1,597834;-1,408995;0,05894754;-8,600471;11,06285;91,49667;358,0189;0,0009556594;1;0;-1;-1
1,615403;-1,408995;0,05894754;-8,600471;11,06285;91,49667;358,0189;0,000945266;1;0;-1;-1
1,630137;-1,408995;0,05894754;-8,600471;11,06285;91,49667;358,0189;0,000936722;1;0;-1;-1
1,646782;-1,408995;0,05894754;-8,600471;11,06285;91,49667;358,0189;0,0009272537;1;0;-1;-1
1,663272;-1,408995;0,05894754;-8,600471;11,06285;91,49667;358,0189;0,0009180611;1;0;-1;-1
1,680615;-1,408995;0,05894754;-8,600471;11,06285;91,49667;358,0189;0,0009085871;1;0;-1;-1
1,696842;-1,408995;0,05894754;-8,600471;11,06285;91,49667;358,0189;0,0008998981;1;0;-1;-1
1,713639;-1,408995;0,05894754;-8,600471;11,06285;91,49667;358,0189;0,0008910776;1;0;-1;-1
1,746732;-1,408995;0,05894754;-8,600471;11,06285;91,49667;358,0189;0,0008741956;1;0;-1;-1
1,764384;-1,408995;0,05894754;-8,600471;11,06285;91,49667;358,0189;0,0008654496;1;0;-1;-1
1,799238;-1,408995;0,05894754;-8,600471;11,06285;91,49667;358,0189;0,0008486845;1;0;-1;-1
1,830176;-1,408995;0,05894754;-8,600471;11,06285;91,49667;358,0189;0,0008343378;1;0;-1;-1
1,84725;-1,408995;0,05894754;-8,600471;11,06285;91,49667;358,0189;0,0008266259;1;0;-1;-1
1,880376;-1,408995;0,05894754;-8,600471;11,06285;91,49667;358,0189;0,0008120636;1;0;-1;-1
1,897224;-1,408995;0,05894754;-8,600471;11,06285;91,49667;358,0189;0,0008048522;1;0;-1;-1
1,931104;-1,408995;0,05894754;-8,600471;11,06285;91,49667;358,0189;0,0007907317;1;0;-1;-1
1,965487;-1,408995;0,05894754;-8,600471;11,06285;91,49667;358,0189;0,000776899;1;0;-1;-1
1,980256;-1,408304;0,05902954;-8,600833;11,57047;91,51833;357,8425;0,0009101324;1;0;-1;-1
1,997153;-1,408304;0,05902954;-8,600833;11,57047;91,51833;357,8425;0,0009024321;1;0;-1;-1
2,013781;-1,408232;0,05896798;-8,600766;11,62394;91,52854;357,8811;0,0008661159;1;0;-1;-1
2,047203;-1,408209;0,05902069;-8,600751;11,57213;91,51675;357,879;0,0008461938;1;0;-1;-1
2,063594;-1,408167;0,05894671;-8,600726;11,68557;91,52848;357,8989;0,0008309261;1;0;-1;-1
2,080387;-1,408155;0,05897554;-8,600763;11,62101;91,53661;357,9193;0,0008427884;1;0;-1;-1
