Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Instant acceleration (m/s^2);Distance travelled (m)
0;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;-1;0;-1;0
0,3333333;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;-1;0
0,3660457;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,3957592;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,4126361;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,4292756;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,4458391;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,4624668;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,4794386;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,4960846;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,5140737;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,5293378;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,5459498;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,5624785;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,5792363;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,5957985;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,6127924;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,6293184;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,646378;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,6644852;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,6793364;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,695999;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,7126971;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,7294462;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,7462764;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,7626377;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,7793428;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,7959588;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,8129908;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,8315974;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,8459362;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,8626133;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,8795577;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,896523;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,9127541;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,9297866;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,9460629;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,963234;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,9810754;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
0,9962598;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
1,012749;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
1,030175;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
1,046101;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
1,062826;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
1,079481;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
1,113376;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
1,148495;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
1,162981;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
1,179612;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
1,196236;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
1,212946;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
1,229975;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
1,246256;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
1,263296;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
1,281357;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
1,313018;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
1,330071;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
1,346332;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
1,363482;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
1,379965;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
1,396576;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
1,413577;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
1,432123;5,981734;0,8440225;4,180126;16,34166;20,46353;9,234435;0;0;0;0
