Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;-8,165028;0,06734773;-8,348543;341,557;9,342941;27,49054;0;0;-1;-1;0
0,3333333;-8,165028;0,06734773;-8,348543;341,557;9,342941;27,49054;0;1;0;-1;-1
0,3675922;-8,165028;0,06734773;-8,348543;341,557;9,342941;27,49054;0;1;0;-1;-1
0,3943984;-8,165028;0,06734773;-8,348543;341,557;9,342941;27,49054;0;1;0;-1;-1
0,4110166;-8,165028;0,06734773;-8,348543;341,557;9,342941;27,49054;0;1;0;-1;-1
0,4278932;-8,165028;0,06734773;-8,348543;341,557;9,342941;27,49054;0;1;0;-1;-1
0,4443211;-8,165028;0,06734773;-8,348543;341,557;9,342941;27,49054;0;1;0;-1;-1
0,4611576;-8,165028;0,06734773;-8,348543;341,557;9,342941;27,49054;0;1;0;-1;-1
0,4784143;-8,165028;0,06734773;-8,348543;341,557;9,342941;27,49054;0;1;0;-1;-1
0,5116864;-8,165028;0,06734773;-8,348543;341,557;9,342941;27,49054;0;1;0;-1;-1
0,5301473;-8,165028;0,06734773;-8,348543;341,557;9,342941;27,49054;0;1;0;-1;-1
0,5454804;-8,165028;0,06734773;-8,348543;341,557;9,342941;27,49054;0;1;0;-1;-1
0,5786963;-8,165028;0,06734773;-8,348543;341,557;9,342941;27,49054;0;1;0;-1;-1
0,5947262;-8,165028;0,06734773;-8,348543;341,557;9,342941;27,49054;0;1;0;-1;-1
0,6112694;-8,165028;0,06734773;-8,348543;341,557;9,342941;27,49054;0;1;0;-1;-1
0,628055;-8,165028;0,06734773;-8,348543;341,557;9,342941;27,49054;0;1;0;-1;-1
0,6449237;-8,165028;0,06734773;-8,348543;341,557;9,342941;27,49054;0;1;0;-1;-1
0,6611435;-8,165028;0,06734773;-8,348543;341,557;9,342941;27,49054;0;1;0;-1;-1
0,6788095;-8,165028;0,06734773;-8,348543;341,557;9,342941;27,49054;0;1;0;-1;-1
0,7142402;-8,165028;0,06734773;-8,348543;341,557;9,342941;27,49054;0;1;0;-1;-1
0,7278823;-8,165028;0,06734773;-8,348543;341,557;9,342941;27,49054;0;1;0;-1;-1
0,7446248;-8,165028;0,06734773;-8,348543;341,557;9,342941;27,49054;0;1;0;-1;-1
0,7617303;-8,165028;0,06734773;-8,348543;341,557;9,342941;27,49054;0;1;0;-1;-1
0,7782073;-8,165028;0,06734773;-8,348543;341,557;9,342941;27,49054;0;1;0;-1;-1
0,7948691;-8,165028;0,06734773;-8,348543;341,557;9,342941;27,49054;0;1;0;-1;-1
0,8111972;-8,165028;0,06734773;-8,348543;341,557;9,342941;27,49054;0;1;0;-1;-1
0,8278548;-8,165028;0,06734773;-8,348543;341,557;9,342941;27,49054;0;1;0;-1;-1
0,8458132;-8,165028;0,06734773;-8,348543;341,557;9,342941;27,49054;0;1;0;-1;-1
0,8664821;-8,165028;0,06734773;-8,348543;341,557;9,342941;27,49054;0;1;0;-1;-1
0,8793674;-8,165562;0,06772674;-8,348442;341,9128;9,857137;26,83654;0,0006181044;1;0;-1;-1
0,8966638;-8,165562;0,06772674;-8,348442;341,9128;9,857137;26,83654;0,0006061813;1;0;-1;-1
0,9134032;-8,165562;0,06772674;-8,348442;341,9128;9,857137;26,83654;0,0005950722;1;0;-1;-1
0,9469478;-8,165562;0,06772674;-8,348442;341,9128;9,857137;26,83654;0,0005739924;1;0;-1;-1
0,9809104;-8,165562;0,06772674;-8,348442;341,9128;9,857137;26,83654;0,0005541187;1;0;-1;-1
1,013297;-8,165562;0,06772674;-8,348442;341,9128;9,857137;26,83654;0,0005364082;1;0;-1;-1
1,046788;-8,165562;0,06772674;-8,348442;341,9128;9,857137;26,83654;0,0005192463;1;0;-1;-1
1,061502;-8,165562;0,06772674;-8,348442;341,9128;9,857137;26,83654;0,0005120485;1;0;-1;-1
1,079377;-8,165562;0,06772674;-8,348442;341,9128;9,857137;26,83654;0,0005035691;1;0;-1;-1
1,114058;-8,165562;0,06772674;-8,348442;341,9128;9,857137;26,83654;0,0004878925;1;0;-1;-1
1,147157;-8,165562;0,06772674;-8,348442;341,9128;9,857137;26,83654;0,0004738156;1;0;-1;-1
1,179713;-8,165562;0,06772674;-8,348442;341,9128;9,857137;26,83654;0,0004607398;1;0;-1;-1
1,197293;-8,165562;0,06772674;-8,348442;341,9128;9,857137;26,83654;0,0004539746;1;0;-1;-1
1,212008;-8,165562;0,06772674;-8,348442;341,9128;9,857137;26,83654;0,0004484632;1;0;-1;-1
1,228644;-8,165562;0,06772674;-8,348442;341,9128;9,857137;26,83654;0,0004423908;1;0;-1;-1
1,246489;-8,165562;0,06772674;-8,348442;341,9128;9,857137;26,83654;0,0004360573;1;0;-1;-1
1,27894;-8,165562;0,06772674;-8,348442;341,9128;9,857137;26,83654;0,0004249933;1;0;-1;-1
1,328256;-8,165562;0,06772674;-8,348442;341,9128;9,857137;26,83654;0,0004092137;1;0;-1;-1
1,345527;-8,165562;0,06772674;-8,348442;341,9128;9,857137;26,83654;0,0004039614;1;0;-1;-1
1,380914;-8,165562;0,06772674;-8,348442;341,9128;9,857137;26,83654;0,0003936093;1;0;-1;-1
1,395247;-8,165562;0,06772674;-8,348442;341,9128;9,857137;26,83654;0,000389566;1;0;-1;-1
1,411872;-8,165562;0,06772674;-8,348442;341,9128;9,857137;26,83654;0,000384979;1;0;-1;-1
1,428461;-8,165562;0,06772674;-8,348442;341,9128;9,857137;26,83654;0,0003805081;1;0;-1;-1
1,445261;-8,165562;0,06772674;-8,348442;341,9128;9,857137;26,83654;0,0003760848;1;0;-1;-1
1,461838;-8,164841;0,06763028;-8,348295;341,6357;9,887197;27,16772;0,0002124157;1;0;-1;-1
1,478456;-8,164841;0,06763028;-8,348295;341,6357;9,887197;27,16772;0,0002100281;1;0;-1;-1
1,495633;-8,164841;0,06763028;-8,348295;341,6357;9,887197;27,16772;0,000207616;1;0;-1;-1
1,514704;-8,164841;0,06763028;-8,348295;341,6357;9,887197;27,16772;0,000205002;1;0;-1;-1
1,528424;-8,165071;0,06778236;-8,348615;341,8639;9,748065;26,90711;5,489778E-05;1;0;-1;-1
1,545144;-8,165071;0,06778236;-8,348615;341,8639;9,748065;26,90711;5,430375E-05;1;0;-1;-1
1,567121;-8,165071;0,06778236;-8,348615;341,8639;9,748065;26,90711;5,354218E-05;1;0;-1;-1
1,578599;-8,164833;0,06764705;-8,348259;341,6822;9,899225;27,08448;0,0002181726;1;0;-1;-1
1,595339;-8,164833;0,06764705;-8,348259;341,6822;9,899225;27,08448;0,0002158834;1;0;-1;-1
1,611799;-8,164833;0,06764705;-8,348259;341,6822;9,899225;27,08448;0,0002136787;1;0;-1;-1
1,628417;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,0001968673;1;0;-1;-1
1,645916;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,0001947743;1;0;-1;-1
1,664058;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,0001926508;1;0;-1;-1
1,695393;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,0001890901;1;0;-1;-1
1,711961;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,0001872602;1;0;-1;-1
1,745401;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,0001836725;1;0;-1;-1
1,778928;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,0001802108;1;0;-1;-1
1,812377;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,0001768849;1;0;-1;-1
1,830449;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,0001751385;1;0;-1;-1
1,845617;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,0001736991;1;0;-1;-1
1,862596;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,0001721157;1;0;-1;-1
1,878884;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,0001706237;1;0;-1;-1
1,896116;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,0001690731;1;0;-1;-1
1,912012;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,0001676674;1;0;-1;-1
1,945472;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,0001647837;1;0;-1;-1
1,963198;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,0001632959;1;0;-1;-1
1,997592;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,0001604843;1;0;-1;-1
2,02865;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,0001580273;1;0;-1;-1
2,062503;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,0001554335;1;0;-1;-1
2,095675;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,0001529732;1;0;-1;-1
2,129193;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,0001505651;1;0;-1;-1
2,14767;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,0001492697;1;0;-1;-1
2,178867;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,0001471325;1;0;-1;-1
2,196307;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,0001459641;1;0;-1;-1
2,21235;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,0001449057;1;0;-1;-1
2,228796;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,0001438365;1;0;-1;-1
2,245732;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,0001427517;1;0;-1;-1
2,262377;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,0001417014;1;0;-1;-1
2,279323;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,000140648;1;0;-1;-1
2,298219;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,0001394916;1;0;-1;-1
2,312256;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,0001386447;1;0;-1;-1
2,329023;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,0001376466;1;0;-1;-1
2,345825;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,0001366607;1;0;-1;-1
2,362263;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,0001357098;1;0;-1;-1
2,379104;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,0001347491;1;0;-1;-1
2,396678;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,000133761;1;0;-1;-1
2,419259;-8,165339;0,06713257;-8,348465;341,4189;9,680867;27,40809;0,0001325125;1;0;-1;-1
2,446071;-8,164286;0,06731392;-8,3484;341,4219;9,604595;27,5583;0,000308913;1;0;-1;-1
2,464345;-8,164286;0,06731392;-8,3484;341,4219;9,604595;27,5583;0,0003066223;1;0;-1;-1
2,479019;-8,164286;0,06731392;-8,3484;341,4219;9,604595;27,5583;0,0003048073;1;0;-1;-1
2,495925;-8,164286;0,06731392;-8,3484;341,4219;9,604595;27,5583;0,0003027426;1;0;-1;-1
2,51273;-8,164286;0,06731392;-8,3484;341,4219;9,604595;27,5583;0,0003007179;1;0;-1;-1
2,545761;-8,164286;0,06731392;-8,3484;341,4219;9,604595;27,5583;0,0002968161;1;0;-1;-1
2,562619;-8,164286;0,06731392;-8,3484;341,4219;9,604595;27,5583;0,0002948636;1;0;-1;-1
2,579231;-8,164286;0,06731392;-8,3484;341,4219;9,604595;27,5583;0,0002929645;1;0;-1;-1
2,597134;-8,164286;0,06731392;-8,3484;341,4219;9,604595;27,5583;0,000290945;1;0;-1;-1
2,614927;-8,164286;0,06731392;-8,3484;341,4219;9,604595;27,5583;0,0002889652;1;0;-1;-1
2,629152;-8,164286;0,06731392;-8,3484;341,4219;9,604595;27,5583;0,0002874018;1;0;-1;-1
2,662707;-8,164286;0,06731392;-8,3484;341,4219;9,604595;27,5583;0,0002837801;1;0;-1;-1
2,67907;-8,164286;0,06731392;-8,3484;341,4219;9,604595;27,5583;0,0002820467;1;0;-1;-1
2,697103;-8,164286;0,06731392;-8,3484;341,4219;9,604595;27,5583;0,000280161;1;0;-1;-1
2,729333;-8,164286;0,06731392;-8,3484;341,4219;9,604595;27,5583;0,0002768526;1;0;-1;-1
2,763072;-8,164286;0,06731392;-8,3484;341,4219;9,604595;27,5583;0,0002734721;1;0;-1;-1
2,781763;-8,164286;0,06731392;-8,3484;341,4219;9,604595;27,5583;0,0002716346;1;0;-1;-1
2,813332;-8,164286;0,06731392;-8,3484;341,4219;9,604595;27,5583;0,0002685865;1;0;-1;-1
2,82963;-8,164286;0,06731392;-8,3484;341,4219;9,604595;27,5583;0,0002670395;1;0;-1;-1
2,846036;-8,164286;0,06731392;-8,3484;341,4219;9,604595;27,5583;0,0002655002;1;0;-1;-1
2,879165;-8,164286;0,06731392;-8,3484;341,4219;9,604595;27,5583;0,0002624452;1;0;-1;-1
2,896093;-8,164286;0,06731392;-8,3484;341,4219;9,604595;27,5583;0,0002609112;1;0;-1;-1
