Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Instant acceleration (m/s^2);Distance travelled (m)
0;-7,25;1,7;-0,92;0;0;0;-1;0;-1;0
0,3333333;-7,25;1,7;-0,92;299,9;205,0998;1,712727E-06;0;0;-1;0
0,3624927;-7,25;1,7;-0,92;299,9;205,0998;1,712727E-06;0;0;0;0
0,3759227;-7,25;1,7;-0,92;299,9;205,0998;1,712727E-06;0;0;0;0
0,3870085;-7,25;1,7;-0,92;299,9;205,0998;1,712727E-06;0;0;0;0
0,4048814;-7,25;1,7;-0,92;299,9;205,0998;1,712727E-06;0;0;0;0
0,4149348;-7,25;1,7;-0,92;299,9;205,0998;1,712727E-06;0;0;0;0
0,425347;-7,25;1,7;-0,92;299,9;205,0998;1,712727E-06;0;0;0;0
0,4369939;-7,25;1,7;-0,92;299,9;205,0998;1,712727E-06;0;0;0;0
0,4549286;-7,25;1,7;-0,92;299,9;205,0998;1,712727E-06;0;0;0;0
0,466539;-7,25;1,7;-0,92;299,9;205,0998;1,712727E-06;0;0;0;0
0,4772005;-7,25;1,7;-0,92;299,9;205,0998;1,712727E-06;0;0;0;0
0,4879991;-7,25;1,7;-0,92;299,9;205,0998;1,712727E-06;0;0;0;0
0,5009935;-7,25;1,7;-0,92;299,9;205,0998;1,712727E-06;0;0;0;0
0,5116664;-7,25;1,7;-0,92;299,9;205,0998;1,712727E-06;0;0;0;0
0,5229667;-7,25;1,7;-0,92;299,9;205,0998;1,712727E-06;0;0;0;0
0,5402207;-7,25;1,7;-0,92;299,9;205,0998;1,712727E-06;0;0;0;0
0,5506245;-7,25;1,7;-0,92;299,9;205,0998;1,712727E-06;0;0;0;0
0,5622923;-7,25;1,7;-0,92;299,9;205,0998;1,712727E-06;0;0;0;0
0,5726597;-7,25;1,7;-0,92;299,9;205,0998;1,712727E-06;0;0;0;0
0,5896249;-7,25;1,7;-0,92;299,9;205,0998;1,712727E-06;0;0;0;0
0,5997996;-7,25;1,7;-0,92;299,9;205,0998;1,712727E-06;0;0;0;0
0,6108775;-7,25;1,7;-0,92;299,9;205,3998;-1,712727E-06;0;0;0;0
0,6230503;-7,25;1,7;-0,92;299,8;205,6998;1,717944E-06;0;0;0;0
0,633437;-7,25;1,7;-0,92;299,8;205,7999;0;0;0;0;0
0,6541995;-7,25;1,7;-0,92;299,8;205,7999;0;0;0;0;0
0,6658102;-7,25;1,7;-0,92;299,8;205,9998;1,717944E-06;0;0;0;0
0,6778955;-7,25;1,7;-0,92;300,1;206,3998;0;0;0;0;0
0,6887749;-7,25;1,7;-0,92;300,4;206,5998;0;0;0;0;0
0,7005668;-7,25;1,7;-0,92;301;206,9998;1,65769E-06;0;0;0;0
0,7123297;-7,25;1,7;-0,92;301,7;207,3998;0;0;0;0;0
0,7251229;-7,25;1,7;-0,92;302,4;207,7998;1,593376E-06;0;0;0;0
0,7396742;-7,25;1,7;-0,92;303,4;208,0998;0;0;0;0;0
0,7521836;-7,25;1,7;-0,92;304;208,3998;-1,526796E-06;0;0;0;0
0,7664216;-7,25;1,7;-0,92;304,7;208,6998;0;0;0;0;0
0,7799844;-7,25;1,7;-0,92;305,1;208,8998;-1,48481E-06;0;0;0;0
0,7921119;-7,25;1,7;-0,92;305,4;209,0998;1,47385E-06;0;0;0;0
0,8041795;-7,25;1,7;-0,92;305,7;209,2998;0;0;0;0;0
0,817547;-7,25;1,7;-0,92;305,8;209,2998;0;0;0;0;0
0,8317488;-7,25;1,7;-0,92;306,1;209,4998;-1,449048E-06;0;0;0;0
0,8433774;-7,25;1,7;-0,92;306,3;209,5998;-1,442153E-06;0;0;0;0
0,8606393;-7,25;1,7;-0,92;306,3;209,5998;-1,442153E-06;0;0;0;0
0,8718425;-7,25;1,7;-0,92;306,3;209,5998;-1,442153E-06;0;0;0;0
0,8861196;-7,25;1,7;-0,92;306,5;209,6998;-1,435341E-06;0;0;0;0
0,8987303;-7,25;1,7;-0,92;306,7;209,6998;0;0;0;0;0
0,9107373;-7,25;1,7;-0,92;306,9;209,7998;-1,42196E-06;0;0;0;0
0,9212103;-7,25;1,7;-0,92;307;209,7998;0;0;0;0;0
0,9391894;-7,25;1,7;-0,92;307;209,7998;0;0;0;0;0
0,9504734;-7,25;1,7;-0,92;307;209,7998;0;0;0;0;0
0,9616402;-7,25;1,7;-0,92;307;209,7998;0;0;0;0;0
0,9747372;-7,25;1,7;-0,92;306,7;209,7998;0;0;0;0;0
0,9893644;-7,25;1,7;-0,92;305,8;209,7998;0;0;0;0;0
1,001892;-7,25;1,7;-0,92;304,5;209,4998;0;0;0;0;0
