Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3333333;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3624927;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3759227;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3870085;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4048814;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4149348;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,425347;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4369939;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4549286;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,466539;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4772005;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4879991;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5009935;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5116664;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5229667;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5402207;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5506245;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5622923;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5726597;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5896249;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5997996;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6108775;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6230503;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,633437;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6541995;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6658102;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6778955;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6887749;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7005668;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7123297;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7251229;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7396742;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7521836;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7664216;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7799844;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7921119;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8041795;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,817547;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8317488;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8433774;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8606393;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8718425;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8861196;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8987303;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9107373;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9212103;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9391894;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9504734;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9616402;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9747372;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9893644;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,001892;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,023424;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
