Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;3,732903;0,4162445;-8,267728;351,6427;333,4616;181,0005;0;0;-1;-1;0
0,3333333;3,732903;0,4162445;-8,267728;351,6427;333,4616;181,0005;0;1;0;-1;-1
0,3710766;3,732903;0,4162445;-8,267728;351,6427;333,4616;181,0005;0;1;0;-1;-1
0,3833969;3,732903;0,4162445;-8,267728;351,6427;333,4616;181,0005;0;1;0;-1;-1
0,4001521;3,732903;0,4162445;-8,267728;351,6427;333,4616;181,0005;0;1;0;-1;-1
0,4165831;3,732903;0,4162445;-8,267728;351,6427;333,4616;181,0005;0;1;0;-1;-1
0,4336271;3,732903;0,4162445;-8,267728;351,6427;333,4616;181,0005;0;1;0;-1;-1
0,4503398;3,732903;0,4162445;-8,267728;351,6427;333,4616;181,0005;0;1;0;-1;-1
0,4668313;3,732903;0,4162445;-8,267728;351,6427;333,4616;181,0005;0;1;0;-1;-1
0,4843542;3,732903;0,4162445;-8,267728;351,6427;333,4616;181,0005;0;1;0;-1;-1
0,5033979;3,732903;0,4162445;-8,267728;351,6427;333,4616;181,0005;0;1;0;-1;-1
0,5334904;3,732903;0,4162445;-8,267728;351,6427;333,4616;181,0005;0;1;0;-1;-1
0,5505425;3,732903;0,4162445;-8,267728;351,6427;333,4616;181,0005;0;1;0;-1;-1
0,5670027;3,732903;0,4162445;-8,267728;351,6427;333,4616;181,0005;0;1;0;-1;-1
0,5834719;3,732903;0,4162445;-8,267728;351,6427;333,4616;181,0005;0;1;0;-1;-1
0,6006449;3,732903;0,4162445;-8,267728;351,6427;333,4616;181,0005;0;1;0;-1;-1
0,6168657;3,732903;0,4162445;-8,267728;351,6427;333,4616;181,0005;0;1;0;-1;-1
0,6336587;3,732903;0,4162445;-8,267728;351,6427;333,4616;181,0005;0;1;0;-1;-1
0,6508643;3,732903;0,4162445;-8,267728;351,6427;333,4616;181,0005;0;1;0;-1;-1
0,6700267;3,732903;0,4162445;-8,267728;351,6427;333,4616;181,0005;0;1;0;-1;-1
0,6838437;3,732903;0,4162445;-8,267728;351,6427;333,4616;181,0005;0;1;0;-1;-1
0,7009661;3,732903;0,4162445;-8,267728;351,6427;333,4616;181,0005;0;1;0;-1;-1
0,7175727;3,732903;0,4162445;-8,267728;351,6427;333,4616;181,0005;0;1;0;-1;-1
0,7336232;3,732903;0,4162445;-8,267728;351,6427;333,4616;181,0005;0;1;0;-1;-1
