Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s)
0,009899;-5,828256;0,02917724;-5,565901;358,2329;302,3418;353,89;0;0;0;-1;-1
0,3432323;-5,828256;0,02917724;-5,565901;358,2329;302,3418;353,89;0;0;0;-1;-1
0,3794823;-5,176931;0,03932349;-5,60031;5,579873;298,4594;4,431253;0;1,764779;0;-1;-1
0,3918222;-5,099543;0,04815861;-5,602747;12,27499;300,9959;8,444372;0;1,910489;0;-1;-1
0,401888;-5,082144;0,05088299;-5,602967;14,5025;301,7567;8,297112;0;1,905819;0;-1;-1
0,4135723;-5,067242;0,05348557;-5,602591;15,42685;302,2565;9,792595;0;1,887583;0;-1;-1
0,4227848;-5,067242;0,05348557;-5,602591;15,42685;302,2565;9,792595;0;1,845466;0;-1;-1
0,4342097;-5,040987;0,05813466;-5,601506;17,47263;303,1492;11,76272;0;1,857705;0;-1;-1
0,4454871;-5,040987;0,05813466;-5,601506;17,47263;303,1492;11,76272;0;1,809608;0;-1;-1
0,4565298;-5,020606;0,06064456;-5,599699;19,01789;303,4385;12,82528;0;1,810681;0;-1;-1
0,4660624;-5,020606;0,06064456;-5,599699;19,01789;303,4385;12,82528;0;1,772842;0;-1;-1
0,4779104;-5,006063;0,05994637;-5,597797;20,40955;303,3099;12,12967;0;1,759299;0;-1;-1
0,489356;-5,006063;0,05994637;-5,597797;20,40955;303,3099;12,12967;0;1,717301;0;-1;-1
0,4992882;-4,996992;0,05127255;-5,596886;18,4609;302,8175;9,720745;0;1,701078;0;-1;-1
0,5105526;-4,996992;0,05127255;-5,596886;18,4609;302,8175;9,720745;0;1,662804;0;-1;-1
0,5201666;-4,993218;0,04491379;-5,59837;16,74354;303,1184;7,097513;0;1,639421;0;-1;-1
0,5315681;-4,993218;0,04491379;-5,59837;16,74354;303,1184;7,097513;0;1,60359;0;-1;-1
0,5430283;-4,987388;0,03923085;-5,600415;14,90625;303,3946;4,607937;0;1,58071;0;-1;-1
0,5532641;-4,985897;0,03635118;-5,601436;13,60505;303,4276;3,895056;0;1,554258;0;-1;-1
0,5656642;-4,985897;0,03635118;-5,601436;13,60505;303,4276;3,895056;2,387945E-08;1,51958;0;-1;-1
0,5776144;-4,98279;0,03113559;-5,603112;10,97851;303,7458;2,692451;4,204435;1,493812;0;-1;-1
0,5892138;-4,98279;0,03113559;-5,603112;10,97851;303,7458;2,692451;1,673266;1,463902;1;7,499016;-1,577614
0,6004115;-4,979125;0,02411679;-5,604948;5,378355;304,0794;3,756813;0,4449102;1,443084;1;7,499016;-1,577614
0,6114559;-4,979125;0,02411679;-5,604948;5,378355;304,0794;3,756813;0,3432041;1,416589;1;7,499016;-1,577614
0,6208659;-4,977519;0,02154361;-5,606475;2,446454;304,4384;5,302948;0,09675349;1,398399;1;7,499016;-1,577614
0,6303666;-4,977519;0,02154361;-5,606475;2,446454;304,4384;5,302948;0,6248739;1,376986;1;7,499016;-1,577614
0,6451244;-4,976789;0,02053;-5,606471;1,129594;304,3532;6,222046;0,02229421;1,346144;1;7,499016;-1,577614
0,6552307;-4,976614;0,02024349;-5,606461;0,544547;304,3549;6,637212;0,4910331;1,325334;1;7,499016;-1,577614
0,6673639;-4,976614;0,02024349;-5,606461;0,544547;304,3549;6,637212;6,941017E-10;1,300876;1;7,499016;-1,577614
0,6819088;-4,97565;0,01979779;-5,606793;359,5885;304,5333;7,599669;0,3026278;1,274238;1;7,499016;-1,577614
0,6962756;-4,97625;0,0197359;-5,606779;359,3606;304,6877;7,747719;0,010691;1,248441;1;7,499016;-1,577614
0,7065304;-4,97625;0,0197359;-5,606779;359,3606;304,6877;7,747719;0,3240603;1,230063;1;7,499016;-1,577614
0,715477;-4,976362;0,01974991;-5,606982;359,0227;304,5706;8,03519;0,006660889;1,214794;1;7,499016;-1,577614
0,7309197;-4,976362;0,01974991;-5,606982;359,0227;304,5706;8,03519;0,1977729;1,188776;1;7,499016;-1,577614
0,7439425;-4,976106;0,01981268;-5,607131;359,2002;304,7077;7,775067;0,005770744;1,168089;1;7,499016;-1,577614
0,7549267;-4,976097;0,01981891;-5,607164;359,2121;304,7445;7,692751;0,1819942;1,150914;1;7,499016;-1,577614
0,7699983;-4,976097;0,01981891;-5,607164;359,2121;304,7445;7,692751;0,08127305;1,128093;1;7,499016;-1,577614
0,7876316;-4,976129;0,01973538;-5,606949;359,1438;304,7688;7,648765;0,00313498;1,102796;1;7,499016;-1,577614
