Areas
Area;Time spent in Area (s)
(4,5);2,261967
(4,4);2,369786
(4,3);2,34726
(4,2);2,361237
(4,1);2,657951
(4,0);3,654008
(4,1);2,694136
(4,2);2,497192
(4,3);2,295595
(4,4);2,500019
(4,5);2,69912


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Right;0,6060553;1,349338;0,7432827;0,9972479
Left;1,220754;1,902912;0,6821582;1,01089
Left;2,22114;2,910148;0,6890082;1,014595
Left;3,258181;4,012047;0,7538657;1,018809
Right;3,819573;4,530689;0,7111161;1,034505
Right;4,909263;5,596393;0,68713;1,047524
Right;5,905423;6,589945;0,6845217;1,028292
Left;6,389592;7,129187;0,7395949;1,049201
Left;7,42624;8,168633;0,7423935;1,029569
Left;8,442667;9,116596;0,6739292;0,9919141
Left;9,458139;10,17253;0,714386;1,003259
Left;10,48001;11,25186;0,7718496;0,9757522
Right;11,05693;11,75087;0,693943;0,9485516
Left;11,52153;12,32898;0,807456;0,9243753
Right;12,12081;12,79151;0,6706963;0,9199157
Left;12,62702;13,27399;0,646965;0,8659632
Right;13,1696;13,87043;0,7008276;0,8012432
Left;13,77731;14,47093;0,6936216;0,771833
Left;14,9873;15,56338;0,5760775;0,2639454
Left;16,18904;17,00943;0,820385;0,6583945
Left;17,50877;17,8879;0,3791332;0,4855793
Left;28,75596;29,51832;0,7623634;0,9347154


Landmarks
Area;Time spent looking at landmarks (s)


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)
10,4124;(4,1);0


