Areas
Area;Time spent in Area (s)
(1,1);0,8402129
(1,2);3,721891
(1,3);3,485408
(2,3);3,490038
(3,3);2,828836
(3,2);3,162544
(4,2);2,216084
(4,3);3,218847
(4,4);4,557774


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Right;1,57371;2,236523;0,6628135;1,557798
Right;2,786796;4,659752;1,872956;1,573446
Left;3,323278;4,028145;0,7048671;0,778753
Left;4,626391;5,340154;0,7137628;0,7662552
Right;5,2094;5,916415;0,707015;0,7657401
Left;5,852987;6,546202;0,6932149;0,7634265
Right;6,419955;7,17498;0,7550254;0,6659988
Left;7,104416;7,942696;0,8382797;0,8100969
Right;7,907534;8,810602;0,9030685;0,8128123
Left;8,427121;9,184052;0,7569304;0,9027593
Right;9,023974;9,696387;0,6724129;0,8491564
Left;9,604156;10,26584;0,6616869;0,8222899
Right;10,12736;10,88393;0,7565756;0,7980544
Left;10,78042;11,52674;0,7463112;0,8257852
Right;11,34469;12,04862;0,7039318;0,8256245
Left;11,9895;12,76773;0,7782307;0,8233036
Right;12,61047;13,34777;0,7373075;0,7558094
Left;13,22214;13,98619;0,7640533;0,7658312
Right;13,85332;14,63847;0,7851515;0,61128
Left;14,57432;15,35107;0,7767553;0,8286084
Right;15,21207;15,9568;0,74473;0,8065078
Left;15,85531;16,64707;0,7917662;0,754472
Right;16,47966;17,28712;0,8074551;0,7876021
Left;17,16813;17,97234;0,8042011;0,7667093
Right;17,74876;18,48335;0,7345829;0,8703656
Left;18,36601;19,05723;0,6912193;0,8090873
Right;18,86307;19,63063;0,7675667;0,8178192
Left;19,67072;20,35301;0,6822815;0,7005945
Right;20,14487;20,96895;0,8240757;0,7662348
Left;20,84127;21,55639;0,7151222;0,6835197
Right;21,4299;22,19867;0,768774;0,8379535
Left;22,05182;22,77408;0,7222576;0,8268815
Right;22,64638;23,47177;0,8253918;0,8661987
Left;23,21282;24,00885;0,796032;0,8644794
Right;23,84245;24,60666;0,7642097;0,8756208
Left;24,45526;25,11416;0,6588955;0,9047028
Right;24,96464;25,72733;0,7626877;0,8844519
Left;25,51381;26,25792;0,7441177;0,8558422
Right;26,07597;26,85565;0,7796822;0,8240939
Left;26,66996;27,30099;0,6310291;0,7208973
Right;27,24631;27,88317;0,6368542;0,4837565
Left;27,97557;28,72884;0,7532654;0,6652219
Right;28,72884;29,37792;0,6490841;0,5184578


Landmarks
Area;Time spent looking at landmarks (s)
(1,1);0
(1,2);0
(1,3);0,52
(2,3);0
(3,3);0,6199999
(3,2);0,36
(4,2);1,219999
(4,3);1,08


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)


