Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Distance travelled (m)
0,0101013;4,440303;1,39911;3,7863;29,86467;241,3058;6,847365;-1;0;0
0,3434346;4,434507;1,398017;3,783075;29,05081;241,7425;7,629039;0,01989881;0,01989881;0,006632936
0,371256;4,434507;1,398017;3,783075;29,05081;241,7425;7,629039;0;0,01836591;0,006632936
0,3827828;4,434507;1,398017;3,783075;29,05081;241,7425;7,629039;0;0,01779787;0,006632936
0,3928936;4,434507;1,398017;3,783075;29,05081;241,7425;7,629039;0;0,01732777;0,006632936
0,4028368;4,434507;1,398017;3,783075;29,05081;241,7425;7,629039;0;0,01688907;0,006632936
0,4143188;4,434507;1,398017;3,783075;29,05081;241,7425;7,629039;0;0,01640932;0,006632936
0,4265419;4,434507;1,398017;3,783075;29,05081;241,7425;7,629039;0;0,01592769;0,006632936
0,4376099;4,434507;1,398017;3,783075;29,05081;241,7425;7,629039;0;0,01551533;0,006632936
0,4470837;4,434507;1,398017;3,783075;29,05081;241,7425;7,629039;0;0,01517895;0,006632936
0,4594205;4,434507;1,398017;3,783075;29,05081;241,7425;7,629039;0;0,01476219;0,006632936
0,4722197;4,434507;1,398017;3,783075;29,05081;241,7425;7,629039;0;0,01435333;0,006632936
0,482524;4,222437;1,400074;3,573772;23,45246;232,8291;5,070012;-1;0,6447506;0,3045948
0,4941638;4,222437;1,400074;3,573772;23,45246;232,8291;5,070012;0;0,6292469;0,3045948
0,5129004;4,219123;1,400651;3,562203;25,41242;229,5812;3,643922;0,6422856;0,6297328;0,3166291
0,5288876;4,213523;1,400443;3,54699;25,93949;223,7695;359,7755;1,014024;0,6415753;0,3328405
0,5448319;4,209668;1,400481;3,535154;25,9372;222,159;359,505;0,7807233;0,6457244;0,3452886
0,5580175;4,209668;1,400481;3,535154;25,9372;222,159;359,505;0;0,630185;0,3452886
0,5690088;4,20342;1,399526;3,5169;24,94485;219,0468;359,0151;1,755305;0,6523112;0,3645816
0,5783703;4,20143;1,399417;3,510997;25,23636;218,0852;359,007;0,6654472;0,6525276;0,3708112
0,5875726;4,20143;1,399417;3,510997;25,23636;218,0852;359,007;0;0,6421292;0,3708112
0,5972293;4,20143;1,399417;3,510997;25,23636;218,0852;359,007;0;0,6315679;0,3708112
0,6074528;4,195033;1,398064;3,492362;24,53002;215,3657;358,9666;1,9272;0,6537423;0,3905139
0,6190414;4,195033;1,398064;3,492362;24,53002;215,3657;358,9666;0;0,6413011;0,3905139
0,6293654;4,190633;1,396876;3,479954;24,1896;213,78;359,098;1,275124;0,6518677;0,4036783
0,6404075;4,188429;1,396348;3,473747;23,87983;212,9736;359,1452;0,5964973;0,6508977;0,4102649
0,6508991;4,188429;1,396348;3,473747;23,87983;212,9736;359,1452;0;0,6402408;0,4102649
0,6650591;4,183611;1,394674;3,461545;24,23033;211,4721;359,1136;0,9265187;0,64643;0,4233844
0,676947;4,183611;1,394674;3,461545;24,23033;211,4721;359,1136;0;0,6349061;0,4233844
0,6863342;4,176413;1,392612;3,442942;23,63739;209,7734;0,04471378;2,124843;0,6555887;0,4433307
0,6960603;4,176413;1,392612;3,442942;23,63739;209,7734;0,04471378;0;0,6462933;0,4433307
0,7081633;4,174047;1,392451;3,436812;22,7872;209,3223;0,5202864;0,5429578;0,6445016;0,4499021
0,717485;4,174047;1,392451;3,436812;22,7872;209,3223;0,5202864;0;0,6360086;0,4499021
0,7264573;4,166293;1,391519;3,418765;21,6871;207,6833;1,457634;2,189239;0,6554626;0,4695446
0,7397464;4,166293;1,391519;3,418765;21,6871;207,6833;1,457634;0;0,6435246;0,4695446
0,751972;4,161285;1,391629;3,406547;20,82666;206,6108;1,979926;1,080062;0,6507185;0,482749
0,7648554;4,158513;1,391743;3,400433;20,87737;205,9331;2,24286;0,5210211;0,6485046;0,4894615
0,77582;4,158513;1,391743;3,400433;20,87737;205,9331;2,24286;0;0,6392185;0,4894615
0,7902403;4,153256;1,391789;3,388009;20,52425;204,8835;2,728214;0,9355035;0,6446952;0,5029519
0,8016006;4,148501;1,392541;3,375536;20,01319;203,5126;3,100432;1,175016;0,6523067;0,5163003
0,8145555;4,148501;1,392541;3,375536;20,01319;203,5126;3,100432;0;0,641802;0,5163003
0,8287033;4,14393;1,393916;3,362437;19,62643;201,9983;3,695996;0,9806371;0,6476581;0,5301742
0,8402129;4,139368;1,396293;3,348897;19,09064;200,3109;4,130998;1,241381;0,6558902;0,544462
0,8522947;4,139368;1,396293;3,348897;19,09064;200,3109;4,130998;0;0,646481;0,544462
0,8620002;4,134454;1,399746;3,334938;17,25712;198,507;5,018048;1,524825;0,6564878;0,5592612
0,8736427;4,134454;1,399746;3,334938;17,25712;198,507;5,018048;0;0,6476368;0,5592612
0,8840551;4,128595;1,402089;3,321346;16,43616;197,0685;5,38054;1,421439;0,6568561;0,5740618
0,894165;4,128595;1,402089;3,321346;16,43616;197,0685;5,38054;0;0,6493444;0,5740618
0,907499;4,122499;1,403991;3,30803;16,19686;195,7967;5,208882;1,098332;0,6560156;0,5887069
0,9187282;4,122499;1,403991;3,30803;16,19686;195,7967;5,208882;0;0,6479083;0,5887069
0,9286217;4,122499;1,403991;3,30803;16,19686;195,7967;5,208882;0;0,6409296;0,5887069
0,9394231;4,122499;1,403991;3,30803;16,19686;195,7967;5,208882;0;0,6334801;0,5887069
0,9484784;4,122499;1,403991;3,30803;16,19686;195,7967;5,208882;0;0,6273671;0,5887069
0,9624125;4,122499;1,403991;3,30803;16,19686;195,7967;5,208882;0;0,6181875;0,5887069
0,9792757;4,122499;1,403991;3,30803;16,19686;195,7967;5,208882;0;0,6074314;0,5887069
0,9923699;4,122499;1,403991;3,30803;16,19686;195,7967;5,208882;0;0,5993339;0,5887069
1,013988;4,122499;1,403991;3,30803;16,19686;195,7967;5,208882;0;0,5864276;0,5887069
1,026127;4,093073;1,405;3,225166;20,27798;190,8896;2,204803;7,244224;0,6659685;0,6766408
1,03886;4,093073;1,405;3,225166;20,27798;190,8896;2,204803;0;0,6577253;0,6766408
1,050578;4,088359;1,404761;3,204684;21,09823;189,5693;2,164122;1,793528;0,670517;0,6976576
1,060849;4,088359;1,404761;3,204684;21,09823;189,5693;2,164122;0;0,6639628;0,6976576
1,073098;4,088359;1,404761;3,204684;21,09823;189,5693;2,164122;0;0,6563124;0,6976576
1,083013;4,088359;1,404761;3,204684;21,09823;189,5693;2,164122;0;0,6502468;0,6976576
1,103709;4,088359;1,404761;3,204684;21,09823;189,5693;2,164122;0;0,6379411;0,6976576
1,117959;4,083433;1,406146;3,163613;17,79591;186,5714;2,342581;2,902907;0,667074;0,7390231
1,132529;4,081974;1,406053;3,150613;17,81444;185,6441;2,308348;0,897937;0,6700706;0,7521055
1,15038;4,081298;1,405979;3,144131;17,69819;185,1921;2,367443;0,365033;0,6652952;0,7586218
1,161915;4,0801;1,405652;3,131056;17,61308;184,3477;2,355586;1,138212;0,6700316;0,7717519
1,172614;4,0801;1,405652;3,131056;17,61308;184,3477;2,355586;0;0,6638651;0,7717519
1,185055;4,0796;1,405836;3,117284;15,97217;183,4672;3,092864;1,10777;0,6685653;0,7855334
1,19606;4,0796;1,405836;3,117284;15,97217;183,4672;3,092864;0;0,6623616;0,7855334
1,207931;4,078372;1,404653;3,09702;15,46622;182,4433;3,17794;1,710123;0,6727453;0,8058343
1,218305;4,078372;1,404653;3,09702;15,46622;182,4433;3,17794;0;0,6669689;0,8058343
1,231619;4,077761;1,403614;3,083513;15,10137;181,8297;3,077537;1,015518;0,670768;0,8193548
1,242986;4,077559;1,403204;3,0767;15,05539;181,5229;3,053495;0,5996376;0,6701121;0,826171
1,252602;4,077559;1,403204;3,0767;15,05539;181,5229;3,053495;0;0,6649262;0,826171
1,263865;4,077357;1,402595;3,063011;14,74017;180,9216;2,92801;1,215496;0,6698722;0,8398613
1,276136;4,077357;1,402595;3,063011;14,74017;180,9216;2,92801;0;0,6633794;0,8398613
1,290693;4,077486;1,402593;3,049344;14,40806;180,293;2,800122;0,9389328;0,6665117;0,853529
1,303314;4,078616;1,40423;3,034926;15,18408;179,4217;3,318369;1,145845;0,67119;0,8679916
1,31799;4,078616;1,40423;3,034926;15,18408;179,4217;3,318369;0;0,6636586;0,8679916
1,32727;4,078483;1,405709;3,015084;13,1557;178,7975;2,638055;2,13811;0,6740471;0,887834
1,337071;4,078483;1,405709;3,015084;13,1557;178,7975;2,638055;0;0,6690688;0,887834
1,348128;4,079308;1,408238;3,00076;12,69619;178,2123;2,626553;1,297581;0,6742628;0,9021816
1,362515;4,079308;1,408238;3,00076;12,69619;178,2123;2,626553;0;0,6670898;0,9021816
1,374368;4,079308;1,408238;3,00076;12,69619;178,2123;2,626553;0;0,6612942;0,9021816
1,385155;4,081205;1,41316;2,978441;12,19718;177,4902;2,169723;2,076557;0,6723962;0,9245808
1,39571;4,081205;1,41316;2,978441;12,19718;177,4902;2,169723;0;0,6672742;0,9245808
1,406926;4,081205;1,41316;2,978441;12,19718;177,4902;2,169723;0;0,6619163;0,9245808
1,417284;4,081205;1,41316;2,978441;12,19718;177,4902;2,169723;0;0,6570436;0,9245808
1,428297;4,082405;1,419419;2,94259;12,38539;176,5215;2,225102;3,257437;0,6772355;0,9604523
1,443539;4,082405;1,419419;2,94259;12,38539;176,5215;2,225102;0;0,6700341;0,9604523
1,453775;4,082405;1,419419;2,94259;12,38539;176,5215;2,225102;0;0,6652835;0,9604523
1,466333;4,082405;1,419419;2,94259;12,38539;176,5215;2,225102;0;0,6595465;0,9604523
1,47801;4,082405;1,419419;2,94259;12,38539;176,5215;2,225102;0;0,6542996;0,9604523
1,488678;4,080384;1,424854;2,902477;11,98552;176,2588;1,879357;3,765044;0,6767428;1,000616
1,508243;4,079799;1,425304;2,89603;11,88854;176,2723;1,87179;0,3308753;0,6722259;1,00709
1,52556;4,079799;1,425304;2,89603;11,88854;176,2723;1,87179;0;0,6645444;1,00709
1,53716;4,077184;1,42652;2,870475;11,94107;176,1999;1,714723;2,21457;0,6763186;1,032778
1,547992;4,076388;1,426664;2,864205;12,05189;176,1654;1,621231;0,5834326;0,6756644;1,039098
1,561578;4,076388;1,426664;2,864205;12,05189;176,1654;1,621231;0;0,6697477;1,039098
1,57371;4,076388;1,426664;2,864205;12,05189;176,1654;1,621231;0;0,6645514;1,039098
1,588239;4,0736;1,426489;2,845329;12,54901;175,98;1,445094;1,313254;0,6705239;1,058179
1,608983;4,0736;1,426489;2,845329;12,54901;175,98;1,445094;0;0,6618245;1,058179
1,620637;4,0736;1,426489;2,845329;12,54901;175,98;1,445094;0;0,6570356;1,058179
1,63003;4,0736;1,426489;2,845329;12,54901;175,98;1,445094;0;0,653226;1,058179
1,641762;4,0736;1,426489;2,845329;12,54901;175,98;1,445094;0;0,6485291;1,058179
1,652746;4,0736;1,426489;2,845329;12,54901;175,98;1,445094;0;0,6441925;1,058179
1,666557;4,06405;1,421899;2,796618;14,07141;175,8886;0,6973795;3,594118;0,6687875;1,107817
1,678633;4,06405;1,421899;2,796618;14,07141;175,8886;0,6973795;0;0,663947;1,107817
1,6882;4,060518;1,419225;2,778546;14,8162;175,5048;0,4610005;1,92475;0,6711351;1,126231
1,696904;4,060518;1,419225;2,778546;14,8162;175,5048;0,4610005;0;0,6676723;1,126231
1,708869;4,057841;1,41715;2,766678;15,55083;175,2303;0,2801371;1,016761;0,670131;1,138397
1,722217;4,057841;1,41715;2,766678;15,55083;175,2303;0,2801371;0;0,6649067;1,138397
1,731994;4,057841;1,41715;2,766678;15,55083;175,2303;0,2801371;0;0,6611313;1,138397
1,745403;4,057841;1,41715;2,766678;15,55083;175,2303;0,2801371;0;0,6560224;1,138397
1,760226;4,057841;1,41715;2,766678;15,55083;175,2303;0,2801371;0;0,6504662;1,138397
1,775427;4,057841;1,41715;2,766678;15,55083;175,2303;0,2801371;0;0,6448652;1,138397
1,786226;4,048255;1,409308;2,725616;16,48771;173,772;359,5548;3,904693;0,6646851;1,180564
1,796592;4,048255;1,409308;2,725616;16,48771;173,772;359,5548;0;0,6608283;1,180564
1,807916;4,048255;1,409308;2,725616;16,48771;173,772;359,5548;0;0,656666;1,180564
1,817403;4,048255;1,409308;2,725616;16,48771;173,772;359,5548;0;0,6532188;1,180564
1,829037;4,037942;1,402961;2,695836;17,20584;172,6556;0,1674116;2,708945;0,6663669;1,212078
1,841334;4,035796;1,401566;2,689888;19,44363;173,148;358,882;0,5142197;0,6653452;1,218402
1,852732;4,035796;1,401566;2,689888;19,44363;173,148;358,882;0;0,6612295;1,218402
1,862274;4,029992;1,398874;2,678372;18,63636;173,1354;359,4324;1,351526;0,6647858;1,231298
1,873462;4,029992;1,398874;2,678372;18,63636;173,1354;359,4324;0;0,6607944;1,231298
1,88477;4,02457;1,397248;2,666299;18,54499;173,4768;359,4941;1,170299;0,6638679;1,244532
1,894439;4,02457;1,397248;2,666299;18,54499;173,4768;359,4941;0;0,6604613;1,244532
1,905012;4,018396;1,396232;2,654176;19,79456;174,2807;359,0061;1,286833;0,6639561;1,258137
