Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s)
0,0071599;3,75625;0,03301347;-7,531843;358,9232;178,5174;358,7239;0;0;0;-1;-1
0,3205436;3,756338;0,03359993;-7,531456;358,182;178,5164;358,8952;0;0,00126735;0;-1;-1
0,3479776;3,737448;0,07249947;-7,247435;330,8456;185,293;357,136;0;0,8363567;0;-1;-1
0,3680778;3,737002;0,06308866;-7,17079;337,8953;189,4561;356,6802;0;1,002143;0;-1;-1
0,3781491;3,735985;0,05473203;-7,121164;346,2939;191,06;355,4907;0;1,108734;0;-1;-1
0,3880349;3,735985;0,05473203;-7,121164;346,2939;191,06;355,4907;0;1,079956;0;-1;-1
0,398398;3,738809;0,04957988;-7,070205;351,9347;187,6798;356,9031;0;1,181801;0;-1;-1
0,4100913;3,738809;0,04957988;-7,070205;351,9347;187,6798;356,9031;0;1,147504;0;-1;-1
0,4214657;3,738316;0,04823742;-7,018156;355,354;185,162;358,3753;0;1,241635;0;-1;-1
0,4325431;3,738316;0,04823742;-7,018156;355,354;185,162;358,3753;0;1,209301;0;-1;-1
0,4610481;3,734035;0,04932954;-6,94237;3,255395;181,4124;358,6822;0;1,300592;0;-1;-1
0,4833755;3,7309;0,05398219;-6,89472;7,830503;178,1913;358,1955;0;1,339889;0;-1;-1
0,5060734;3,722317;0,06375597;-6,831335;13,97095;172,2743;357,8028;0;1,407138;0;-1;-1
0,5174225;3,715314;0,07061418;-6,795274;17,27116;168,5945;357,1424;0;1,447832;0;-1;-1
0,5809456;3,71265;0,07394226;-6,779325;18,8117;167,2888;357,2416;0;1,315726;0;-1;-1
0,617583;3,695086;0,07960784;-6,712744;22,09317;162,639;357,5435;0;1,34956;0;-1;-1
0,6501493;3,682735;0,06985633;-6,694636;20,71661;161,2949;0,4128883;0;1,315298;0;-1;-1
0,6628898;3,671093;0,05979139;-6,688596;16,41471;157,0613;1,418784;0;1,309743;0;-1;-1
0,6717293;3,671093;0,05979139;-6,688596;16,41471;157,0613;1,418784;0;1,292322;0;-1;-1
0,6904112;3,662477;0,05142359;-6,684043;12,19128;154,3357;1,750322;0,0560011;1,27125;0;-1;-1
0,7002004;3,660231;0,04499742;-6,680258;9,125069;153,8794;3,030326;1,491077;1,259643;0;-1;-1
0,711138;3,660231;0,04499742;-6,680258;9,125069;153,8794;3,030326;0,5878472;1,240072;1;7,62169;-1,7002
0,7259222;3,661226;0,04019766;-6,677377;7,005907;154,4431;4,67632;0,7394099;1,218806;1;7,62169;-1,7002
0,740211;3,661226;0,04019766;-6,677377;7,005907;154,4431;4,67632;1,293398E-08;1,195049;1;7,62169;-1,7002
