Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Instant acceleration (m/s^2);Distance travelled (m)
0;3,805524;1,684009;-8,353861;348,6901;341,5721;2,24368;-1;0;-1;0
0,3333333;3,805524;1,684009;-8,353861;348,6901;341,5721;2,24368;0;0;-1;0
0,375451;3,805524;1,684009;-8,353861;348,6901;341,5721;2,24368;0;0;0;0
0,3994882;3,805524;1,684009;-8,353861;348,6901;341,5721;2,24368;0;0;0;0
0,4158404;3,805524;1,684009;-8,353861;348,6901;341,5721;2,24368;0;0;0;0
0,4320614;3,805524;1,684009;-8,353861;348,6901;341,5721;2,24368;0;0;0;0
0,4489192;3,805524;1,684009;-8,353861;348,6901;341,5721;2,24368;0;0;0;0
0,46566;3,805524;1,684009;-8,353861;348,6901;341,5721;2,24368;0;0;0;0
0,4823973;3,805524;1,684009;-8,353861;348,6901;341,5721;2,24368;0;0;0;0
0,5003197;3,805524;1,684009;-8,353861;348,6901;341,5721;2,24368;0;0;0;0
0,5198882;3,805524;1,684009;-8,353861;348,6901;341,5721;2,24368;0;0;0;0
0,5336253;3,805524;1,684009;-8,353861;348,6901;341,5721;2,24368;0;0;0;0
0,5504456;3,805524;1,684009;-8,353861;348,6901;341,5721;2,24368;0;0;0;0
0,567253;3,805524;1,684009;-8,353861;348,6901;341,5721;2,24368;0;0;0;0
0,5832126;3,805524;1,684009;-8,353861;348,6901;341,5721;2,24368;0;0;0;0
0,601219;3,805524;1,684009;-8,353861;348,6901;341,5721;2,24368;0;0;0;0
0,6170016;3,805524;1,684009;-8,353861;348,6901;341,5721;2,24368;0;0;0;0
0,6331099;3,805524;1,684009;-8,353861;348,6901;341,5721;2,24368;0;0;0;0
0,6515715;3,805524;1,684009;-8,353861;348,6901;341,5721;2,24368;0;0;0;0
0,66834;3,805524;1,684009;-8,353861;348,6901;341,5721;2,24368;0;0;0;0
0,6834183;3,805524;1,684009;-8,353861;348,6901;341,5721;2,24368;0;0;0;0
0,7006785;3,805524;1,684009;-8,353861;348,6901;341,5721;2,24368;0;0;0;0
0,7168997;3,805524;1,684009;-8,353861;348,6901;341,5721;2,24368;0;0;0;0
0,7330149;3,805524;1,684009;-8,353861;348,6901;341,5721;2,24368;0;0;0;0
0,7497062;3,805524;1,684009;-8,353861;348,6901;341,5721;2,24368;0;0;0;0
0,7663059;3,805524;1,684009;-8,353861;348,6901;341,5721;2,24368;0;0;0;0
0,7830463;3,805524;1,684009;-8,353861;348,6901;341,5721;2,24368;0;0;0;0
0,8175052;3,824188;1,67062;-8,35232;20,57921;346,4315;3,865522;0,543478;0,02290829;10,61496;0,01872764
0,8345191;3,824347;1,670173;-8,352577;22,00719;346,157;3,500653;0,01778046;0,02280374;-10,21312;0,01903016
0,8496062;3,82433;1,670058;-8,35261;22,34468;346,067;3,401725;0,002409963;0,02244159;-0,4788163;0,01906652
0,8669229;3,824365;1,669782;-8,352692;22,84353;345,9246;3,228647;0,005139793;0,02209599;0,08424406;0,01915552
0,8832322;3,824418;1,669621;-8,352744;23,06048;345,867;3,14297;0,004568945;0,02177235;-0,01697637;0,01923004
0,9003416;3,824496;1,669436;-8,352808;23,26591;345,8101;3,057538;0,00590237;0,02147076;0,03990053;0,01933102
