Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;0;-1;-1;0
0,3333333;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
0,3724085;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
0,3979127;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
0,4300691;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
0,4462402;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
0,4636365;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
0,479641;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
0,4969738;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
0,5149639;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
0,5295116;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
0,5458636;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
0,5621138;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
0,5787767;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
0,5955707;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
0,6130781;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
0,6479253;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
0,6661283;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
0,6975302;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
0,7143514;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
0,7479407;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
0,764311;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
0,780901;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
0,7969737;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
0,8148959;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
0,8329092;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
0,8472338;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
0,8637556;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
0,8794019;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
0,8964869;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
0,9134285;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
0,9292626;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
0,9494212;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
1,282755;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
1,29967;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
1,314606;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
1,332593;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
1,349188;-6,992813;0,0764082;-5,959166;298,0518;180,2107;198,3018;0;1;0;-1;-1
