Areas				
Area	Time spent in Area (s)			
(1,1)	7,083609			
(1,2)	8,005108			
(1,1)	17,42086			
(0,1)	0,09701157			
(1,1)	0			
(1,2)	3,616558			
(1,3)	15,07309			
(2,3)	4,309685			
(3,3)	15,5399			
(3,2)	5,531441			
(3,3)	1,266907			
(3,2)	16,04105			
(4,2)	4,488075			
(4,3)	32,97941			
(5,3)	5,85582			
(4,3)	7,569794			
(4,4)	8,72998			
				
				
Steps				
Foot	Start time (s)	End time (s)	Duration (s)	Length (m)
Right	6,702125	7,48549	0,7833648	0,8169894
Left	15,16549	15,64847	0,4829779	0,2309572
Right	15,95707	16,39294	0,4358654	0,2132915
Left	16,77592	17,45963	0,683712	0,3287787
Right	17,52088	17,97836	0,4574814	0,3126773
Left	17,88204	18,33392	0,4518795	0,3015036
Right	18,3528	18,76557	0,4127655	0,4286146
Left	47,76368	48,37046	0,606781	0,3159868
Left	49,10637	49,82283	0,7164688	0,9134986
Left	50,42482	51,23834	0,8135223	0,8170758
Right	51,18313	52,01625	0,8331184	0,7953291
Left	52,24834	52,83265	0,5843086	0,7334897
Right	52,923	53,59937	0,6763649	0,6624043
Left	53,52074	54,60138	1,080643	0,7472351
Right	54,44636	55,23208	0,7857208	0,7716656
Left	55,32275	56,2668	0,9440536	0,8106717
Right	56,25237	56,77459	0,5222244	0,4294167
Left	58,98603	59,38167	0,3956451	0,1687785
Right	61,49394	62,06716	0,5732193	0,2488004
Left	62,06716	62,62981	0,5626488	0,4374026
Right	62,83004	63,62142	0,791378	0,2975695
Left	63,71078	64,25851	0,5477371	0,4600602
Right	66,01226	66,4568	0,4445419	0,2958971
Left	66,84073	67,64883	0,8080978	0,6222222
Right	67,68843	68,44174	0,7533112	0,645556
Left	68,3859	68,78115	0,3952484	0,1508267
Left	69,89865	70,61746	0,718811	0,4874007
Right	70,6436	71,59795	0,9543533	0,8103973
Left	71,52034	72,3739	0,8535614	0,9222257
Right	72,30498	73,13406	0,8290787	0,9121628
Left	73,0928	73,9215	0,8287048	0,8523598
Right	73,80701	74,59739	0,7903748	0,8584506
Left	74,56775	75,35141	0,7836609	0,8575091
Right	75,36491	76,28056	0,9156418	0,8137632
Left	76,2303	76,91377	0,6834717	0,7724316
Right	77,76798	78,22066	0,4526749	0,2823902
Left	79,16772	79,60361	0,4358978	0,1989076
Right	88,1171	88,75676	0,6396561	0,4342841
Left	88,7877	89,65768	0,8699799	0,7767
Right	89,78263	90,49773	0,7151031	0,4079314
Left	90,87414	91,67034	0,7962036	0,453998
Right	91,73392	92,48539	0,7514725	0,6939021
Left	92,74398	93,31874	0,5747604	0,3181448
Left	94,94607	95,42023	0,4741669	0,2100886
Left	97,39729	97,76726	0,3699722	0,1502973
Right	98,07366	98,52568	0,4520187	0,3050924
Left	98,95982	99,31021	0,3503952	0,2044489
Left	100,5401	101,2393	0,6991653	0,525003
Right	101,2022	102,0756	0,8733902	0,7126035
Left	102,0172	102,6867	0,6695404	0,5079544
Right	102,7535	103,4026	0,6490707	0,5783007
Left	103,5242	104,1445	0,6203079	0,4944523
Right	104,086	104,6776	0,591568	0,4523717
Left	106,4359	107,0872	0,6513062	0,4948236
Right	107,0872	107,8002	0,713028	0,6407499
Right	109,2366	109,6791	0,4424057	0,1704405
