Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Distance travelled (m)
0,0078005;3,872348;1,558362;3,774095;38,495;190,9011;5,470945;-1;0;0
0,3411338;3,866361;1,560804;3,774674;37,88959;190,9455;5,367699;0,01804462;0,01804462;0,006014873
0,3986814;3,866361;1,560804;3,774674;37,88959;190,9455;5,367699;0;0,01538799;0,006014873
0,4250124;3,866361;1,560804;3,774674;37,88959;190,9455;5,367699;0;0,01441683;0,006014873
0,4387265;3,866361;1,560804;3,774674;37,88959;190,9455;5,367699;0;0,01395802;0,006014873
0,4527788;3,866361;1,560804;3,774674;37,88959;190,9455;5,367699;0;0,01351723;0,006014873
0,4648769;3,866361;1,560804;3,774674;37,88959;190,9455;5,367699;0;0,01315945;0,006014873
0,4784552;3,866361;1,560804;3,774674;37,88959;190,9455;5,367699;0;0,0127798;0,006014873
0,4936531;3,866361;1,560804;3,774674;37,88959;190,9455;5,367699;0;0,01238003;0,006014873
0,5106974;3,866361;1,560804;3,774674;37,88959;190,9455;5,367699;0;0,01196045;0,006014873
0,5258871;3,866361;1,560804;3,774674;37,88959;190,9455;5,367699;0;0,01160978;0,006014873
0,5346141;3,866361;1,560804;3,774674;37,88959;190,9455;5,367699;0;0,01141746;0,006014873
0,5461298;3,866361;1,560804;3,774674;37,88959;190,9455;5,367699;0;0,01117322;0,006014873
0,556884;3,866361;1,560804;3,774674;37,88959;190,9455;5,367699;0;0,01095439;0,006014873
0,5656728;3,866361;1,560804;3,774674;37,88959;190,9455;5,367699;0;0,01078181;0,006014873
0,5783336;3,866361;1,560804;3,774674;37,88959;190,9455;5,367699;0;0,01054255;0,006014873
0,5873697;3,866361;1,560804;3,774674;37,88959;190,9455;5,367699;0;0,01037818;0,006014873
0,5973122;3,866361;1,560804;3,774674;37,88959;190,9455;5,367699;0;0,01020314;0,006014873
0,6069146;3,866361;1,560804;3,774674;37,88959;190,9455;5,367699;0;0,01003961;0,006014873
0,6242272;3,866361;1,560804;3,774674;37,88959;190,9455;5,367699;0;0,009757644;0,006014873
0,6326887;3,866361;1,560804;3,774674;37,88959;190,9455;5,367699;0;0,009625519;0,006014873
0,6468305;3,866361;1,560804;3,774674;37,88959;190,9455;5,367699;0;0,009412505;0,006014873
0,6594855;3,866361;1,560804;3,774674;37,88959;190,9455;5,367699;0;0,009229724;0,006014873
0,6693192;3,866361;1,560804;3,774674;37,88959;190,9455;5,367699;0;0,009092521;0,006014873
0,6822242;3,866361;1,560804;3,774674;37,88959;190,9455;5,367699;0;0,008918537;0,006014873
0,6935032;3,866361;1,560804;3,774674;37,88959;190,9455;5,367699;0;0,008771838;0,006014873
0,7036108;3,866361;1,560804;3,774674;37,88959;190,9455;5,367699;0;0,008644415;0,006014873
0,7154731;3,866361;1,560804;3,774674;37,88959;190,9455;5,367699;0;0,008499514;0,006014873
