Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s)
0,0078005;0;0;0;0;90;0;0;0;0;-1;-1
0,3411338;0;0;0;0;90;0;0;0;0;-1;-1
0,3986814;0;0;0;0;90;0;0;0;0;-1;-1
0,4250124;0;0;0;0;90;0;0;0;0;-1;-1
0,4387265;0;0;0;0;90;0;0;0;0;-1;-1
0,4527788;0;0;0;0;90;0;0;0;0;-1;-1
0,4648769;0;0;0;0;90;0;0;0;0;-1;-1
0,4784552;0;0;0;0;90;0;0;0;0;-1;-1
0,4936531;0;0;0;0;90;0;0;0;0;-1;-1
0,5106974;0;0;0;0;90;0;0;0;0;-1;-1
0,5258871;0;0;0;0;90;0;0;0;0;-1;-1
0,5346141;0;0;0;0;90;0;0;0;0;-1;-1
0,5461298;0;0;0;0;90;0;0;0;0;-1;-1
0,556884;0;0;0;0;90;0;0;0;0;-1;-1
0,5656728;0;0;0;0;90;0;0;0;0;-1;-1
0,5783336;0;0;0;0;90;0;0;0;0;-1;-1
0,5873697;0;0;0;0;90;0;0;0;0;-1;-1
0,5973122;0;0;0;0;90;0;0;0;0;-1;-1
0,6069146;0;0;0;0;90;0;0;0;0;-1;-1
0,6242272;0;0;0;0;90;0;0;0;0;-1;-1
0,6326887;0;0;0;0;90;0;0;0;0;-1;-1
0,6468305;0;0;0;0;90;0;0;0;0;-1;-1
0,6594855;0;0;0;0;90;0;0;0;0;-1;-1
0,6693192;0;0;0;0;90;0;0;0;0;-1;-1
0,6822242;0;0;0;0;90;0;0;0;0;-1;-1
0,6935032;0;0;0;0;90;0;0;0;0;-1;-1
0,7036108;0;0;0;0;90;0;0;0;0;-1;-1
0,7154731;0;0;0;0;90;0;0;0;0;-1;-1
0,7281097;0;0;0;0;90;0;0;0;0;-1;-1
0,7385911;0;0;0;0;90;0;0;0;0;-1;-1
0,7482201;0;0;0;0;90;0;0;0;0;-1;-1
0,7600552;0;0;0;0;90;0;0;0;0;-1;-1
0,7688974;0;0;0;0;90;0;0;0;0;-1;-1
0,7791262;0;0;0;0;90;0;0;0;0;-1;-1
0,7892903;0;0;0;0;90;0;0;0;0;-1;-1
0,7995417;0;0;0;0;90;0;0;0;0;-1;-1
0,8149159;0;0;0;0;90;0;0;0;0;-1;-1
0,8253812;0;0;0;0;90;0;0;0;0;-1;-1
0,8341034;0;0;0;0;90;0;0;0;0;-1;-1
0,8441469;0;0;0;0;90;0;0;0;0;-1;-1
0,8527628;0;0;0;0;90;0;0;0;0;-1;-1
0,862749;0;0;0;0;90;0;0;0;0;-1;-1
0,8722668;0;0;0;0;90;0;0;0;0;-1;-1
0,8831789;0;0;0;0;90;0;0;0;0;-1;-1
0,8939557;0;0;0;0;90;0;0;0;0;-1;-1
0,9065211;0;0;0;0;90;0;0;0;0;-1;-1
0,9154483;0;0;0;0;90;0;0;0;0;-1;-1
0,9248761;0;0;0;0;90;0;0;0;0;-1;-1
0,9345701;0;0;0;0;90;0;0;0;0;-1;-1
0,9447867;0;0;0;0;90;0;0;0;0;-1;-1
0,9548925;0;0;0;0;90;0;0;0;0;-1;-1
0,9667696;0;0;0;0;90;0;0;0;0;-1;-1
0,9772813;0;0;0;0;90;0;0;0;0;-1;-1
0,9870418;0;0;0;0;90;0;0;0;0;-1;-1
0,9973418;0;0;0;0;90;0;0;0;0;-1;-1
1,018724;0;0;0;0;90;0;0;0;0;-1;-1
1,032439;0;0;0;0;90;0;0;0;0;-1;-1
1,041721;0;0;0;0;90;0;0;0;0;-1;-1
1,050393;0;0;0;0;90;0;0;0;0;-1;-1
1,061167;0;0;0;0;90;0;0;0;0;-1;-1
1,070962;0;0;0;0;90;0;0;0;0;-1;-1
1,08347;0;0;0;0;90;0;0;0;0;-1;-1
1,093492;0;0;0;0;90;0;0;0;0;-1;-1
1,107254;0;0;0;0;90;0;0;0;0;-1;-1
1,12387;0;0;0;0;90;0;0;0;0;-1;-1
1,135083;0;0;0;0;90;0;0;0;0;-1;-1
1,148559;0;0;0;0;90;0;0;0;0;-1;-1
1,157586;0;0;0;0;90;0;0;0;0;-1;-1
1,165862;0;0;0;0;90;0;0;0;0;-1;-1
1,176374;0;0;0;0;90;0;0;0;0;-1;-1
1,185675;0;0;0;0;90;0;0;0;0;-1;-1
1,195458;0;0;0;0;90;0;0;0;0;-1;-1
1,20507;0;0;0;0;90;0;0;0;0;-1;-1
1,215719;0;0;0;0;90;0;0;0;0;-1;-1
