Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Instant acceleration (m/s^2);Distance travelled (m)
0;-5,905316;1,50591;-6,120569;14,37177;81,27719;354,9186;-1;0;-1;0
0,3333333;-5,905454;1,50605;-6,12133;14,3739;81,45164;354,8991;0,002318817;0,002318817;-1;0,0007729391
0,3688625;-5,902438;1,505247;-6,124225;14,52138;82,13499;354,7373;0,1176737;0,01342988;0,3127313;0,004953779
0,3920827;-5,902748;1,505193;-6,124384;14,52761;82,13267;354,7336;0,01501651;0,01352385;-1,747376;0,005302466
0,4086665;-5,902937;1,505159;-6,124481;14,53108;82,1328;354,7321;0,01283333;0,01349583;-0,05484832;0,005515291
0,4254602;-5,903146;1,505121;-6,124569;14,53619;82,13227;354,7293;0,01351133;0,01349644;0,02031289;0,005742198
0,4419906;-5,90326;1,505103;-6,124609;14,53974;82,13078;354,7265;0,00730767;0,01326498;-0,1861613;0,005862996
0,4586937;-5,90326;1,505103;-6,124609;14,53974;82,13078;354,7265;0;0,01278194;-0,2198887;0,005862996
0,4754225;-5,903732;1,505029;-6,124703;14,56095;82,11311;354,7018;0,02877221;0,01334459;0,8606196;0,00634432
0,4923017;-5,903862;1,50501;-6,124712;14,56483;82,10707;354,6944;0,007702719;0,01315115;-0,6269192;0,006474336
0,5110089;-5,904153;1,504968;-6,124713;14,58192;82,08488;354,6662;0,01557423;0,01323986;0,2211948;0,006765685
0,5256681;-5,904459;1,504923;-6,124699;14,60414;82,05607;354,6308;0,02084232;0,01345187;0,1578862;0,007071218
0,5420352;-5,904799;1,504876;-6,124671;14,62343;82,02767;354,5956;0,02089692;0,01367668;0,001759608;0,007413239
0,5590329;-5,904799;1,504876;-6,124671;14,62343;82,02767;354,5956;0;0,01326083;-0,626318;0,007413239
0,5755039;-5,905169;1,504838;-6,124637;14,64539;81,99841;354,5597;0,0225356;0,01352627;0,6733332;0,007784423
0,5920671;-5,905568;1,50481;-6,124619;14,66408;81,97694;354,5309;0,02412121;0,01382267;0,04799882;0,008183947
0,6087757;-5,905978;1,504789;-6,124618;14,67536;81,96423;354,5116;0,02451442;0,01411612;0,01181821;0,00859355
0,6253296;-5,906188;1,504786;-6,124626;14,68053;81,95923;354,502;0,01268373;0,0140782;-0,355676;0,008803515
0,6429548;-5,906642;1,504799;-6,124659;14,68632;81,95363;354,4877;0,02584826;0,01440085;0,3851634;0,009259096
0,6613179;-5,906642;1,504799;-6,124659;14,68632;81,95363;354,4877;0;0,01400098;-0,7182401;0,009259096
0,6754858;-5,907593;1,504895;-6,124773;14,68435;81,95512;354,4718;0,06759472;0,01512507;2,077854;0,01021677
0,69209;-5,907842;1,504936;-6,124799;14,68334;81,95605;354,4675;0,0150993;0,01512445;-1,705943;0,01046748
0,7087914;-5,908356;1,505036;-6,124842;14,67755;81,95908;354,4576;0,03088715;0,01549587;0,4740301;0,01098334
0,7260109;-5,908871;1,505142;-6,12486;14,66618;81,96207;354,4484;0,02989789;0,01583746;-0,02916375;0,01149817
0,7436289;-5,909132;1,505203;-6,124855;14,66039;81,96216;354,4427;0,01480773;0,01581306;-0,4331587;0,01175905
0,7589533;-5,909132;1,505203;-6,124855;14,66039;81,96216;354,4427;0;0,01549377;-0,4495036;0,01175905
0,7756252;-5,910162;1,505441;-6,12473;14,62843;81,95296;354,4128;0,0622883;0,01649961;1,946734;0,01279751
0,7923952;-5,910645;1,505571;-6,124642;14,57553;81,94273;354,3911;0,02925199;0,0167695;-0,9878718;0,01328807
0,809301;-5,910874;1,505626;-6,124573;14,56682;81,92747;354,3772;0,0141618;0,01671503;-0,448102;0,01352749
0,8285799;-5,911368;1,505745;-6,124367;14,53507;81,89465;354,3491;0,02774928;0,01697176;0,3755036;0,01406246
0,8422477;-5,91186;1,505865;-6,124106;14,49619;81,85454;354,324;0,04077965;0,01735811;0,3954984;0,01461983
0,8590452;-5,91186;1,505865;-6,124106;14,49619;81,85454;354,324;0;0,0170187;-1,33856;0,01461983
0,875624;-5,91256;1,506037;-6,123668;14,43573;81,77919;354,2847;0,04978921;0,01763917;1,491754;0,01544528
0,8922411;-5,91278;1,506096;-6,123522;14,41475;81,75267;354,2729;0,01588575;0,01760651;-1,021314;0,01570925
0,9256941;-5,913205;1,506217;-6,123229;14,37254;81,70169;354,2563;0,01543187;0,01752792;-0,009064761;0,01622549
0,9423758;-5,913803;1,506389;-6,122791;14,31134;81,6263;354,2405;0,04442329;0,01800402;0,5782709;0,01696655
0,9594978;-5,913803;1,506389;-6,122791;14,31134;81,6263;354,2405;0;0,01768274;-1,314155;0,01696655
0,9951078;-5,914368;1,506549;-6,122318;14,24036;81,53961;354,2283;0,02069219;0,01779043;0,3924025;0,0177034
1,010871;-5,915217;1,506841;-6,121481;14,099;81,31137;354,1959;0,07563786;0,01869248;1,069541;0,01889568
1,027761;-5,915368;1,506899;-6,121315;14,07302;81,25675;354,1866;0,01329381;0,01860376;-1,909288;0,01912021
1,043023;-5,915646;1,507011;-6,121001;14,01609;81,14843;354,1734;0,02746673;0,01873345;0,4408105;0,01953941
1,078587;-5,915646;1,507011;-6,121001;14,01609;81,14843;354,1734;0;0,01811575;-0,5404062;0,01953941
1,094456;-5,916259;1,507339;-6,120273;13,88858;80,90175;354,1474;0,05998597;0,01872286;1,166281;0,02049136
1,110354;-5,916376;1,507436;-6,120116;13,85954;80,85363;354,1454;0,01230407;0,01863097;-1,501005;0,02068696
1,130558;-5,916601;1,507668;-6,119767;13,7926;80,75209;354,1486;0,02056838;0,01866559;0,2289174;0,02110253
1,14445;-5,916838;1,508027;-6,119281;13,70294;80,63758;354,167;0,0388685;0,01891083;0,5367101;0,02164251
1,160469;-5,916838;1,508027;-6,119281;13,70294;80,63758;354,167;0;0,0186498;-1,299496;0,02164251
1,177622;-5,917206;1,508922;-6,118147;13,49442;80,39272;354,2191;0,06953739;0,01939102;2,096319;0,02283528
1,192741;-5,917336;1,509339;-6,117623;13,41;80,27688;354,2443;0,03570636;0,01959784;-1,048298;0,02337514
1,209785;-5,91758;1,510326;-6,116344;13,20878;79,9847;354,2953;0,07635373;0,02039746;1,263759;0,02467656
1,227819;-5,918126;1,511544;-6,114755;12,69073;79,38589;354,3731;0,09318446;0,02146653;0,4798049;0,02635702
1,243292;-5,918929;1,512817;-6,112988;11,8999;78,51063;354,4557;0,1254356;0,02276041;0,9625404;0,02829783
1,262064;-5,918929;1,512817;-6,112988;11,8999;78,51063;354,4557;0;0,02242186;-3,662899;0,02829783
1,296467;-5,919745;1,514256;-6,110433;11,03047;77,34122;354,4979;0,0779882;0,02389638;1,466614;0,03098088
1,328773;-5,920109;1,515326;-6,107444;10,29852;76,19786;354,5104;0,09319851;0,0255813;0,2280085;0,03399176
1,344804;-5,919924;1,515717;-6,10546;9,981603;75,6219;354,4985;0,1243108;0,02675819;0,6436594;0,03598453
1,361083;-5,919637;1,515812;-6,104234;9,845983;75,33745;354,4853;0,07731591;0,02736289;-1,454511;0,03724317
1,379375;-5,919637;1,515812;-6,104234;9,845983;75,33745;354,4853;0;0,02700003;-2,236427;0,03724317
1,412331;-5,919207;1,515774;-6,103006;9,76738;75,12399;354,4703;0,0394912;0,0272915;0,7705961;0,03854463
1,429294;-5,918007;1,515388;-6,100666;9,701974;74,87157;354,4482;0,1550033;0,02880716;2,314023;0,04117389
1,460693;-5,917233;1,515141;-6,099399;9,693778;74,80347;354,4414;0,04729008;0,02920447;-2,227233;0,04265876
1,493216;-5,915861;1,51483;-6,097181;9,692221;74,73018;354,4352;0,08018189;0,0303148;0,5145574;0,04526654
1,510501;-5,914323;1,514553;-6,094123;9,692356;74,64828;354,426;0,1980274;0,03223394;2,365994;0,0486894
1,527131;-5,913305;1,514398;-6,091603;9,686127;74,5723;354,4136;0,1634371;0,0336627;-1,019919;0,05140734
1,543954;-5,912334;1,514249;-6,088756;9,68315;74,45129;354,3838;0,1788376;0,03524455;0,4603586;0,05441596
1,560514;-5,912334;1,514249;-6,088756;9,68315;74,45129;354,3838;0;0,03487055;-5,357162;0,05441596
1,577734;-5,911042;1,514114;-6,084078;9,648508;74,16417;354,2997;0,2818274;0,03756595;8,343059;0,05926907
1,595692;-5,910332;1,514088;-6,080872;9,614547;73,91501;354,222;0,182869;0,03920118;-2,813079;0,062553
1,627638;-5,909989;1,514071;-6,079304;9,591898;73,78532;354,1813;0,05023651;0,03941778;-2,657728;0,06415789
1,643696;-5,908671;1,513954;-6,073524;9,510618;73,3221;354,0269;0,3691972;0,04263949;6,644408;0,07008636
1,660314;-5,908671;1,513954;-6,073524;9,510618;73,3221;354,0269;0;0,04221272;-11,29886;0,07008636
1,693145;-5,907643;1,513665;-6,068791;9,45505;73,04167;353,9716;0,1475106;0,04425453;2,983066;0,07492934
1,709388;-5,90648;1,513178;-6,06406;9,408084;72,83427;353,968;0,2999465;0,04668416;3,10622;0,07980137
1,72628;-5,905565;1,512822;-6,061065;9,374754;72,73024;353,9691;0,1853922;0,04804147;-3,457181;0,08293305
1,743201;-5,905079;1,512623;-6,059468;9,360711;72,67836;353,9736;0,0986258;0,04853246;-2,566121;0,0846018
1,762405;-5,905079;1,512623;-6,059468;9,360711;72,67836;353,9736;0;0,0480036;-2,73013;0,0846018
1,777684;-5,902971;1,511588;-6,052337;9,307108;72,42622;354,0105;0,4867096;0,0517741;14,11435;0,09203798
1,794093;-5,901911;1,510979;-6,04849;9,282354;72,23131;354,0232;0,2432169;0,05352511;-7,684072;0,09602904
1,810046;-5,901391;1,510685;-6,046589;9,276097;72,11514;354,0228;0,1235187;0,05414199;-3,698702;0,0979995
1,827244;-5,900338;1,510127;-6,042877;9,26088;71,83347;354,0059;0,2243589;0,0557441;3,041842;0,1018581
1,844042;-5,899809;1,509868;-6,041121;9,259213;71,67249;353,9867;0,10917;0,05623075;-3,388344;0,1036919
1,862846;-5,899809;1,509868;-6,041121;9,259213;71,67249;353,9867;0;0,05566314;-3,066443;0,1036919
