Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3333333;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3667817;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3937698;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4273464;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4604435;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,47792;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4943372;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,514158;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5270782;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5438545;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5769303;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5941004;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6114138;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6274734;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6624377;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6961335;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7282378;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7440366;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,762544;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7788838;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7943125;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8125665;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8296013;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8611317;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,877472;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8939674;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9273695;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,943823;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9614264;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9785829;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,013118;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,043969;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,060676;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,093949;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,145838;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,179563;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,212166;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,228554;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,24429;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,261778;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,277704;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,294426;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,312569;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,329792;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,361153;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,377954;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,394822;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,411302;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,42758;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,444238;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,461442;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,478061;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,497837;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,527938;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
