Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;0;0;0;0;0;0;0;0;-1;-1;0
0,3333333;0;0;0;0;0;0;0;0;-1;-1;0
0,3713518;0;0;0;0;0;0;0;0;-1;-1;0
0,3971988;0;0;0;0;0;0;0;0;-1;-1;0
0,4133269;0;0;0;0;0;0;0;0;-1;-1;0
0,4301544;0;0;0;0;0;0;0;0;-1;-1;0
0,4470181;0;0;0;0;0;0;0;0;-1;-1;0
0,4636014;0;0;0;0;0;0;0;0;-1;-1;0
0,4808549;0;0;0;0;0;0;0;0;-1;-1;0
0,5144737;0;0;0;0;0;0;0;0;-1;-1;0
0,5323822;0;0;0;0;0;0;0;0;-1;-1;0
0,5474746;0;0;0;0;0;0;0;0;-1;-1;0
0,5639049;0;0;0;0;0;0;0;0;-1;-1;0
0,5814787;0;0;0;0;0;0;0;0;-1;-1;0
0,5973791;0;0;0;0;0;0;0;0;-1;-1;0
0,6135123;0;0;0;0;0;0;0;0;-1;-1;0
0,6305239;0;0;0;0;0;0;0;0;-1;-1;0
0,6478431;0;0;0;0;0;0;0;0;-1;-1;0
0,6643448;0;0;0;0;0;0;0;0;-1;-1;0
0,6828572;0;0;0;0;0;0;0;0;-1;-1;0
0,697033;0;0;0;0;0;0;0;0;-1;-1;0
0,7138346;0;0;0;0;0;0;0;0;-1;-1;0
0,7307625;0;0;0;0;0;0;0;0;-1;-1;0
0,7473096;0;0;0;0;0;0;0;0;-1;-1;0
0,7638237;0;0;0;0;0;0;0;0;-1;-1;0
0,7808608;0;0;0;0;0;0;0;0;-1;-1;0
0,7975439;0;0;0;0;0;0;0;0;-1;-1;0
0,8137782;0;0;0;0;0;0;0;0;-1;-1;0
0,8307886;0;0;0;0;0;0;0;0;-1;-1;0
0,8501339;0;0;0;0;0;0;0;0;-1;-1;0
0,8638586;0;0;0;0;0;0;0;0;-1;-1;0
0,881927;0;0;0;0;0;0;0;0;-1;-1;0
0,9137104;0;0;0;0;0;0;0;0;-1;-1;0
0,9305485;0;0;0;0;0;0;0;0;-1;-1;0
0,9470568;0;0;0;0;0;0;0;0;-1;-1;0
0,9637291;0;0;0;0;0;0;0;0;-1;-1;0
0,9820606;0;0;0;0;0;0;0;0;-1;-1;0
1,000074;0;0;0;0;0;0;0;0;-1;-1;0
1,014619;0;0;0;0;0;0;0;0;-1;-1;0
1,030482;0;0;0;0;0;0;0;0;-1;-1;0
1,048486;0;0;0;0;0;0;0;0;-1;-1;0
1,064121;0;0;0;0;0;0;0;0;-1;-1;0
1,081174;0;0;0;0;0;0;0;0;-1;-1;0
1,114318;0;0;0;0;0;0;0;0;-1;-1;0
1,130759;0;0;0;0;0;0;0;0;-1;-1;0
1,164975;0;0;0;0;0;0;0;0;-1;-1;0
1,199796;0;0;0;0;0;0;0;0;-1;-1;0
1,214648;0;0;0;0;0;0;0;0;-1;-1;0
1,230796;0;0;0;0;0;0;0;0;-1;-1;0
1,248003;0;0;0;0;0;0;0;0;-1;-1;0
1,264749;0;0;0;0;0;0;0;0;-1;-1;0
1,298549;0;0;0;0;0;0;0;0;-1;-1;0
1,314291;0;0;0;0;0;0;0;0;-1;-1;0
1,348594;0;0;0;0;0;0;0;0;-1;-1;0
1,366096;0;0;0;0;0;0;0;0;-1;-1;0
1,381297;0;0;0;0;0;0;0;0;-1;-1;0
1,397603;0;0;0;0;0;0;0;0;-1;-1;0
1,414439;0;0;0;0;0;0;0;0;-1;-1;0
1,431239;0;0;0;0;0;0;0;0;-1;-1;0
1,447528;0;0;0;0;0;0;0;0;-1;-1;0
1,464443;0;0;0;0;0;0;0;0;-1;-1;0
1,48344;0;0;0;0;0;0;0;0;-1;-1;0
1,497867;0;0;0;0;0;0;0;0;-1;-1;0
1,515283;0;0;0;0;0;0;0;0;-1;-1;0
1,532776;0;0;0;0;0;0;0;0;-1;-1;0
1,548413;0;0;0;0;0;0;0;0;-1;-1;0
1,564245;0;0;0;0;0;0;0;0;-1;-1;0
1,58198;0;0;0;0;0;0;0;0;-1;-1;0
1,597788;0;0;0;0;0;0;0;0;-1;-1;0
1,614242;0;0;0;0;0;0;0;0;-1;-1;0
1,647929;0;0;0;0;0;0;0;0;-1;-1;0
1,664627;0;0;0;0;0;0;0;0;-1;-1;0
1,682273;0;0;0;0;0;0;0;0;-1;-1;0
1,69968;0;0;0;0;0;0;0;0;-1;-1;0
