Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Instant acceleration (m/s^2);Distance travelled (m)
0;-3,715364;1,481793;-7,336346;21,07962;356,288;2,90711;-1;0;-1;0
0,3333333;-3,715364;1,481793;-7,336346;21,07962;356,288;2,90711;0;0;-1;0
0,3605675;-3,715364;1,481793;-7,336346;21,07962;356,288;2,90711;0;0;0;0
0,3860517;-3,715364;1,481793;-7,336346;21,07962;356,288;2,90711;0;0;0;0
0,4025615;-3,715364;1,481793;-7,336346;21,07962;356,288;2,90711;0;0;0;0
0,4193532;-3,715364;1,481793;-7,336346;21,07962;356,288;2,90711;0;0;0;0
0,4359748;-3,715364;1,481793;-7,336346;21,07962;356,288;2,90711;0;0;0;0
0,4528567;-3,715364;1,481793;-7,336346;21,07962;356,288;2,90711;0;0;0;0
0,4696626;-3,715364;1,481793;-7,336346;21,07962;356,288;2,90711;0;0;0;0
0,4874725;-3,715364;1,481793;-7,336346;21,07962;356,288;2,90711;0;0;0;0
0,5048547;-3,715364;1,481793;-7,336346;21,07962;356,288;2,90711;0;0;0;0
0,5199782;-3,715364;1,481793;-7,336346;21,07962;356,288;2,90711;0;0;0;0
0,5363159;-3,715364;1,481793;-7,336346;21,07962;356,288;2,90711;0;0;0;0
0,5529228;-3,715364;1,481793;-7,336346;21,07962;356,288;2,90711;0;0;0;0
0,5694788;-3,715364;1,481793;-7,336346;21,07962;356,288;2,90711;0;0;0;0
0,5862113;-3,715364;1,481793;-7,336346;21,07962;356,288;2,90711;0;0;0;0
0,6032009;-3,715364;1,481793;-7,336346;21,07962;356,288;2,90711;0;0;0;0
0,6195512;-3,715364;1,481793;-7,336346;21,07962;356,288;2,90711;0;0;0;0
0,6360534;-3,715364;1,481793;-7,336346;21,07962;356,288;2,90711;0;0;0;0
0,6533019;-3,715364;1,481793;-7,336346;21,07962;356,288;2,90711;0;0;0;0
0,6719347;-3,765985;1,479397;-6,720569;23,81413;356,3966;2,014814;-1;0,9195152;-1;0,6178542
0,6864625;-3,76544;1,479957;-6,712668;23,81265;356,3987;2,010279;0,5451257;0,9115919;-1;0,6257737
0,7029367;-3,76544;1,479957;-6,712668;23,81265;356,3987;2,010279;0;0,8902276;-17,58357;0,6257737
0,7194224;-3,76544;1,479957;-6,712668;23,81265;356,3987;2,010279;0;0,8698279;0;0,6257737
0,7362144;-3,764158;1,482069;-6,679484;24,43095;356,6251;1,758327;1,977655;0,8950958;59,42887;0,6589825
0,7529226;-3,764158;1,482069;-6,679484;24,43095;356,6251;1,758327;0;0,8752327;-59,03415;0,6589825
0,7696083;-3,764158;1,482069;-6,679484;24,43095;356,6251;1,758327;0;0,8562569;0;0,6589825
0,7864587;-3,764158;1,482069;-6,679484;24,43095;356,6251;1,758327;0;0,8379111;0;0,6589825
