Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3333333;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3605675;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,3860517;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4025615;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4193532;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4359748;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4528567;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4696626;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,4874725;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5048547;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5199782;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5363159;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5529228;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5694788;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,5862113;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6032009;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6195512;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6360534;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6533019;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6719347;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,6864625;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7029367;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7194224;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7362144;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7529226;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7696083;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,7864587;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8281763;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8551807;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8698002;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,8867834;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9199263;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9362902;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9531762;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9696664;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
0,9876108;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,005489;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,036683;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,053035;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,086683;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,103288;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,119954;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,136375;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,153621;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,171861;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,186569;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,203077;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,220123;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,23657;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,253286;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,270384;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,287007;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,303707;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
1,322529;-0,6967869;-5,1863;0,9511175;0;0;0;0;0;-1;-1;0
