Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s)
0,0063439;-3,638308;0,04386951;-7,691799;347,9792;177,3306;4,367323;0;0;0;-1;-1
0,3396772;-3,639005;0,04758467;-7,689052;343,8333;178,0127;5,428105;0;0,008502058;0;-1;-1
0,3679886;-3,717369;0,04602804;-6,80643;6,665163;171,4581;2,019048;0;2,458014;0;-1;-1
0,386697;-3,717596;0,0392132;-6,803424;3,410057;171,2767;1,60544;0;2,345038;0;-1;-1
0,3964052;-3,717578;0,03638386;-6,801953;1,82835;171,2685;0,9431297;0;2,290443;0;-1;-1
0,4057591;-3,717578;0,03638386;-6,801953;1,82835;171,2685;0,9431297;0;2,236803;0;-1;-1
0,4167693;-3,717884;0,03447692;-6,801095;0,5607212;171,2335;359,9563;0;2,179019;0;-1;-1
0,4263072;-3,717884;0,03447692;-6,801095;0,5607212;171,2335;359,9563;0;2,129531;0;-1;-1
0,4364412;-3,718436;0,03360272;-6,80032;359,9827;171,2142;359,5654;0;2,081567;0;-1;-1
0,4460096;-3,718436;0,03360272;-6,80032;359,9827;171,2142;359,5654;0;2,036266;0;-1;-1
0,4666161;-3,718747;0,03306592;-6,800056;359,6256;171,2153;359,2419;0;1,945986;0;-1;-1
0,4798616;-3,718616;0,03275812;-6,800063;359,6231;171,1894;359,4881;0;1,891828;0;-1;-1
0,4898401;-3,718616;0,03275812;-6,800063;359,6231;171,1894;359,4881;0;1,852784;0;-1;-1
0,5094455;-3,718207;0,03238406;-6,800275;359,6204;171,1741;359,6426;0;1,781498;0;-1;-1
0,5190509;-3,718109;0,03248864;-6,800219;359,7755;171,1846;359,9376;0;1,748343;0;-1;-1
0,5281859;-3,718109;0,03248864;-6,800219;359,7755;171,1846;359,9376;0;1,717738;0;-1;-1
0,5427578;-3,718157;0,03229958;-6,800335;359,5655;171,16;359,5987;0;1,67131;0;-1;-1
0,5532012;-3,718208;0,03209773;-6,800298;359,5371;171,1301;359,737;0;1,639508;0;-1;-1
0,5637709;-3,718208;0,03209773;-6,800298;359,5371;171,1301;359,737;0;1,60842;0;-1;-1
0,5738029;-3,718267;0,03228091;-6,800177;359,5219;171,0997;359,9192;0,000874398;1,580223;0;-1;-1
0,5873014;-3,718267;0,03228091;-6,800177;359,5219;171,0997;359,9192;7,021917;1,543507;0;-1;-1
0,6094692;-3,718415;0,03198464;-6,800244;359,3524;171,1253;359,4942;0,08909111;1,487044;1;7,75035;-1,587301
0,6265198;-3,71849;0,03204263;-6,800314;359,2727;171,1366;359,205;0,07724092;1,446327;1;7,75035;-1,587301
0,6391306;-3,718573;0,03217538;-6,800457;359,3324;171,1718;358,8867;0,003841378;1,417763;1;7,75035;-1,587301
0,6498413;-3,718573;0,03217538;-6,800457;359,3324;171,1718;358,8867;0,04369619;1,394165;1;7,75035;-1,587301
0,6857787;-3,718514;0,03220333;-6,800545;359,3559;171,2327;358,8757;0,0006295782;1,320579;1;7,75035;-1,587301
0,6995721;-3,718514;0,03220333;-6,800545;359,3559;171,2327;358,8757;0,02591951;1,294303;1;7,75035;-1,587301
0,7085657;-3,718514;0,03220333;-6,800545;359,3559;171,2327;358,8757;5,704022E-10;1,277727;1;7,75035;-1,587301
0,7206662;-3,718514;0,03220333;-6,800545;359,3559;171,2327;358,8757;0,006612438;1,256082;1;7,75035;-1,587301
0,73079;-3,717203;0,03102982;-6,801952;357,377;171,5563;354,8656;0,04314673;1,241184;1;7,75035;-1,587301
0,738974;-3,717203;0,03102982;-6,801952;357,377;171,5563;354,8656;0;1,227319;1;7,75035;-1,587301
0,7478472;-3,717203;0,03102982;-6,801952;357,377;171,5563;354,8656;0,006513755;1,212633;1;7,75035;-1,587301
0,7647809;-3,716781;0,03091309;-6,801747;357,3778;171,5968;355,178;0,005201611;1,186177;1;7,75035;-1,587301
0,7802933;-3,718195;0,03172219;-6,799379;358,6964;171,6153;358,2204;0,03940332;1,165966;1;7,75035;-1,587301
0,8113795;-3,718195;0,03172219;-6,799379;358,6964;171,6153;358,2204;0,003059459;1,120943;1;7,75035;-1,587301
0,8285633;-3,718195;0,03172219;-6,799379;358,6964;171,6153;358,2204;0,00393654;1,097516;0;-1;-1
