Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s)
0,0065935;3,728689;0,01031722;-7,410937;2,392114;189,1751;357,4502;0;0;0;-1;-1
0,3399268;3,728951;0,009890012;-7,410378;2,646662;188,7642;357,6728;0;0,001853977;0;-1;-1
0,3680975;3,728951;0,009890012;-7,410378;2,646662;188,7642;357,6728;0;0,001709503;0;-1;-1
0,3811568;3,717437;0,0436439;-7,381848;339,3349;183,4821;332,29;0;0,08378693;0;-1;-1
0,3951206;3,717437;0,0436439;-7,381848;339,3349;183,4821;332,29;0;0,0807756;0;-1;-1
0,4075615;3,709821;0,05200686;-7,369291;334,7572;181,0921;333,2805;0;0,1148955;0;-1;-1
0,4195296;3,701195;0,05817547;-7,352868;332,6111;178,3144;335,2005;0;0,1564905;0;-1;-1
0,432665;3,701195;0,05817547;-7,352868;332,6111;178,3144;335,2005;0;0,1516661;0;-1;-1
0,4438408;3,691081;0,06249868;-7,331006;331,9718;176,1131;336,7007;0;0,2028794;0;-1;-1
0,4557665;3,685891;0,06339024;-7,317824;331,9555;175,326;337,5859;0;0,2290325;0;-1;-1
0,4677436;3,685891;0,06339024;-7,317824;331,9555;175,326;337,5859;0;0,223084;0;-1;-1
0,4791582;3,665953;0,06288352;-7,2709;333,0103;175,5633;341,8288;0;0,3255828;0;-1;-1
0,4886661;3,665953;0,06288352;-7,2709;333,0103;175,5633;341,8288;0;0,3191614;0;-1;-1
0,5016551;3,652405;0,0588199;-7,236945;336,5352;175,0037;342,7257;0;0,3846336;0;-1;-1
0,5166783;3,652405;0,0588199;-7,236945;336,5352;175,0037;342,7257;0;0,3733052;0;-1;-1
0,5312403;3,625833;0,0508872;-7,181242;341,7657;172,7434;345,7638;0;0,4805786;0;-1;-1
0,5418929;3,616876;0,04729159;-7,162827;343,0371;172,2803;347,1237;0;0,5092694;0;-1;-1
0,5541041;3,616876;0,04729159;-7,162827;343,0371;172,2803;347,1237;0;0,4979111;0;-1;-1
0,5679334;3,59745;0,04043184;-7,125013;345,3678;170,6616;350,706;0;0,5613765;0;-1;-1
0,5784106;3,576439;0,03423505;-7,085406;349,293;169,5846;352,8322;0,4195165;0,6294988;0;-1;-1
0,5904819;3,576439;0,03423505;-7,085406;349,293;169,5846;352,8322;0;0,6164846;1;7,981695;-1,578411
0,6031891;3,555335;0,02911269;-7,045419;352,3666;168,4002;354,5126;0,7643433;0,6791419;1;7,981695;-1,578411
0,6144658;3,544601;0,02670603;-7,025097;354,3276;168,0934;354,8812;0,4877911;0,7043499;1;7,981695;-1,578411
0,6230834;3,544601;0,02670603;-7,025097;354,3276;168,0934;354,8812;0,3309812;0,6945043;1;7,981695;-1,578411
0,636464;3,544601;0,02670603;-7,025097;354,3276;168,0934;354,8812;0,3965059;0,6797506;1;7,981695;-1,578411
0,6502002;3,501236;0,02046088;-6,945393;0,9338136;167,0923;356,4944;1,594658;0,8062268;1;7,981695;-1,578411
0,6627004;3,4902;0,01979976;-6,926386;1,976975;166,9671;357,3966;0,1496973;0,8243644;1;7,981695;-1,578411
0,6763898;3,4902;0,01979976;-6,926386;1,976975;166,9671;357,3966;0,2843727;0,8075159;1;7,981695;-1,578411
0,6909465;3,458514;0,02163712;-6,87396;6,978532;166,0211;358,1567;0,9947826;0,8798513;1;7,981695;-1,578411
0,7004519;3,447951;0,02374329;-6,858446;8,972044;165,3355;358,5522;0,6143166;0,8948475;1;7,981695;-1,578411
0,7104526;3,447951;0,02374329;-6,858446;8,972044;165,3355;358,5522;5,737795E-08;0,8821332;1;7,981695;-1,578411
0,7230867;3,427961;0,02880123;-6,830759;11,844;163,9212;359,4839;0,2343701;0,9142404;1;7,981695;-1,578411
0,735505;3,427961;0,02880123;-6,830759;11,844;163,9212;359,4839;5,708205E-08;0,8986647;1;7,981695;-1,578411
0,7501845;3,41121;0,03302568;-6,807152;13,5716;162,5939;0,04771925;0,5865475;0,9198505;1;7,981695;-1,578411
0,7631337;3,398719;0,03549049;-6,788228;15,18921;161,9734;359,8296;0,1447937;0,9340782;1;7,981695;-1,578411
0,7724656;3,398719;0,03549049;-6,788228;15,18921;161,9734;359,8296;5,789328E-08;0,9226968;1;7,981695;-1,578411
0,7865455;3,391232;0,03592386;-6,77333;15,73388;162,2178;359,4679;0,4689782;0,9274175;1;7,981695;-1,578411
0,7987176;3,389409;0,03560912;-6,767506;15,28278;162,543;359,7457;0,9216874;0,920871;1;7,981695;-1,578411
0,8105948;3,389409;0,03560912;-6,767506;15,28278;162,543;359,7457;6,452512E-08;0,9072673;1;7,981695;-1,578411
0,8264136;3,389148;0,02990891;-6,756845;12,35496;164,1623;359,6123;0,6993613;0,9027687;1;7,981695;-1,578411
0,8482383;3,389448;0,02687276;-6,755184;11,20953;164,5437;359,276;0,4485425;0,8813642;1;7,981695;-1,578411
0,8644333;3,387476;0,01830992;-6,751442;6,539486;164,6504;359,241;0,1310793;0,8696555;1;7,981695;-1,578411
0,8849406;3,387395;0,0165001;-6,750297;5,272241;164,8684;359,6482;0,02217643;0,850659;1;7,981695;-1,578411
0,9105922;3,387461;0,01390272;-6,748516;3,064341;165,2377;0,5697098;1,328537;0,828492;1;7,981695;-1,578411
0,9297225;3,387338;0,01231697;-6,74782;1,557437;165,5959;1,735241;0,3426017;0,8120887;1;7,981695;-1,578411
0,9528346;3,387293;0,01183217;-6,747513;1,192404;165,6236;1,872555;0,004766963;0,7925808;1;7,981695;-1,578411
0,9906811;3,387328;0,01143037;-6,74752;0,9864607;165,6006;1,903755;0,7445586;0,762136;1;7,981695;-1,578411
1,017825;3,387179;0,01089218;-6,747528;0,6877902;165,589;2,013694;0,3375698;0,741826;1;7,981695;-1,578411
1,031921;3,387528;0,01069746;-6,747005;0,6690754;165,1726;1,808597;0,00782328;0,7322406;1;7,981695;-1,578411
1,049252;3,387307;0,01057941;-6,747401;0,7773749;165,6807;1,69456;0,4500313;0,7205042;1;7,981695;-1,578411
1,064873;3,387158;0,01030162;-6,747785;0,4964901;165,6411;1,89075;0,005173046;0,7102587;1;7,981695;-1,578411
1,080393;3,387135;0,01025848;-6,747804;0,5085659;165,6385;1,845862;0,3210897;0,7000212;1;7,981695;-1,578411
1,090623;3,387135;0,01025848;-6,747804;0,5085659;165,6385;1,845862;0,2874021;0,6934152;1;7,981695;-1,578411
1,106456;3,386735;0,01077585;-6,746801;0,04170877;165,0689;1,478425;0,01223438;0,6844146;1;7,981695;-1,578411
1,121847;3,387073;0,008065419;-6,747553;1,832612;165,5009;3,237472;0,1995389;0,6757084;1;7,981695;-1,578411
1,132679;3,387073;0,008065419;-6,747553;1,832612;165,5009;3,237472;0,08057704;0,6692082;1;7,981695;-1,578411
1,149737;3,387121;0,007942012;-6,747604;1,872336;165,4226;3,360989;0,00131862;0,6592841;1;7,981695;-1,578411
1,167392;3,387438;0,008017263;-6,747208;1,927251;165,2189;3,254302;0,1163884;0,6496943;1;7,981695;-1,578411
1,186728;3,387366;0,01082149;-6,747279;0,1256655;165,0308;1,434302;0,04558086;0,6391351;1;7,981695;-1,578411
1,210772;3,387383;0,01056862;-6,747634;0,1728757;165,0597;1,63287;0,08988387;0,6266688;1;7,981695;-1,578411
1,221486;3,38675;0,01087052;-6,747338;0,851141;164,93;0,8954553;0,02051684;0,6217176;1;7,981695;-1,578411
1,232855;3,38675;0,01087052;-6,747338;0,851141;164,93;0,8954553;0,01960843;0,6159533;1;7,981695;-1,578411
1,252619;3,386245;0,01086842;-6,747375;1,091372;165,0389;0,7044284;0,01513527;0,6065902;1;7,981695;-1,578411
1,262759;3,386181;0,01088386;-6,747381;1,242893;164,886;0,446657;0,004467256;0,6017442;1;7,981695;-1,578411
