Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Instant acceleration (m/s^2);Distance travelled (m)
0;-7,016222;1,650815;-4,514441;15,86319;114,9182;359,7921;-1;0;-1;0
0,3333333;-7,01471;1,65;-4,518953;16,00733;114,77;359,7285;0,01427583;0,01427583;-1;0,004758611
0,3691131;-6,977054;1,642467;-4,549907;18,43546;109,3704;0,332184;1,362379;0,1449536;3,652277;0,05350428
0,3945034;-6,972962;1,643662;-4,548504;18,59335;108,7052;0,6926541;0,1703627;0,1465889;-19,48695;0,05782983
0,4107454;-6,969148;1,644564;-4,546464;18,56895;107,9875;1,22336;0,2662714;0,1513215;2,303709;0,06215463
0,4277326;-6,967934;1,644756;-4,545688;18,58958;107,7788;1,426872;0,08484387;0,1486814;-5,459868;0,06359589
0,4443446;-6,967934;1,644756;-4,545688;18,58958;107,7788;1,426872;0;0,1431229;-2,525175;0,06359589
0,4609726;-6,964577;1,644972;-4,54312;18,67163;107,0834;1,961784;0,2541562;0,147128;7,646096;0,067822
0,512171;-6,962693;1,645015;-4,5412;18,76553;106,645;2,291354;0,05255588;0,1376743;-2,972299;0,07051278
0,5297316;-6,958813;1,645525;-4,534503;18,86134;105,4353;3,104774;0,4407094;0,1477199;5,645131;0,0782519
0,5446419;-6,958307;1,645599;-4,533334;18,91279;105,2646;3,209879;0,08542968;0,1460146;-10,94149;0,07952568
0,5612405;-6,958307;1,645599;-4,533334;18,91279;105,2646;3,209879;0;0,1416963;-2,71129;0,07952568
0,5781142;-6,957348;1,646322;-4,529384;18,87604;104,8272;3,54289;0,2409047;0,1445919;7,197136;0,08359063
0,5946343;-6,956968;1,646984;-4,526568;18,75175;104,5372;3,759381;0,1720165;0,1453538;-2,062903;0,08643236
0,6112398;-6,956671;1,647484;-4,523738;18,70881;104,2897;3,890274;0,171335;0,1460596;-0,02057291;0,08927746
0,6277618;-6,956588;1,647737;-4,522201;18,69075;104,1751;3,939832;0,09321132;0,1446687;-2,358275;0,0908175
0,6445292;-6,956588;1,647737;-4,522201;18,69075;104,1751;3,939832;0;0,1409052;-2,800032;0,0908175
0,6609691;-6,956473;1,648132;-4,51902;18,63815;103,9497;4,030158;0,1936158;0,1422162;5,830509;0,09400053
0,678695;-6,956436;1,648368;-4,513896;18,56485;103,6439;4,131654;0,2890547;0,1460513;2,7934;0,09912428
0,6966727;-6,956526;1,648324;-4,510163;18,53456;103,4654;4,178536;0,2076881;0,1476418;-2,278946;0,102858
0,7118405;-6,956564;1,648203;-4,508269;18,53486;103,383;4,196404;0,1249271;0,1471578;-2,496906;0,1047529
0,7277772;-6,956652;1,648131;-4,506253;18,51155;103,3065;4,225745;0,126625;0,1467082;0,05458808;0,1067709
0,7443947;-6,956652;1,648131;-4,506253;18,51155;103,3065;4,225745;0;0,1434332;-3,889659;0,1067709
0,7613578;-6,957251;1,647312;-4,495744;18,33719;102,9468;4,365056;0,6204967;0,1540622;18,47783;0,1172965
0,777962;-6,957334;1,647011;-4,493623;18,35121;102,8938;4,38284;0,1278365;0,1535024;-14,67681;0,1194191
0,7946404;-6,957612;1,6466;-4,488984;18,30826;102,7642;4,457398;0,2786505;0,1561291;4,531328;0,1240665
0,8118293;-6,957811;1,646322;-4,484348;18,30239;102,622;4,547585;0,269947;0,158539;-0,2569874;0,1287066
0,8449224;-6,957948;1,646289;-4,48197;18,21195;102,5255;4,648042;0,07199078;0,1551492;-3,93692;0,131089
0,8633634;-6,958237;1,646363;-4,474789;18,04309;102,2306;4,92371;0,389703;0,1601591;6,165086;0,1382755
0,8945143;-6,958436;1,646696;-4,467431;17,78941;101,8571;5,293305;0,2363096;0,162811;-3,093116;0,1456368
0,9113423;-6,958605;1,647271;-4,459872;17,52011;101,4207;5,799314;0,4492933;0,1681009;4,439114;0,1531975
0,928027;-6,958649;1,647508;-4,457319;17,39558;101,2601;6,025201;0,153007;0,1678295;-8,840997;0,1557503
0,9445;-6,958649;1,647508;-4,457319;17,39558;101,2601;6,025201;0;0,1649024;-4,614514;0,1557503
0,9615964;-6,958804;1,648737;-4,446941;16,80534;100,5395;6,920146;0,6071168;0,1727646;18,08542;0,1661299
0,9955779;-6,958776;1,649065;-4,44439;16,67631;100,3825;7,111827;0,0750631;0,1694298;-10,41651;0,1686806
1,01339;-6,958353;1,650439;-4,434351;16,27407;99,8607;7,578386;0,5641144;0,1763672;9,442262;0,1787288
1,044702;-6,957947;1,651126;-4,429323;16,1479;99,68164;7,661659;0,1611093;0,1759099;-8,203793;0,1837735
1,061631;-6,957167;1,65193;-4,421579;15,98094;99,50481;7,730178;0,4597295;0,1804356;6,190248;0,191556
1,078086;-6,956522;1,652391;-4,416101;15,87433;99,42388;7,735863;0,3352162;0,1827982;-3,729695;0,1970723
1,111699;-6,956141;1,652569;-4,413328;15,83926;99,3978;7,734359;0,08326758;0,1797888;-5,032066;0,1998711
1,145144;-6,954957;1,653054;-4,404556;15,74262;99,38809;7,740424;0,2646736;0,1822679;2,705231;0,208723
1,17926;-6,953429;1,653649;-4,391826;15,60965;99,45192;7,699199;0,3758183;0,1878674;1,645106;0,2215445
1,197049;-6,951713;1,653655;-4,38171;15,54026;99,53591;7,609722;0,5767958;0,1936471;3,872023;0,231805
1,228053;-6,951051;1,653622;-4,378199;15,52121;99,58937;7,583001;0,1152239;0,1916672;-9,459805;0,2353774
1,244722;-6,948268;1,65375;-4,363153;15,44821;99,88694;7,451947;0,9179129;0,2013929;16,83731;0,2506783
1,261491;-6,946624;1,653734;-4,355279;15,41893;100,0566;7,391976;0,4797037;0,2050924;-13,10533;0,2587221
1,278976;-6,945705;1,653718;-4,351103;15,4063;100,1575;7,376075;0,2445457;0,2056318;-6,865134;0,2629981
1,294858;-6,943864;1,653843;-4,342586;15,29543;100,4334;7,405279;0,5487088;0,2098396;9,115643;0,2717125
1,311672;-6,942821;1,653826;-4,33827;15,24484;100,5787;7,430306;0,2640702;0,2105348;-8,705638;0,2761526
1,328346;-6,940578;1,653736;-4,329321;15,11973;100,8896;7,505546;0,5532684;0,214837;8,635744;0,2853779
1,345151;-6,940578;1,653736;-4,329321;15,11973;100,8896;7,505546;0;0,2121531;-16,52602;0,2853779
1,364692;-6,935921;1,653759;-4,310273;14,36899;101,7385;7,958554;1,003451;0,2234841;27,60815;0,3049871
1,378273;-6,933116;1,653281;-4,300524;14,09469;102,0695;8,12644;0,7470018;0,2286425;-7,742503;0,3151318
1,395215;-6,931639;1,65298;-4,295522;13,98863;102,2225;8,194962;0,3078513;0,2296044;-14,38756;0,3203475
1,411376;-6,928466;1,652124;-4,28534;13,80687;102,4981;8,290474;0,6599326;0,2345316;10,63605;0,3310122
1,42835;-6,926815;1,651569;-4,280155;13,74955;102,6304;8,31875;0,3205629;0,235554;-10,24223;0,3364535
1,444927;-6,926815;1,651569;-4,280155;13,74955;102,6304;8,31875;0;0,2328516;-9,554434;0,3364535
1,461592;-6,919695;1,648914;-4,258727;13,42836;103,1853;8,362135;1,354904;0,2456454;40,75822;0,3590334
1,478818;-6,915751;1,647274;-4,247675;13,26974;103,4841;8,343258;0,6812208;0,250719;-19,87809;0,3707677
1,495643;-6,91368;1,64643;-4,242107;13,18802;103,6348;8,318833;0,3530942;0,2518707;-9,636481;0,3767085
1,513886;-6,909367;1,644948;-4,230888;13,02694;103,9407;8,255831;0,6588356;0,256775;8,718373;0,3887281
1,545111;-6,905136;1,643864;-4,219519;13,03475;104,4841;8,185206;0,3885211;0,2594374;-5,464413;0,4008595
1,562129;-6,898021;1,642046;-4,202945;13,03368;105,1378;7,973169;1,059878;0,2681573;13,91634;0,4188962
1,578422;-6,893214;1,640764;-4,192126;13,01727;105,5322;7,747064;0,7266163;0,2728897;-10,00462;0,430735
1,595651;-6,890836;1,640011;-4,186763;13,03953;105,7328;7,604915;0,34048;0,2736195;-11,51864;0,4366013
1,612562;-6,886225;1,638351;-4,176192;13,10699;106,1309;7,264552;0,6820146;0,2779022;10,00394;0,4481344
1,628337;-6,881924;1,636622;-4,165878;13,23477;106,5422;6,895695;0,7083601;0,2820725;0,8060177;0,4593093
1,645585;-6,881924;1,636622;-4,165878;13,23477;106,5422;6,895695;0;0,2791161;-21,4502;0,4593093
