Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;3,821209;0,1041583;-8,404174;2,691194;208,2457;358,8419;0;0;-1;-1;0
0,3333333;3,821209;0,1041583;-8,404174;2,691194;208,2457;358,8419;0;1;0;-1;-1
0,3689047;3,821209;0,1041583;-8,404174;2,691194;208,2457;358,8419;0;1;0;-1;-1
0,3945886;3,821209;0,1041583;-8,404174;2,691194;208,2457;358,8419;0;1;0;-1;-1
0,4086764;3,821209;0,1041583;-8,404174;2,691194;208,2457;358,8419;0;1;0;-1;-1
0,4263436;3,821209;0,1041583;-8,404174;2,691194;208,2457;358,8419;0;1;0;-1;-1
0,4426048;3,821209;0,1041583;-8,404174;2,691194;208,2457;358,8419;0;1;0;-1;-1
0,4603125;3,821209;0,1041583;-8,404174;2,691194;208,2457;358,8419;0;1;0;-1;-1
0,4760186;3,821209;0,1041583;-8,404174;2,691194;208,2457;358,8419;0;1;0;-1;-1
0,4940513;3,821209;0,1041583;-8,404174;2,691194;208,2457;358,8419;0;1;0;-1;-1
0,5093035;3,821209;0,1041583;-8,404174;2,691194;208,2457;358,8419;0;1;0;-1;-1
0,52596;3,821209;0,1041583;-8,404174;2,691194;208,2457;358,8419;0;1;0;-1;-1
0,5431452;3,821209;0,1041583;-8,404174;2,691194;208,2457;358,8419;0;1;0;-1;-1
0,5596336;3,821209;0,1041583;-8,404174;2,691194;208,2457;358,8419;0;1;0;-1;-1
0,5771649;3,821209;0,1041583;-8,404174;2,691194;208,2457;358,8419;0;1;0;-1;-1
0,5930961;3,821209;0,1041583;-8,404174;2,691194;208,2457;358,8419;0;1;0;-1;-1
0,6092204;3,821209;0,1041583;-8,404174;2,691194;208,2457;358,8419;0;1;0;-1;-1
0,6257821;3,821209;0,1041583;-8,404174;2,691194;208,2457;358,8419;0;1;0;-1;-1
0,6427355;3,821209;0,1041583;-8,404174;2,691194;208,2457;358,8419;0;1;0;-1;-1
0,6608195;3,821209;0,1041583;-8,404174;2,691194;208,2457;358,8419;0;1;0;-1;-1
0,6760452;3,821209;0,1041583;-8,404174;2,691194;208,2457;358,8419;0;1;0;-1;-1
