Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s)
0,0119331;-5,757809;0,08645751;-6,055119;352,0749;277,0524;1,340155;0;0;0;-1;-1
0,3452664;-5,757809;0,08645751;-6,055119;352,0749;277,0524;1,340155;0;0;0;-1;-1
0,3754652;-5,216087;0,09354379;-6,052189;13,52125;279,2426;1,132626;0;1,490184;0;-1;-1
0,3900625;-5,174893;0,1009784;-6,053287;17,28772;278,4551;1,725624;0;1,541637;0;-1;-1
0,4028305;-5,174893;0,1009784;-6,053287;17,28772;278,4551;1,725624;0;1,491282;0;-1;-1
0,4129954;-5,174893;0,1009784;-6,053287;17,28772;278,4551;1,725624;0;1,453486;0;-1;-1
0,431527;-5,174893;0,1009784;-6,053287;17,28772;278,4551;1,725624;0;1,389292;0;-1;-1
0,4462444;-5,125223;0,1093864;-6,055554;21,07104;277,0464;0,6840202;0;1,456699;0;-1;-1
0,4561679;-5,125223;0,1093864;-6,055554;21,07104;277,0464;0,6840202;0;1,424159;0;-1;-1
0,4705216;-5,107663;0,1096204;-6,056471;21,75322;276,8041;0,0780742;0;1,417925;0;-1;-1
0,496765;-5,103858;0,1087736;-6,056603;21,68958;276,8152;0,1488602;0;1,349029;0;-1;-1
0,5129614;-5,097471;0,1040299;-6,055348;20,55421;276,4539;0,2810121;0;1,31841;0;-1;-1
0,527989;-5,096375;0,1014502;-6,05444;19,67536;276,2396;0,4026431;0;1,282776;0;-1;-1
0,5406595;-5,093068;0,09616186;-6,051312;17,65401;275,0698;0,1042183;0;1,260644;0;-1;-1
0,5523944;-5,093068;0,09616186;-6,051312;17,65401;275,0698;0,1042183;0;1,233272;0;-1;-1
0,5651563;-5,088484;0,08997096;-6,048127;15,04343;273,9081;0,09282753;0;1,214912;0;-1;-1
0,5798005;-5,088484;0,08997096;-6,048127;15,04343;273,9081;0,09282753;0;1,183582;0;-1;-1
0,5907696;-5,084592;0,08374196;-6,045701;12,40069;272,9907;359,0116;0;1,169077;0;-1;-1
0,605016;-5,083663;0,08202844;-6,045857;11,69224;273,0406;358,7314;0;1,142582;0;-1;-1
0,617697;-5,083663;0,08202844;-6,045857;11,69224;273,0406;358,7314;3,829396E-08;1,118663;0;-1;-1
0,631567;-5,083663;0,08202844;-6,045857;11,69224;273,0406;358,7314;3,481441;1,093623;0;-1;-1
0,6484282;-5,083663;0,08202844;-6,045857;11,69224;273,0406;358,7314;0,5837758;1,064652;1;7,899116;-1,631567
0,6677708;-5,083663;0,08202844;-6,045857;11,69224;273,0406;358,7314;1,235998E-08;1,033252;1;7,899116;-1,631567
0,6861607;-5,083663;0,08202844;-6,045857;11,69224;273,0406;358,7314;1,211469E-08;1,00507;1;7,899116;-1,631567
0,6968897;-5,083663;0,08202844;-6,045857;11,69224;273,0406;358,7314;1,209043E-08;0,9893267;1;7,899116;-1,631567
0,7080425;-5,083663;0,08202844;-6,045857;11,69224;273,0406;358,7314;0,6884294;0,973476;1;7,899116;-1,631567
0,7196766;-5,083663;0,08202844;-6,045857;11,69224;273,0406;358,7314;1,255311E-08;0,9574737;1;7,899116;-1,631567
0,7317642;-5,083663;0,08202844;-6,045857;11,69224;273,0406;358,7314;0,246946;0,9413956;1;7,899116;-1,631567
0,7446885;-5,083663;0,08202844;-6,045857;11,69224;273,0406;358,7314;0,03012291;0,9247913;1;7,899116;-1,631567
0,7538321;-5,083663;0,08202844;-6,045857;11,69224;273,0406;358,7314;0,1074561;0,9133936;1;7,899116;-1,631567
0,7681754;-5,078597;0,07415023;-6,044334;7,547376;271,688;354,8754;0,1028482;0,9030661;1;7,899116;-1,631567
0,7813426;-5,078567;0,07417591;-6,044391;7,486614;271,6674;354,8354;0,121257;0,8876953;1;7,899116;-1,631567
0,7941461;-5,078567;0,07417591;-6,044391;7,486614;271,6674;354,8354;1,300976E-09;0,8731652;1;7,899116;-1,631567
0,8124523;-5,078457;0,07399185;-6,044347;7,420035;271,6495;354,7082;0,137014;0,8533461;1;7,899116;-1,631567
0,8319473;-5,078334;0,0737968;-6,044501;7,379162;271,4283;354,5511;0,002962404;0,833299;1;7,899116;-1,631567
0,8513047;-5,078321;0,07354508;-6,044382;7,332062;271,259;354,2556;0,1416707;0,8142247;1;7,899116;-1,631567
0,8616672;-5,078174;0,07348713;-6,044439;7,32515;271,2075;353,9998;0,02576841;0,8044806;1;7,899116;-1,631567
0,8754077;-5,078174;0,07348713;-6,044439;7,32515;271,2075;353,9998;7,159713E-10;0,7916789;1;7,899116;-1,631567
0,8924393;-5,077741;0,07307082;-6,044697;7,322062;271,3086;354,1176;0,007760657;0,7769379;1;7,899116;-1,631567
