Areas
Area;Time spent in Area (s)
(4,5);2,559447
(4,4);2,503651
(4,3);2,609284
(4,2);2,704366
(4,1);3,37054
(4,2);2,470165
(4,3);2,467203
(4,4);2,510798
(4,5);2,702604


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Left;0,560661;1,099783;0,5391222;0,3916626
Right;0,916426;1,705541;0,7891153;1,037875
Left;1,550543;2,334801;0,7842577;1,085315
Right;2,150048;2,83963;0,6895821;1,081254
Left;2,736301;3,486618;0,7503173;1,093083
Right;3,297851;4,063854;0,7660034;1,124977
Left;3,921454;4,665321;0,7438676;1,099532
Right;4,487629;5,251438;0,7638087;1,114922
Left;5,080242;5,849308;0,7690654;1,122804
Right;5,657305;6,498657;0,8413525;1,103638
Left;6,290941;7,052147;0,7612062;1,10685
Right;6,886168;7,743092;0,8569231;1,095589
Left;7,548069;8,30136;0,7532911;1,082515
Right;8,059379;8,929916;0,8705378;1,094102
Left;8,784565;9,528145;0,7435799;1,090827
Right;9,36202;10,11585;0,7538338;1,070902
Left;9,982974;10,73902;0,7560415;1,054226
Right;10,55292;11,37442;0,8215017;1,042346
Left;11,22497;11,94066;0,715683;1,050568
Right;11,75648;12,56418;0,8077002;1,012062
Left;12,4857;13,26369;0,7779903;0,9829689
Right;13,11562;13,92924;0,813612;0,9042743
Left;13,88556;14,64741;0,7618494;0,8134831
Right;14,62115;15,62683;1,005679;0,8078431
Left;15,66108;16,20297;0,5418901;0,4167543
Right;16,20297;16,59691;0,39394;0,1423903
Left;16,83502;17,3477;0,5126839;0,228493
Right;18,17423;18,8058;0,6315689;0,4312636
Left;18,98346;19,54538;0,5619278;0,9761665
Right;19,38046;20,21402;0,8335629;1,103268
Left;20,01878;20,80959;0,7908039;1,107467
Right;20,61907;21,3937;0,7746334;1,127278
Left;21,24546;21,99872;0,7532578;1,13735
Left;22,42697;23,21145;0,7844791;1,114545
Left;23,57158;24,32639;0,7548084;1,107973
Left;24,78593;25,49783;0,7119007;1,125337
Left;25,94305;26,73481;0,7917633;1,130334
Left;27,12384;27,88688;0,7630386;1,131648
Left;28,32991;29,08696;0,7570515;1,074641
Left;29,52308;30,28075;0,7576714;1,126473
Left;30,75961;31,57148;0,8118668;1,065487


Landmarks
Area;Time spent looking at landmarks (s)


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)


