Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Distance travelled (m)
0,0078398;3,726856;1,497352;-7,054426;24,54078;272,5751;356,557;-1;0;0
0,3411731;3,729339;1,49788;-7,042894;24,28577;272,1684;356,769;0,03538983;0,03538983;0,01179661
0,3709958;3,763764;1,516549;-6,806092;23,30061;267,1128;355,6969;8,023778;0,6914036;0,2510874
0,3904209;3,763015;1,516359;-6,793832;23,42426;266,9406;355,7428;0,6323166;0,6884035;0,2633702
0,4050446;3,762202;1,516208;-6,786156;23,46838;266,7411;355,6488;0,5278831;0,6824937;0,2710898
0,4162058;3,762202;1,516208;-6,786156;23,46838;266,7411;355,6488;0;0,6638402;0,2710898
0,4301081;3,760828;1,515874;-6,77878;23,43126;266,5217;355,5979;0,5396568;0,6597518;0,2785922
0,4421585;3,759364;1,515378;-6,771662;22,855;266,3445;355,7726;0,6030711;0,6581791;0,2858595
0,4538049;3,759364;1,515378;-6,771662;22,855;266,3445;355,7726;0;0,6409907;0,2858595
0,4691519;3,757439;1,514366;-6,764888;22,70125;265,4581;355,088;0,4588662;0,6349318;0,2929017
0,4825659;3,756237;1,514015;-6,761581;22,32897;265,4521;355,3152;0,262299;0,6244025;0,2964202
0,4924202;3,756237;1,514015;-6,761581;22,32897;265,4521;355,3152;0;0,6117048;0,2964202
0,5094993;3,752639;1,51363;-6,751488;21,98864;264,6884;355,0621;0,6273687;0,6122381;0,3071351
0,5264079;3,750125;1,513219;-6,7449;22,18783;264,2617;354,97;0,4170361;0,6058733;0,3141866
0,5381107;3,748651;1,512876;-6,74174;22,08888;264,0778;354,9012;0,2979663;0,5990779;0,3176736
0,5483537;3,748651;1,512876;-6,74174;22,08888;264,0778;354,9012;0;0,5877252;0,3176736
0,5697726;3,745529;1,511878;-6,735475;22,05508;263,4562;354,7268;0,3268278;0,5777807;0,3246739
0,5842351;3,740612;1,510023;-6,72591;22,34966;263,2724;355,0081;0,7436182;0,5819417;0,3354284
0,5958818;3,740612;1,510023;-6,72591;22,34966;263,2724;355,0081;0;0,5704159;0,3354284
0,6078768;3,736986;1,509027;-6,719782;22,30755;262,4698;354,3994;0,5935726;0,5708787;0,3425484
0,6188328;3,735437;1,508593;-6,716684;22,22627;262,485;354,4501;0,3161937;0,5663119;0,3460126
0,6304759;3,735437;1,508593;-6,716684;22,22627;262,485;354,4501;0;0,555722;0,3460126
0,647087;3,72914;1,506783;-6,70751;22,14125;262,0793;354,3813;0,6698307;0,5586872;0,3571392
0,6631718;3,727346;1,506064;-6,704451;22,24783;262,2411;354,6543;0,2205228;0,5503871;0,3606863
0,6800498;3,727346;1,506064;-6,704451;22,24783;262,2411;354,6543;0;0,5365679;0,3606863
0,6903539;3,717611;1,503436;-6,692937;21,71873;261,835;354,547;1,463246;0,5505581;0,3757637
0,7058135;3,714891;1,50277;-6,690186;21,6594;261,7598;354,5278;0,2502309;0,5439061;0,3796321
0,7194763;3,714891;1,50277;-6,690186;21,6594;261,7598;354,5278;0;0,5334635;0,3796321
0,7353703;3,706244;1,500732;-6,681899;22,45981;261,5435;354,6901;0,7535637;0,538272;0,3916093
0,7495151;3,703452;1,500687;-6,678999;22,31116;261,418;354,7244;0,2845638;0,5334334;0,3956344
0,7586856;3,696699;1,499946;-6,6732;21,72578;260,6989;354,4163;0,9706767;0,5387738;0,404536
0,7701057;3,696699;1,499946;-6,6732;21,72578;260,6989;354,4163;0;0,530702;0,404536
0,7826876;3,690212;1,499946;-6,667411;22,02812;260,7292;354,4651;0,6909741;0,5333045;0,4132298
0,7917624;3,690212;1,499946;-6,667411;22,02812;260,7292;354,4651;0;0,5271308;0,4132298
0,8052737;3,683856;1,49941;-6,661478;21,56541;260,6582;354,5349;0,6436093;0,5291044;0,4219258
0,8190535;3,683856;1,49941;-6,661478;21,56541;260,6582;354,5349;0;0,5201167;0,4219258
0,831198;3,67559;1,498556;-6,652373;22,76493;260,5851;354,6064;1,012548;0,52738;0,4342227
0,845179;3,673008;1,498218;-6,64961;23,04985;260,5398;354,4798;0,270481;0,5230906;0,4380043
0,8587382;3,673008;1,498218;-6,64961;23,04985;260,5398;354,4798;0;0,5147551;0,4380043
0,8746151;3,668003;1,49736;-6,644259;23,28498;260,3823;354,4753;0,4614572;0,5137788;0,4453308
0,9043575;3,663714;1,497058;-6,638916;23,23782;260,2148;354,4095;0,2303811;0,5043769;0,4521829
0,9197829;3,658317;1,497193;-6,630755;23,55494;260,6143;354,8388;0,6342695;0,5065741;0,4619667
0,9339779;3,656246;1,498064;-6,625098;23,53439;260,4886;354,814;0,4244286;0,505315;0,4679915
0,9812817;3,654412;1,498208;-6,622064;24,15069;260,1823;354,5752;0,07493869;0,4844012;0,4715364
0,9995621;3,648945;1,501831;-6,608603;24,21219;259,4485;354,461;0,794771;0,4901222;0,4860651
1,023953;3,6475;1,503878;-6,603417;24,23402;259,1125;354,4325;0,2207075;0,4836552;0,4914484
1,036234;3,646128;1,50554;-6,598077;24,12405;258,7104;354,5873;0,4489514;0,4832407;0,4969618
1,04789;3,645416;1,506531;-6,595436;23,92926;258,5643;354,5652;0,2346821;0,4804551;0,4996973
1,075689;3,64486;1,507638;-6,592872;23,2513;258,4599;354,713;0,09437727;0,4704044;0,5023209
1,102663;3,643472;1,510635;-6,58503;23,61824;258,262;354,9783;0,2952681;0,4660895;0,5102854
1,117759;3,642147;1,512652;-6,5765;23,26586;257,8221;355,3712;0,5717586;0,4675267;0,5189169
1,134747;3,641429;1,512876;-6,573538;23,67641;257,4415;355,2712;0,1794064;0,4631833;0,5219647
1,155153;3,640685;1,513852;-6,567901;22,84826;257,2157;355,8013;0,2786701;0,4599016;0,5276512
1,16976;3,639738;1,514349;-6,562095;22,79228;256,7674;355,9806;0,4027305;0,4591829;0,533534
1,193202;3,638859;1,514888;-6,556297;22,64322;256,1364;355,9669;0,2501367;0,4550488;0,5393977
1,207886;3,6382;1,514802;-6,550225;22,05495;255,3621;356,2301;0,4159892;0,4545708;0,5455058
1,235381;3,637949;1,51492;-6,547081;21,89678;255,0051;356,2455;0,1147192;0,4469585;0,54866
1,257905;3,638497;1,515357;-6,537218;21,75171;253,7586;356,3752;0,4385403;0,4468068;0,5585377
1,271827;3,638276;1,515017;-6,530538;22,18647;253,0927;356,3666;0,4800828;0,4471733;0,5652213
1,303034;3,638976;1,515497;-6,523616;21,84605;252,2465;356,4298;0,2229451;0,4417706;0,5721788
1,327999;3,640241;1,515906;-6,513062;21,78042;251,2112;356,5508;0,4257707;0,441468;0,5828082
1,349321;3,641531;1,516229;-6,505819;21,76013;250,457;356,7589;0,3450254;0,4399351;0,5901648
1,367084;3,643611;1,517045;-6,494713;22,0473;249,5748;357,1466;0,6361488;0,4424992;0,6014644
1,379215;3,644622;1,517491;-6,490904;21,59833;249,28;357,4276;0,3248213;0,4414582;0,6054049
1,404252;3,644622;1,517491;-6,490904;21,59833;249,28;357,4276;0;0,4335431;0,6054049
1,418257;3,648052;1,518807;-6,474865;21,90099;248,0611;357,9679;1,171171;0,4408674;0,6218069
1,430105;3,648874;1,51918;-6,470846;21,8128;247,7067;357,9425;0,3461966;0,4400788;0,6259087
1,439494;3,650549;1,519672;-6,462327;21,64087;247,1014;358,1451;0,924772;0,4432573;0,6345911
1,471618;3,650549;1,519672;-6,462327;21,64087;247,1014;358,1451;0;0,4335296;0,6345911
1,489969;3,653696;1,520936;-6,445127;22,04224;245,9799;358,125;0,9528245;0,4399595;0,652077
1,506458;3,654944;1,521721;-6,43639;22,23797;245,3914;357,8688;0,5352389;0,4410078;0,6609023
1,517214;3,654613;1,521553;-6,432113;22,43402;246,2375;358,3268;0,3988378;0,4407073;0,6651924
1,526618;3,654613;1,521553;-6,432113;22,43402;246,2375;358,3268;0;0,4379786;0,6651924
1,539723;3,656085;1,523127;-6,422933;22,33296;245,0319;357,4937;0,7094462;0,440301;0,6744899
1,553061;3,656085;1,523127;-6,422933;22,33296;245,0319;357,4937;0;0,4365004;0,6744899
1,565186;3,657651;1,523908;-6,410641;21,65625;244,179;357,4148;1,021977;0,4410585;0,6868806
1,575324;3,657651;1,523908;-6,410641;21,65625;244,179;357,4148;0;0,4382056;0,6868806
1,590962;3,658562;1,52464;-6,402112;21,82897;243,7037;357,0262;0,5484931;0,4392951;0,6954578
1,603555;3,659585;1,525288;-6,393943;21,60691;243,4312;357,0713;0,6538355;0,4409881;0,7036913
1,614561;3,659585;1,525288;-6,393943;21,60691;243,4312;357,0713;0;0,4379674;0,7036913
1,625051;3,660447;1,525916;-6,386011;21,64931;243,1185;356,9989;0,760572;0,44006;0,7116702
1,638076;3,660447;1,525916;-6,386011;21,64931;243,1185;356,9989;0;0,4365441;0,7116702
1,653623;3,661148;1,52634;-6,378358;21,37963;242,8505;357,0417;0,4942904;0,4370897;0,719355
1,669376;3,66112;1,526189;-6,370783;22,41528;242,2877;356,4541;0,4808652;0,4375047;0,7269301
1,681941;3,661933;1,526461;-6,36406;21,3201;242,0919;356,8286;0,5389925;0,4382663;0,733702
1,691559;3,661933;1,526461;-6,36406;21,3201;242,0919;356,8286;0;0,4357628;0,733702
1,708075;3,661774;1,525974;-6,356922;22,55661;241,7968;356,3007;0,4323019;0,4357291;0,740842
1,72617;3,661886;1,525801;-6,353824;22,08576;241,4668;356,3842;0,1712979;0,4329446;0,7439416
1,737338;3,661886;1,525801;-6,353824;22,08576;241,4668;356,3842;0;0,4301489;0,7439416
1,757159;3,661966;1,525929;-6,344084;22,45104;241,3189;356,1808;0,4914011;0,4308429;0,7536818
1,773294;3,661763;1,526149;-6,337922;22,61975;241,2048;356,072;0,3821604;0,430398;0,7598478
