Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s)
0,0169614;0;0;0;0;90;0;0;0;0;-1;-1
0,3502947;0;0;0;0;90;0;0;0;0;-1;-1
0,3761895;0;0;0;0;90;0;0;0;0;-1;-1
0,3922872;0;0;0;0;90;0;0;0;0;-1;-1
0,4030777;0;0;0;0;90;0;0;0;0;-1;-1
0,4134435;0;0;0;0;90;0;0;0;0;-1;-1
0,4273727;0;0;0;0;90;0;0;0;0;-1;-1
0,4403636;0;0;0;0;90;0;0;0;0;-1;-1
0,4513131;0;0;0;0;90;0;0;0;0;-1;-1
0,469475;4,419404;0,06882776;4,095963;349,392;40,53667;354,2802;0;0;0;-1;-1
0,4887851;4,380111;0,07225667;4,073662;352,6134;38,33886;353,2018;0;0,09575558;0;-1;-1
0,5084039;4,347729;0,07653198;4,052172;355,9776;37,07228;351,1285;0;0,1710146;0;-1;-1
0,5232099;4,319019;0,08185686;4,033126;358,5185;34,70246;350,3145;0;0,2340692;0;-1;-1
0,5564009;4,295537;0,08665506;4,017386;0,902531;32,8644;349,721;0;0,2720712;0;-1;-1
0,5679926;4,269133;0,09089605;4,001654;3,192803;32,00762;350,1103;0;0,3221268;0;-1;-1
0,5785974;4,262775;0,09069677;3,998444;3,285256;32,11857;350,4909;0;0,3287258;0;-1;-1
0,5935385;4,262775;0,09069677;3,998444;3,285256;32,11857;350,4909;0;0,3202074;0;-1;-1
0,6055689;4,249509;0,08634725;3,993373;2,066888;33,23594;352,0889;0;0,3377911;0;-1;-1
0,6178912;4,249509;0,08634725;3,993373;2,066888;33,23594;352,0889;0;0,3308645;0;-1;-1
0,6297974;4,249509;0,08634725;3,993373;2,066888;33,23594;352,0889;3,273963E-07;0,3244365;0;-1;-1
0,6414109;4,244521;0,07781466;3,990836;359,2523;33,20757;353,9099;0,1677001;0,3273646;0;-1;-1
0,6533493;4,244521;0,07781466;3,990836;359,2523;33,20757;353,9099;7,239074E-07;0,3212233;0;-1;-1
0,6683877;4,244521;0,07781466;3,990836;359,2523;33,20757;353,9099;7,266879E-07;0,3138078;0;-1;-1
0,6864181;4,244521;0,07781466;3,990836;359,2523;33,20757;353,9099;7,081186E-07;0,3053561;0;-1;-1
0,6975607;4,235577;0,060874;3,981439;351,5788;32,40461;355,7019;0,3745631;0,3194178;0;-1;-1
0,7117855;4,235577;0,060874;3,981439;351,5788;32,40461;355,7019;7,101086E-07;0,3128785;1;5,826039;-1,697561
0,7284637;4,234176;0,05798973;3,980558;350,1683;32,40174;355,7279;0,03844978;0,3078707;1;5,826039;-1,697561
0,7399695;4,233715;0,05704889;3,980042;349,4256;32,4166;355,01;63,88308;0,3039275;1;5,826039;-1,697561
0,7514553;4,233715;0,05704889;3,980042;349,4256;32,4166;355,01;0,4622897;0,2991747;1;5,826039;-1,697561
0,7632029;4,233028;0,05639422;3,980125;349,1733;32,43819;355,3028;0,3958453;0,2953924;1;5,826039;-1,697561
0,7753208;4,232809;0,05611741;3,980074;349,0085;32,53212;354,9659;0,4871816;0,290969;1;5,826039;-1,697561
0,7871027;4,232809;0,05611741;3,980074;349,0085;32,53212;354,9659;0,1818845;0,2865176;1;5,826039;-1,697561
0,7993325;4,232597;0,05593359;3,979819;348,6279;32,60915;354,1589;0,6069484;0,2824631;1;5,826039;-1,697561
0,809227;4,232597;0,05593359;3,979819;348,6279;32,60915;354,1589;0,1547306;0,2789354;1;5,826039;-1,697561
0,8337098;4,232739;0,05575949;3,979702;348,5394;32,57452;354,0986;0,002252909;0,2707993;1;5,826039;-1,697561
0,8522277;4,232739;0,05575949;3,979702;348,5394;32,57452;354,0986;0,2651233;0,2647957;1;5,826039;-1,697561
0,8658316;4,232739;0,05575949;3,979702;348,5394;32,57452;354,0986;3,976011E-10;0,2605521;1;5,826039;-1,697561
0,8793296;4,232739;0,05575949;3,979702;348,5394;32,57452;354,0986;3,958143E-10;0,2564739;1;5,826039;-1,697561
0,8913795;4,232739;0,05575949;3,979702;348,5394;32,57452;354,0986;0,1866339;0,2529395;1;5,826039;-1,697561
0,9021705;4,232739;0,05575949;3,979702;348,5394;32,57452;354,0986;3,968334E-10;0,2498561;1;5,826039;-1,697561
0,9129682;4,232739;0,05575949;3,979702;348,5394;32,57452;354,0986;3,985826E-10;0,2468451;1;5,826039;-1,697561
0,9261913;4,232739;0,05575949;3,979702;348,5394;32,57452;354,0986;4,013899E-10;0,2432552;1;5,826039;-1,697561
0,9394729;4,232739;0,05575949;3,979702;348,5394;32,57452;354,0986;0,4205478;0,239753;1;5,826039;-1,697561
