Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;-5,956615;0,5180924;-0,9310195;325,2822;236,1955;44,44825;0;0;-1;-1;0
0,3333333;-5,956615;0,5180924;-0,9310195;325,2822;236,1955;44,44825;0;1;0;-1;-1
0,3710161;-5,956615;0,5180924;-0,9310195;325,2822;236,1955;44,44825;0;1;0;-1;-1
0,3954184;-5,956615;0,5180924;-0,9310195;325,2822;236,1955;44,44825;0;1;0;-1;-1
0,4099001;-5,956615;0,5180924;-0,9310195;325,2822;236,1955;44,44825;0;1;0;-1;-1
0,4266317;-5,956615;0,5180924;-0,9310195;325,2822;236,1955;44,44825;0;1;0;-1;-1
0,4435042;-5,956615;0,5180924;-0,9310195;325,2822;236,1955;44,44825;0;1;0;-1;-1
0,4601561;-5,956615;0,5180924;-0,9310195;325,2822;236,1955;44,44825;0;1;0;-1;-1
0,4770343;-5,956615;0,5180924;-0,9310195;325,2822;236,1955;44,44825;0;1;0;-1;-1
0,4949601;-5,956615;0,5180924;-0,9310195;325,2822;236,1955;44,44825;0;1;0;-1;-1
0,5112973;-5,956615;0,5180924;-0,9310195;325,2822;236,1955;44,44825;0;1;0;-1;-1
0,5271525;-5,956615;0,5180924;-0,9310195;325,2822;236,1955;44,44825;0;1;0;-1;-1
0,5442671;-5,956615;0,5180924;-0,9310195;325,2822;236,1955;44,44825;0;1;0;-1;-1
0,5599611;-5,956615;0,5180924;-0,9310195;325,2822;236,1955;44,44825;0;1;0;-1;-1
0,5784737;-5,956615;0,5180924;-0,9310195;325,2822;236,1955;44,44825;0;1;0;-1;-1
0,6105543;-5,956615;0,5180924;-0,9310195;325,2822;236,1955;44,44825;0;1;0;-1;-1
0,6268947;-5,956615;0,5180924;-0,9310195;325,2822;236,1955;44,44825;0;1;0;-1;-1
0,6442711;-5,956615;0,5180924;-0,9310195;325,2822;236,1955;44,44825;0;1;0;-1;-1
0,6605436;-5,956615;0,5180924;-0,9310195;325,2822;236,1955;44,44825;0;1;0;-1;-1
0,6775594;-5,956615;0,5180924;-0,9310195;325,2822;236,1955;44,44825;0;1;0;-1;-1
0,6939023;-5,956615;0,5180924;-0,9310195;325,2822;236,1955;44,44825;0;1;0;-1;-1
0,7101814;-5,956615;0,5180924;-0,9310195;325,2822;236,1955;44,44825;0;1;0;-1;-1
0,7272115;-5,956615;0,5180924;-0,9310195;325,2822;236,1955;44,44825;0;1;0;-1;-1
0,7441564;-5,956615;0,5180924;-0,9310195;325,2822;236,1955;44,44825;0;1;0;-1;-1
0,7600345;-5,956615;0,5180924;-0,9310195;325,2822;236,1955;44,44825;0;1;0;-1;-1
0,7786625;-5,956615;0,5180924;-0,9310195;325,2822;236,1955;44,44825;0;1;0;-1;-1
0,7949549;-5,956615;0,5180924;-0,9310195;325,2822;236,1955;44,44825;0;1;0;-1;-1
0,8114244;-5,956615;0,5180924;-0,9310195;325,2822;236,1955;44,44825;0;1;0;-1;-1
0,8467128;-5,956615;0,5180924;-0,9310195;325,2822;236,1955;44,44825;0;1;0;-1;-1
0,8625666;-5,956615;0,5180924;-0,9310195;325,2822;236,1955;44,44825;0;1;0;-1;-1
0,8787454;-5,956615;0,5180924;-0,9310195;325,2822;236,1955;44,44825;0;1;0;-1;-1
0,8958465;-5,956615;0,5180924;-0,9310195;325,2822;236,1955;44,44825;0;1;0;-1;-1
0,9111966;-5,956615;0,5180924;-0,9310195;325,2822;236,1955;44,44825;0;1;0;-1;-1
0,9282151;-5,956615;0,5180924;-0,9310195;325,2822;236,1955;44,44825;0;1;0;-1;-1
0,9453722;-5,956615;0,5180924;-0,9310195;325,2822;236,1955;44,44825;0;1;0;-1;-1
