Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Instant acceleration (m/s^2);Distance travelled (m)
0;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;-1;0;-1;0
0,3333333;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;-1;0
0,3710074;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
0,4181063;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
0,4337231;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
0,4678949;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
0,4848466;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
0,5232167;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
0,5539154;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
0,5674201;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
0,5855402;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
0,6009839;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
0,6358033;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
0,6537387;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
0,6675419;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
0,6843224;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
0,7182128;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
0,733775;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
0,785978;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
0,8206266;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
0,8522667;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
0,8709814;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
0,8847075;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
0,9180959;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
0,9584186;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
1,003593;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
1,051031;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
1,067488;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
1,084498;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
1,144993;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
1,185987;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
1,200797;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
1,234337;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
1,250856;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
1,268036;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
1,28429;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
1,301624;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
1,337412;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
1,367833;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
1,385495;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
1,401269;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
1,451542;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
1,48677;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
1,50089;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
1,53434;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
1,568231;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
1,601725;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
1,620204;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
1,63474;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
1,668158;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
1,701843;3,806798;1,57996;-8,245559;36,2669;353,188;359,7184;0;0;0;0
