Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;4,022824;0,09372039;-8,409145;53,58586;186,4593;302,2576;0;0;-1;-1;0
0,3333333;4,022824;0,09372039;-8,409145;53,58586;186,4593;302,2576;0;1;0;-1;-1
0,3710074;4,022829;0,09384262;-8,408921;53,47734;186,3925;302,1975;0,000604204;1;0;-1;-1
0,4181063;4,022829;0,09384262;-8,408921;53,47734;186,3925;302,1975;0,0005361417;1;0;-1;-1
0,4337231;4,022854;0,09371783;-8,408977;53,4212;186,5303;302,3259;0,0003951133;1;0;-1;-1
0,4678949;4,022857;0,09377268;-8,408962;53,45922;186,5123;302,2849;0,0003974275;1;0;-1;-1
0,4848466;4,022882;0,09366718;-8,408986;53,45685;186,6104;302,3778;0,00034904;1;0;-1;-1
0,5232167;4,022882;0,09366718;-8,408986;53,45685;186,6104;302,3778;0,0003234431;1;0;-1;-1
0,5539154;4,022882;0,09366718;-8,408986;53,45685;186,6104;302,3778;0,0003055175;1;0;-1;-1
0,5674201;4,022837;0,09371359;-8,409032;53,47413;186,5357;302,3058;0,0002011956;1;0;-1;-1
0,5855402;4,022837;0,09371359;-8,409032;53,47413;186,5357;302,3058;0,0001949694;1;0;-1;-1
0,6009839;4,02288;0,0937603;-8,409026;53,46157;186,4319;302,2272;0,0002186696;1;0;-1;-1
0,6358033;4,02288;0,0937603;-8,409026;53,46157;186,4319;302,2272;0,0002066942;1;0;-1;-1
0,6537387;4,022896;0,09369376;-8,40906;53,47256;186,5182;302,3148;0,0001709039;1;0;-1;-1
0,6675419;4,022896;0,09369376;-8,40906;53,47256;186,5182;302,3148;0,0001673701;1;0;-1;-1
0,6843224;4,022896;0,09369376;-8,40906;53,47256;186,5182;302,3148;0,0001632659;1;0;-1;-1
0,7182128;4,022902;0,09371714;-8,409044;53,48466;186,512;302,3184;0,0001779509;1;0;-1;-1
0,733775;4,022851;0,09371893;-8,409118;53,53958;186,5296;302,3105;5,239186E-05;1;0;-1;-1
0,785978;4,022839;0,0937276;-8,409045;53,54936;186,3937;302,2051;0,0001286963;1;0;-1;-1
0,8206266;4,022848;0,09370533;-8,409101;53,56908;186,3832;302,2179;6,186634E-05;1;0;-1;-1
