Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;3,92757;0,07511045;-8,443405;341,3231;235,8604;349,4203;0;0;-1;-1;0
0,3333333;3,92757;0,07511045;-8,443405;341,3231;235,8604;349,4203;0;1;0;-1;-1
0,3710074;3,92757;0,07511045;-8,443405;341,3231;235,8604;349,4203;0;1;0;-1;-1
0,4181063;3,92757;0,07511045;-8,443405;341,3231;235,8604;349,4203;0;1;0;-1;-1
0,4337231;3,92757;0,07511045;-8,443405;341,3231;235,8604;349,4203;0;1;0;-1;-1
0,4678949;3,92757;0,07511045;-8,443405;341,3231;235,8604;349,4203;0;1;0;-1;-1
0,4848466;3,92757;0,07511045;-8,443405;341,3231;235,8604;349,4203;0;1;0;-1;-1
0,5232167;3,92757;0,07511045;-8,443405;341,3231;235,8604;349,4203;0;1;0;-1;-1
0,5539154;3,92757;0,07511045;-8,443405;341,3231;235,8604;349,4203;0;1;0;-1;-1
0,5674201;3,92757;0,07511045;-8,443405;341,3231;235,8604;349,4203;0;1;0;-1;-1
0,5855402;3,92757;0,07511045;-8,443405;341,3231;235,8604;349,4203;0;1;0;-1;-1
0,6009839;3,92757;0,07511045;-8,443405;341,3231;235,8604;349,4203;0;1;0;-1;-1
0,6358033;3,92757;0,07511045;-8,443405;341,3231;235,8604;349,4203;0;1;0;-1;-1
0,6537387;3,92757;0,07511045;-8,443405;341,3231;235,8604;349,4203;0;1;0;-1;-1
0,6675419;3,92757;0,07511045;-8,443405;341,3231;235,8604;349,4203;0;1;0;-1;-1
0,6843224;3,92757;0,07511045;-8,443405;341,3231;235,8604;349,4203;0;1;0;-1;-1
0,7182128;3,92757;0,07511045;-8,443405;341,3231;235,8604;349,4203;0;1;0;-1;-1
0,733775;3,92757;0,07511045;-8,443405;341,3231;235,8604;349,4203;0;1;0;-1;-1
0,785978;3,92757;0,07511045;-8,443405;341,3231;235,8604;349,4203;0;1;0;-1;-1
0,8206266;3,92757;0,07511045;-8,443405;341,3231;235,8604;349,4203;0;1;0;-1;-1
0,8522667;3,92757;0,07511045;-8,443405;341,3231;235,8604;349,4203;0;1;0;-1;-1
0,8709814;3,92757;0,07511045;-8,443405;341,3231;235,8604;349,4203;0;1;0;-1;-1
0,8847075;3,92757;0,07511045;-8,443405;341,3231;235,8604;349,4203;0;1;0;-1;-1
0,9180959;3,92757;0,07511045;-8,443405;341,3231;235,8604;349,4203;0;1;0;-1;-1
0,9584186;3,92757;0,07511045;-8,443405;341,3231;235,8604;349,4203;0;1;0;-1;-1
1,003593;3,92757;0,07511045;-8,443405;341,3231;235,8604;349,4203;0;1;0;-1;-1
1,051031;3,92757;0,07511045;-8,443405;341,3231;235,8604;349,4203;0;1;0;-1;-1
1,067488;3,92757;0,07511045;-8,443405;341,3231;235,8604;349,4203;0;1;0;-1;-1
1,084498;3,92757;0,07511045;-8,443405;341,3231;235,8604;349,4203;0;1;0;-1;-1
1,144993;3,92757;0,07511045;-8,443405;341,3231;235,8604;349,4203;0;1;0;-1;-1
1,185987;3,92757;0,07511045;-8,443405;341,3231;235,8604;349,4203;0;1;0;-1;-1
1,200797;3,92757;0,07511045;-8,443405;341,3231;235,8604;349,4203;0;1;0;-1;-1
1,234337;3,92757;0,07511045;-8,443405;341,3231;235,8604;349,4203;0;1;0;-1;-1
