Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Instant acceleration (m/s^2);Distance travelled (m)
0;3,829951;1,629683;-8,249681;27,37318;343,7804;356,114;-1;0;-1;0
0,3333333;3,829951;1,629683;-8,249681;27,37318;343,7804;356,114;0;0;-1;0
0,3695558;3,829951;1,629683;-8,249681;27,37318;343,7804;356,114;0;0;0;0
0,3838251;3,829951;1,629683;-8,249681;27,37318;343,7804;356,114;0;0;0;0
0,4008715;3,833508;1,627288;-8,255383;27,29518;343,858;355,4114;0,3942725;0,01676578;12,59026;0,006720924
0,417162;3,83249;1,626073;-8,255453;30,03952;342,9152;354,4129;0,06261012;0,01855604;-9,948813;0,007740873
0,4339779;3,832307;1,625851;-8,255463;30,65279;342,6873;354,175;0,01090359;0,01825952;-1,56183;0,007924226
0,4509056;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0,005734896;0,01778932;-0,1531755;0,008021304
0,4673271;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,01716422;-0,1719651;0,008021304
0,484437;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,01655799;0;0,008021304
0,5027015;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,0159564;0;0,008021304
0,5176756;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,01549485;0;0,008021304
0,5340221;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,01502055;0;0,008021304
0,5511738;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,01455313;0;0,008021304
0,5673356;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,01413855;0;0,008021304
0,5839625;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,01373599;0;0,008021304
0,6007436;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,01335229;0;0,008021304
0,6172476;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,01299528;0;0,008021304
0,6345138;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,01264166;0;0,008021304
0,6532225;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,01227959;0;0,008021304
0,6673745;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,0120192;0;0,008021304
0,6841274;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,01172487;0;0,008021304
0,700862;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,01144491;0;0,008021304
0,7181266;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,01116976;0;0,008021304
0,7343265;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,01092335;0;0,008021304
0,7515978;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,01067234;0;0,008021304
0,7677253;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,01044814;0;0,008021304
0,7845526;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,01022405;0;0,008021304
0,8028636;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,009990868;0;0,008021304
0,8176008;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,009810784;0;0,008021304
0,8342971;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,009614446;0;0,008021304
0,8513322;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,009422061;0;0,008021304
0,8676484;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,009244879;0;0,008021304
0,884223;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,009071585;0;0,008021304
0,9012151;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,008900544;0;0,008021304
0,9187349;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,008730815;0;0,008021304
0,9346045;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,008582565;0;0,008021304
0,9525678;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,008420717;0;0,008021304
0,9678181;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,008288029;0;0,008021304
0,9923795;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,0080829;0;0,008021304
1,017783;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,007881152;0;0,008021304
1,034259;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,007755606;0;0,008021304
1,05111;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,007631272;0;0,008021304
1,067983;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,007510702;0;0,008021304
1,084787;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,007394356;0;0,008021304
1,102497;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,007275579;0;0,008021304
1,117901;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,007175326;0;0,008021304
1,13448;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,007070468;0;0,008021304
1,151045;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,006968712;0;0,008021304
1,167586;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,006869989;0;0,008021304
1,184251;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,006773316;0;0,008021304
1,20125;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,006677466;0;0,008021304
1,217677;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,006587382;0;0,008021304
1,234337;3,83221;1,625733;-8,255466;30,95381;342,5685;354,0562;0;0,006498472;0;0,008021304
1,25154;3,766903;1,642953;-8,249412;83,23897;276,5117;131,216;3,812466;0,05881391;112,5848;0,07360797
1,270255;3,766903;1,642953;-8,249412;83,23897;276,5117;131,216;0;0,0579474;-106,1443;0,07360797
1,28461;3,766903;1,642953;-8,249412;83,23897;276,5117;131,216;0;0,05729987;0;0,07360797
1,301032;3,766903;1,642953;-8,249412;83,23897;276,5117;131,216;0;0,05657658;0;0,07360797
1,317764;3,766903;1,642953;-8,249412;83,23897;276,5117;131,216;0;0,05585824;0;0,07360797
1,334715;3,766903;1,642953;-8,249412;83,23897;276,5117;131,216;0;0,05514883;0;0,07360797
1,351727;3,766903;1,642953;-8,249412;83,23897;276,5117;131,216;0;0,05445476;0;0,07360797
1,367774;3,766903;1,642953;-8,249412;83,23897;276,5117;131,216;0;0,0538159;0;0,07360797
1,384382;3,766903;1,642953;-8,249412;83,23897;276,5117;131,216;0;0,05317026;0;0,07360797
1,401945;3,766903;1,642953;-8,249412;83,23897;276,5117;131,216;0;0,05250416;0;0,07360797
1,419603;3,766903;1,642953;-8,249412;83,23897;276,5117;131,216;0;0,0518511;0;0,07360797
