Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;3,844055;0,3841456;-8,439943;53,57412;282,7078;113,7941;0;0;-1;-1;0
0,3333333;3,844055;0,3841456;-8,439943;53,57412;282,7078;113,7941;0;1;0;-1;-1
0,3695558;3,844055;0,3841456;-8,439943;53,57412;282,7078;113,7941;0;1;0;-1;-1
0,3838251;3,844055;0,3841456;-8,439943;53,57412;282,7078;113,7941;0;1;0;-1;-1
0,4008715;3,844055;0,3841456;-8,439943;53,57412;282,7078;113,7941;0;1;0;-1;-1
0,417162;3,844055;0,3841456;-8,439943;53,57412;282,7078;113,7941;0;1;0;-1;-1
0,4339779;3,844055;0,3841456;-8,439943;53,57412;282,7078;113,7941;0;1;0;-1;-1
0,4509056;3,844055;0,3841456;-8,439943;53,57412;282,7078;113,7941;0;1;0;-1;-1
0,4673271;3,844055;0,3841456;-8,439943;53,57412;282,7078;113,7941;0;1;0;-1;-1
0,484437;3,844055;0,3841456;-8,439943;53,57412;282,7078;113,7941;0;1;0;-1;-1
0,5027015;3,844055;0,3841456;-8,439943;53,57412;282,7078;113,7941;0;1;0;-1;-1
0,5176756;3,844055;0,3841456;-8,439943;53,57412;282,7078;113,7941;0;1;0;-1;-1
0,5340221;3,844055;0,3841456;-8,439943;53,57412;282,7078;113,7941;0;1;0;-1;-1
0,5511738;3,844055;0,3841456;-8,439943;53,57412;282,7078;113,7941;0;1;0;-1;-1
0,5673356;3,844055;0,3841456;-8,439943;53,57412;282,7078;113,7941;0;1;0;-1;-1
0,5839625;3,844055;0,3841456;-8,439943;53,57412;282,7078;113,7941;0;1;0;-1;-1
0,6007436;3,844055;0,3841456;-8,439943;53,57412;282,7078;113,7941;0;1;0;-1;-1
0,6172476;3,844055;0,3841456;-8,439943;53,57412;282,7078;113,7941;0;1;0;-1;-1
0,6345138;3,844055;0,3841456;-8,439943;53,57412;282,7078;113,7941;0;1;0;-1;-1
0,6532225;3,844055;0,3841456;-8,439943;53,57412;282,7078;113,7941;0;1;0;-1;-1
0,6673745;3,844055;0,3841456;-8,439943;53,57412;282,7078;113,7941;0;1;0;-1;-1
0,6841274;3,844055;0,3841456;-8,439943;53,57412;282,7078;113,7941;0;1;0;-1;-1
