Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;3,993423;0,06181233;-8,393912;341,0628;231,9629;357,4369;0;0;-1;-1;0
0,3333333;3,993423;0,06181233;-8,393912;341,0628;231,9629;357,4369;0;1;0;-1;-1
0,3695558;3,993423;0,06181233;-8,393912;341,0628;231,9629;357,4369;0;1;0;-1;-1
0,3838251;3,993423;0,06181233;-8,393912;341,0628;231,9629;357,4369;0;1;0;-1;-1
0,4008715;3,993423;0,06181233;-8,393912;341,0628;231,9629;357,4369;0;1;0;-1;-1
0,417162;3,993279;0,06167429;-8,393721;341,2073;231,9491;357,3195;0,0005747259;1;0;-1;-1
0,4339779;3,993279;0,06167429;-8,393721;341,2073;231,9491;357,3195;0,0005524562;1;0;-1;-1
0,4509056;3,993279;0,06167429;-8,393721;341,2073;231,9491;357,3195;0,0005317162;1;0;-1;-1
0,4673271;3,993279;0,06167429;-8,393721;341,2073;231,9491;357,3195;0,0005130321;1;0;-1;-1
0,484437;3,993279;0,06167429;-8,393721;341,2073;231,9491;357,3195;0,0004949123;1;0;-1;-1
0,5027015;3,993279;0,06167429;-8,393721;341,2073;231,9491;357,3195;0,0004769308;1;0;-1;-1
0,5176756;3,993279;0,06167429;-8,393721;341,2073;231,9491;357,3195;0,0004631352;1;0;-1;-1
0,5340221;3,993279;0,06167429;-8,393721;341,2073;231,9491;357,3195;0,0004489586;1;0;-1;-1
0,5511738;3,993279;0,06167429;-8,393721;341,2073;231,9491;357,3195;0,0004349877;1;0;-1;-1
0,5673356;3,993279;0,06167429;-8,393721;341,2073;231,9491;357,3195;0,0004225961;1;0;-1;-1
0,5839625;3,993279;0,06167429;-8,393721;341,2073;231,9491;357,3195;0,0004105637;1;0;-1;-1
0,6007436;3,993279;0,06167429;-8,393721;341,2073;231,9491;357,3195;0,0003990951;1;0;-1;-1
0,6172476;3,993279;0,06167429;-8,393721;341,2073;231,9491;357,3195;0,0003884241;1;0;-1;-1
0,6345138;3,993279;0,06167429;-8,393721;341,2073;231,9491;357,3195;0,0003778544;1;0;-1;-1
0,6532225;3,993279;0,06167429;-8,393721;341,2073;231,9491;357,3195;0,0003670324;1;0;-1;-1
0,6673745;3,993279;0,06167429;-8,393721;341,2073;231,9491;357,3195;0,0003592493;1;0;-1;-1
0,6841274;3,993279;0,06167429;-8,393721;341,2073;231,9491;357,3195;0,000350452;1;0;-1;-1
0,700862;3,993279;0,06167429;-8,393721;341,2073;231,9491;357,3195;0,0003420842;1;0;-1;-1
0,7181266;3,993279;0,06167429;-8,393721;341,2073;231,9491;357,3195;0,0003338601;1;0;-1;-1
0,7343265;3,993279;0,06167429;-8,393721;341,2073;231,9491;357,3195;0,0003264948;1;0;-1;-1
0,7515978;3,993279;0,06167429;-8,393721;341,2073;231,9491;357,3195;0,0003189922;1;0;-1;-1
0,7677253;3,993279;0,06167429;-8,393721;341,2073;231,9491;357,3195;0,0003122911;1;0;-1;-1
0,7845526;3,993277;0,06174378;-8,39358;341,0514;232,022;357,2864;0,0004620952;1;0;-1;-1
0,8028636;3,993313;0,06169837;-8,393541;341,0389;232,0097;357,2492;0,000481839;1;0;-1;-1
0,8176008;3,993313;0,06169837;-8,393541;341,0389;232,0097;357,2492;0,0004731539;1;0;-1;-1
0,8342971;3,993313;0,06169837;-8,393541;341,0389;232,0097;357,2492;0,000463685;1;0;-1;-1
0,8513322;3,993313;0,06169837;-8,393541;341,0389;232,0097;357,2492;0,0004544066;1;0;-1;-1
0,8676484;3,993313;0,06169837;-8,393541;341,0389;232,0097;357,2492;0,0004458615;1;0;-1;-1
0,884223;3,993313;0,06169837;-8,393541;341,0389;232,0097;357,2492;0,0004375039;1;0;-1;-1
0,9012151;3,993313;0,06169837;-8,393541;341,0389;232,0097;357,2492;0,0004292549;1;0;-1;-1
0,9187349;3,993339;0,06170947;-8,393497;341,0246;231,9489;357,236;0,0004617075;1;0;-1;-1
0,9346045;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0004550705;1;0;-1;-1
0,9525678;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0004464889;1;0;-1;-1
0,9678181;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0004394534;1;0;-1;-1
0,9923795;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0004285769;1;0;-1;-1
1,017783;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0004178797;1;0;-1;-1
1,034259;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0004112229;1;0;-1;-1
1,05111;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0004046304;1;0;-1;-1
1,067983;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0003982374;1;0;-1;-1
1,084787;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0003920685;1;0;-1;-1
1,102497;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0003857706;1;0;-1;-1
1,117901;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0003804549;1;0;-1;-1
1,13448;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0003748951;1;0;-1;-1
1,151045;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0003694997;1;0;-1;-1
1,167586;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0003642651;1;0;-1;-1
1,184251;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0003591393;1;0;-1;-1
1,20125;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0003540571;1;0;-1;-1
1,217677;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0003492806;1;0;-1;-1
1,234337;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0003445663;1;0;-1;-1
1,25154;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,00033983;1;0;-1;-1
1,270255;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0003348234;1;0;-1;-1
1,28461;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0003310819;1;0;-1;-1
1,301032;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0003269027;1;0;-1;-1
1,317764;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0003227521;1;0;-1;-1
1,334715;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,000318653;1;0;-1;-1
1,351727;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0003146426;1;0;-1;-1
1,367774;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0003109513;1;0;-1;-1
1,384382;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0003072208;1;0;-1;-1
1,401945;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,000303372;1;0;-1;-1
1,419603;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0002995986;1;0;-1;-1
1,434557;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0002964755;1;0;-1;-1
1,451326;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,00029305;1;0;-1;-1
1,467973;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0002897266;1;0;-1;-1
1,484731;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0002864566;1;0;-1;-1
1,51813;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0002801546;1;0;-1;-1
1,535264;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0002770278;1;0;-1;-1
1,55254;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0002739452;1;0;-1;-1
1,571746;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0002705977;1;0;-1;-1
1,603962;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0002651628;1;0;-1;-1
1,618324;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0002628095;1;0;-1;-1
1,634638;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0002601867;1;0;-1;-1
1,651591;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0002575159;1;0;-1;-1
1,667994;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0002549835;1;0;-1;-1
1,684893;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0002524261;1;0;-1;-1
1,701556;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0002499542;1;0;-1;-1
1,718473;3,993338;0,06176386;-8,393496;340,9495;232,0017;357,1978;0,0002474935;1;0;-1;-1
