Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Instant acceleration (m/s^2);Distance travelled (m)
0;-6,129821;1,614207;-5,808629;16,74598;89,47029;359,883;-1;0;-1;0
0,3333333;-6,129667;1,613728;-5,808739;17,03443;89,56161;359,8977;0,000567228;0,000567228;-1;0,000189076
0,3641852;-6,131018;1,616864;-5,808927;16,58457;89,89117;359,6577;0,0442075;0,004264197;0,1198299;0,001552957
0,3785017;-6,13104;1,616976;-5,808913;16,50257;89,87794;359,6321;0,001783071;0,00417035;-0,9392502;0,001578485
0,3954149;-6,13104;1,616976;-5,808913;16,50257;89,87794;359,6321;0;0,003991971;-0,05709519;0,001578485
0,4127671;-6,13104;1,61699;-5,808913;16,48938;89,87437;359,6268;3,88627E-05;0,003825788;0,00113417;0,001579159
0,429188;-6,131024;1,617022;-5,808931;16,44709;89,85868;359,6071;0,001461465;0,003735328;0,04212235;0,001603158
0,4455437;-6,131015;1,617024;-5,808944;16,43933;89,85499;359,6026;0,0009388376;0,00363267;-0,01594509;0,001618513
0,4621632;-6,130985;1,617019;-5,808986;16,42938;89,84589;359,5931;0,003128566;0,003614542;0,06640549;0,001670508
0,4787782;-6,130985;1,617019;-5,808986;16,42938;89,84589;359,5931;0;0,003489107;-0,09413632;0,001670508
0,4956447;-6,130911;1,616981;-5,809109;16,41733;89,82903;359,5761;0,008499497;0,003659608;0,2538565;0,001813865
0,5123048;-6,130844;1,616935;-5,80923;16,41209;89,81593;359,5636;0,008301014;0,003810546;-0,005920146;0,001952161
0,528876;-6,130807;1,616906;-5,809307;16,41127;89,80884;359,557;0,005147833;0,003852447;-0,09488574;0,002037467
0,5456248;-6,130727;1,616841;-5,809481;16,4084;89,79346;359,543;0,01143943;0,004085341;0,1888234;0,002229064
0,5620949;-6,130646;1,616776;-5,809675;16,40386;89,77742;359,5305;0,01278556;0,004340268;0,04052295;0,002439643
0,578941;-6,130646;1,616776;-5,809675;16,40386;89,77742;359,5305;0;0,004213974;-0,3837633;0,002439643
0,5956007;-6,130527;1,616676;-5,810012;16,40327;89,74565;359,5078;0,02147343;0,00469674;0,640887;0,002797382
0,6120257;-6,130487;1,616644;-5,810133;16,40234;89,73447;359,5005;0,007748627;0,004778645;-0,4148384;0,002924653
0,6291825;-6,130375;1,616553;-5,810514;16,40299;89,69545;359,4767;0,02312833;0,005279011;0,4579765;0,003321461
0,6453471;-6,130339;1,616525;-5,81065;16,40387;89,68092;359,4681;0,008721937;0,005365249;-0,4323467;0,003462448
0,6623275;-6,130269;1,616466;-5,810943;16,40895;89,64983;359,4497;0,01773593;0,005682402;0,2719562;0,003763611
0,6789143;-6,130269;1,616466;-5,810943;16,40895;89,64983;359,4497;0;0,005543573;-0,528371;0,003763611
0,6955378;-6,130198;1,616403;-5,811271;16,41493;89,61855;359,4309;0,02016443;0,005893015;0,6071743;0,004098814
0,7123415;-6,130086;1,616288;-5,811877;16,42515;89,57262;359,4011;0,03666813;0,00661898;0,493721;0,004714974
0,7290517;-6,130006;1,616206;-5,812358;16,43176;89,54602;359,3818;0,029217;0,007136938;-0,2223295;0,005203197
0,7454881;-6,129963;1,616165;-5,812627;16,43362;89,53463;359,3725;0,0165406;0,007344268;-0,3824342;0,005475065
0,7626864;-6,129873;1,616082;-5,813214;16,44102;89,51385;359,3535;0,03455778;0,007957924;0,5356721;0,006069401
0,779098;-6,129873;1,616082;-5,813214;16,44102;89,51385;359,3535;0;0,007790292;-1,028202;0,006069401
0,7957312;-6,129722;1,615963;-5,814195;16,45288;89,49035;359,3274;0,05967011;0,008874739;1,805733;0,007061907
0,8124843;-6,129664;1,615924;-5,814543;16,45719;89,48464;359,3198;0,02106123;0,009126019;-1,156429;0,007414747
0,8289827;-6,129603;1,615883;-5,814902;16,46151;89,47968;359,3124;0,02204694;0,00938317;0,02964399;0,007778486
0,8632127;-6,12938;1,615747;-5,816044;16,47777;89,46767;359,289;0,03399429;0,0103591;0,235516;0,00894211
0,8789165;-6,128986;1,615494;-5,817689;16,51727;89,45603;359,2486;0,107718;0,01209864;1,476429;0,01063369
0,8957508;-6,128986;1,615494;-5,817689;16,51727;89,45603;359,2486;0;0,01187126;-3,310516;0,01063369
0,9125048;-6,128737;1,615322;-5,818591;16,55132;89,45425;359,2246;0,05586037;0,01267892;1,663091;0,01156957
0,9455681;-6,128452;1,615132;-5,819552;16,58743;89,4557;359,2014;0,03031297;0,01329552;-0,5128223;0,01257182
0,9628979;-6,127766;1,614627;-5,821591;16,85299;89,43954;359,1128;0,124157;0,01529076;1,86224;0,01472344
0,9790964;-6,127766;1,614627;-5,821591;16,85299;89,43954;359,1128;0;0,01503778;-3,703048;0,01472344
0,9956365;-6,127155;1,614278;-5,823436;16,93809;89,4539;359,0757;0,1174764;0,01673955;3,58831;0,01666651
1,012707;-6,126713;1,614054;-5,82476;16,98954;89,46943;359,0547;0,08177842;0,01783587;-1,0621;0,01806252
1,029054;-6,126239;1,613813;-5,82615;17,05003;89,48798;359,0334;0,08983964;0,01897966;0,2412298;0,01953109
1,146627;-6,125989;1,613685;-5,826884;17,08252;89,49814;359,022;0,006592198;0,01770946;-0,6216192;0,02030616
1,162449;-6,122095;1,611688;-5,837132;17,585;89,60499;358,9065;0,692943;0,0268999;5,14523;0,03126977
1,179149;-6,122095;1,611688;-5,837132;17,585;89,60499;358,9065;0;0,02651892;-21,30692;0,03126977
1,196297;-6,121006;1,611535;-5,840156;17,66723;89,61416;358,8936;0,1873978;0,028825;5,536425;0,03448328
1,2134;-6,120271;1,611536;-5,8423;17,7057;89,61716;358,8901;0,1325298;0,03028669;-1,601964;0,03674986
