Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;0;-1;-1;0
0,3333333;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,3641852;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,3785017;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,3954149;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,4127671;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,429188;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,4455437;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,4621632;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,4787782;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,4956447;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,5123048;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,528876;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,5456248;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,5620949;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,578941;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,5956007;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,6120257;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,6291825;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,6453471;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,6623275;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,6789143;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,6955378;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,7123415;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,7290517;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,7454881;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,7626864;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,779098;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,7957312;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,8124843;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,8289827;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,8632127;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,8789165;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,8957508;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,9125048;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,9455681;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,9628979;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,9790964;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
0,9956365;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
1,012707;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
1,029054;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
1,146627;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
1,162449;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
1,179149;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
1,196297;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
1,2134;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
1,230076;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
1,248431;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
1,263135;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
1,279584;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
1,295813;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
1,312939;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
1,329153;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
1,345799;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
1,362771;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
1,37929;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
1,395975;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
1,412916;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
1,429247;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
1,446264;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
1,463037;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
1,479515;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
1,495961;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
1,512882;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
1,529352;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
1,546272;-6,321091;0,3744406;-5,769978;57,04036;14,84181;106,5697;0;1;0;-1;-1
