Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,3333333;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,3641852;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,3785017;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,3954149;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,4127671;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,429188;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,4455437;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,4621632;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,4787782;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,4956447;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,5123048;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,528876;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,5456248;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,5620949;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,578941;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,5956007;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,6120257;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,6291825;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,6453471;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,6623275;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,6789143;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,6955378;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,7123415;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,7290517;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,7454881;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,7626864;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,779098;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,7957312;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,8124843;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,8289827;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,8632127;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,8789165;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,8957508;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,9125048;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,9455681;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,9628979;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
0,9790964;-6,272247;0,009319474;-5,885159;11,36906;337,023;190,6017;0;0;-1;-1;0
